asset,status,side,monitor_action,observations,first_seen_at,last_seen_at,mean_score,max_score,min_score,mean_return_24h,mean_annualized_funding,mean_mark_oracle_diff,mean_premium,mean_oi_volume_ratio,mean_impact_spread
PENGU,paper_crowded_momentum_reversal_candidate,short_perp,repeat_label_priority,9,2026-06-07T23:44:56.069100+00:00,2026-06-07T23:49:54.677760+00:00,14.53153663,15.26008342,14.01704606,0.10630019,0.05525506,-0.000654885333,-0.000752172300,1.21251597,0.000671466675
FARTCOIN,paper_crowded_momentum_reversal_candidate,short_perp,repeat_label_priority,9,2026-06-07T23:44:56.069100+00:00,2026-06-07T23:49:54.677760+00:00,14.35931271,14.58112194,14.23492402,0.08916337,0.10950000,-0.000278600461,-0.000547950356,2.99096591,0.001145144722
TRUMP,paper_crowded_momentum_continuation_candidate,long_perp,repeat_label_priority,9,2026-06-07T23:44:56.069100+00:00,2026-06-07T23:49:54.677760+00:00,14.21551141,14.45804269,13.86998474,0.05385179,-0.53242044,-0.001587323579,-0.001605758211,4.33188507,0.000697174746
DYDX,paper_crowded_momentum_reversal_candidate,short_perp,repeat_label_priority,9,2026-06-07T23:44:56.069100+00:00,2026-06-07T23:49:54.677760+00:00,14.10330907,14.42127756,13.80031328,0.07666848,0.10950000,0.000261122777,0.000000000000,5.19085538,0.003472950849
MON,paper_crowded_momentum_reversal_candidate,short_perp,repeat_label_priority,9,2026-06-07T23:44:56.069100+00:00,2026-06-07T23:49:54.677760+00:00,13.95496729,14.07122272,13.83636089,0.05659689,0.10950000,-0.000899441723,-0.000669550711,6.63982068,0.001711902667
PUMP,paper_crowded_momentum_reversal_candidate,short_perp,repeat_label_priority,9,2026-06-07T23:44:56.069100+00:00,2026-06-07T23:49:54.677760+00:00,13.89612125,14.29485660,13.63528101,0.07248752,-0.07273778,-0.001162996091,-0.001090087900,4.62047484,0.001528486972
SPX,paper_crowded_momentum_continuation_candidate,long_perp,repeat_label_priority,9,2026-06-07T23:44:56.069100+00:00,2026-06-07T23:49:54.677760+00:00,13.87536542,14.21476381,13.48495933,0.07169148,-0.48799390,-0.002449033832,-0.001817558089,2.18008155,0.001784702334
FET,paper_crowded_momentum_continuation_candidate,long_perp,repeat_label_priority,9,2026-06-07T23:44:56.069100+00:00,2026-06-07T23:49:54.677760+00:00,13.79770884,13.99567026,13.54414753,0.07011391,0.10950000,0.000265356959,-0.000164975278,2.40453516,0.001418758912
BIO,paper_crowded_momentum_reversal_candidate,short_perp,repeat_label_priority,9,2026-06-07T23:44:56.069100+00:00,2026-06-07T23:49:54.677760+00:00,13.72597568,13.85809184,13.61681537,0.08876105,0.09969075,-0.001278875835,-0.000763498367,2.97504006,0.001671272131
PURR,paper_crowded_momentum_reversal_candidate,short_perp,repeat_label_priority,9,2026-06-07T23:44:56.069100+00:00,2026-06-07T23:49:54.677760+00:00,13.41641724,13.45917719,13.38481895,0.06068495,1.03303741,0.003352091556,0.000000000000,9.08593660,0.013896360271
