timestamp,asset,action,pressure_score,direction,raw_return_15m,raw_return_1h,directional_return_15m,directional_return_1h
2026-06-07T15:21:26.549459+00:00,H,short_carry_watch,3.23417899,-1,-0.00058166,,0.00058166,
2026-06-07T15:21:26.549459+00:00,RESOLV,short_carry_watch,3.04011828,-1,0.00056721,,-0.00056721,
2026-06-07T15:21:26.549459+00:00,SLX,short_carry_watch,2.91797067,-1,-0.00058038,,0.00058038,
2026-06-07T15:21:26.549459+00:00,PARTI,short_carry_watch,2.88281615,-1,0.00721196,,-0.00721196,
2026-06-07T15:21:26.549459+00:00,AAVE,long_carry_discount_watch,2.86951534,1,0.00142812,,0.00142812,
2026-06-07T15:21:26.549459+00:00,PUMP,short_carry_watch,2.77072488,-1,0.00066138,,-0.00066138,
2026-06-07T15:21:26.549459+00:00,BTC,short_carry_watch,2.72450933,-1,0.00173882,,-0.00173882,
2026-06-07T15:21:26.549459+00:00,WLFI,short_carry_premium_watch,2.71297821,-1,-0.00071826,,0.00071826,
2026-06-07T15:21:26.549459+00:00,PENGU,long_carry_discount_watch,2.63963391,1,0.00254187,,0.00254187,
2026-06-07T15:21:26.549459+00:00,BASED,short_carry_watch,2.61699968,-1,0.00098926,,-0.00098926,
2026-06-07T15:21:26.549459+00:00,ETHFI,short_carry_watch,2.57765259,-1,0.00033058,,-0.00033058,
2026-06-07T15:21:26.549459+00:00,WIF,short_carry_watch,2.55666895,-1,0.00062972,,-0.00062972,
2026-06-07T15:21:26.549459+00:00,NIGHT,short_carry_watch,2.54101903,-1,-0.00033568,,0.00033568,
2026-06-07T15:21:26.549459+00:00,MEME,short_carry_watch,2.52496766,-1,0.00114137,,-0.00114137,
2026-06-07T15:21:26.549459+00:00,CC,short_carry_watch,2.50173947,-1,-0.00059312,,0.00059312,
2026-06-07T15:21:26.549459+00:00,CHZ,long_carry_discount_watch,2.41169170,1,0.00159553,,0.00159553,
2026-06-07T15:21:26.549459+00:00,PI,short_carry_watch,2.37145484,-1,0.00077700,,-0.00077700,
2026-06-07T15:21:26.549459+00:00,ORDI,short_carry_watch,2.34510105,-1,0.00134183,,-0.00134183,
2026-06-07T15:21:26.549459+00:00,OFC,short_carry_watch,2.30976006,-1,0.00588386,,-0.00588386,
2026-06-07T15:21:26.549459+00:00,USELESS,short_carry_watch,2.29424517,-1,-0.00251889,,0.00251889,
2026-06-07T15:21:26.549459+00:00,ONDO,short_carry_watch,2.26662986,-1,0.00028662,,-0.00028662,
2026-06-07T15:21:26.549459+00:00,FARTCOIN,short_carry_watch,2.26225818,-1,0.00000000,,-0.00000000,
2026-06-07T15:21:26.549459+00:00,APE,long_carry_discount_watch,2.13639911,1,-0.00016164,,-0.00016164,
2026-06-07T15:21:26.549459+00:00,OKB,short_carry_watch,1.93299792,-1,0.00084258,,-0.00084258,
2026-06-07T15:21:26.549459+00:00,APT,short_carry_watch,1.85284352,-1,0.00133849,,-0.00133849,
2026-06-07T15:21:26.549459+00:00,ETC,long_carry_discount_watch,1.80639962,1,0.00085592,,0.00085592,
2026-06-07T15:21:26.549459+00:00,TIA,long_carry_discount_watch,1.70622944,1,0.00031586,,0.00031586,
2026-06-07T15:21:26.549459+00:00,BNB,short_carry_watch,1.63964410,-1,0.00152362,,-0.00152362,
2026-06-07T15:21:26.549459+00:00,ASTER,short_carry_watch,1.63198161,-1,0.00111058,,-0.00111058,
2026-06-07T15:21:26.549459+00:00,TON,short_carry_watch,1.62328746,-1,-0.00058928,,0.00058928,
2026-06-07T15:21:26.549459+00:00,XPL,short_carry_watch,1.39380927,-1,0.00128425,,-0.00128425,
2026-06-07T15:21:26.549459+00:00,RENDER,long_carry_discount_watch,1.09095449,1,-0.00118906,,-0.00118906,
2026-06-07T15:21:26.549459+00:00,SHIB,long_carry_discount_watch,1.07563565,1,0.00106564,,0.00106564,
2026-06-07T15:21:26.549459+00:00,DASH,long_carry_discount_watch,0.74486218,1,-0.00321802,,-0.00321802,
2026-06-07T15:21:26.549459+00:00,TAO,short_carry_watch,0.62117511,-1,-0.00142248,,0.00142248,
2026-06-07T15:21:26.549459+00:00,PEPE,long_carry_watch,0.55689715,1,0.00181291,,0.00181291,
2026-06-07T15:21:26.549459+00:00,HYPE,short_carry_watch,0.45791139,-1,-0.00102006,,0.00102006,
2026-06-07T15:21:26.549459+00:00,ENA,long_carry_watch,0.41216405,1,-0.00032916,,-0.00032916,
2026-06-07T15:21:26.549459+00:00,HBAR,short_carry_watch,0.27881762,-1,0.00074010,,-0.00074010,
2026-06-07T15:21:26.549459+00:00,ARB,short_carry_watch,0.18519503,-1,0.00061072,,-0.00061072,
2026-06-07T15:21:26.549459+00:00,NEAR,long_carry_watch,0.12726040,1,0.00292969,,0.00292969,
2026-06-07T15:21:26.549459+00:00,JTO,long_carry_discount_watch,0.02863320,1,0.00726392,,0.00726392,
2026-06-07T15:21:26.549459+00:00,XAU,flat_watch,-0.00231286,0,0.00023128,,,
2026-06-07T15:21:26.549459+00:00,BZ,flat_watch,-0.01054130,0,0.00042243,,,
2026-06-07T15:21:26.549459+00:00,SPCX,flat_watch,-0.01169180,0,0.00339360,,,
2026-06-07T15:21:26.549459+00:00,CRCL,flat_watch,-0.01236170,0,0.00036869,,,
