timestamp,asset,status,side,score,direction,annualized_funding,impact_spread,conservative_cost_bps,raw_return_15m,raw_return_1h,raw_return_4h,directional_return_15m,directional_return_1h,directional_return_4h,funding_return_15m,funding_return_1h,funding_return_4h,net_15m_bps,net_1h_bps,net_4h_bps,outcome_15m,outcome_1h,outcome_4h
2026-06-07T23:28:18.334491+00:00,BCH,paper_crowded_momentum_reversal_candidate,short_perp,11.12716431,-1,0.10950000,0.000695081967,16.95081967,-0.00109247,0.00502535,,0.00109247,-0.00502535,,0.00000313,0.00001250,0.00005000,-5.99490615,-67.07927186,,paper_15m_loss,paper_1h_loss,pending_4h
2026-06-07T23:28:18.334491+00:00,BIO,paper_crowded_momentum_continuation_candidate,long_perp,16.46478393,1,0.10950000,0.001701825917,27.01825917,-0.00177079,-0.00159371,,-0.00177079,-0.00159371,,-0.00000313,-0.00001250,-0.00005000,-44.75739981,-43.08036074,,paper_15m_loss,paper_1h_loss,pending_4h
2026-06-07T23:28:18.334491+00:00,BIO,paper_crowded_momentum_reversal_candidate,short_perp,13.99506634,-1,0.10950000,0.001701825917,27.01825917,-0.00177079,-0.00159371,,0.00177079,0.00159371,,0.00000313,0.00001250,0.00005000,-9.27911853,-10.95615760,,paper_15m_loss,paper_1h_loss,pending_4h
2026-06-07T23:28:18.334491+00:00,BIO,paper_mark_oracle_reversion_candidate,long_perp,7.20021087,1,0.10950000,0.001701825917,27.01825917,-0.00177079,-0.00159371,,-0.00177079,-0.00159371,,-0.00000313,-0.00001250,-0.00005000,-44.75739981,-43.08036074,,paper_15m_loss,paper_1h_loss,pending_4h
2026-06-07T23:28:18.334491+00:00,BNB,paper_crowded_momentum_continuation_candidate,long_perp,13.66885935,1,0.10950000,0.000294336503,12.94336503,-0.00183474,0.00224797,,-0.00183474,0.00224797,,-0.00000313,-0.00001250,-0.00005000,-31.32202573,9.41134538,,paper_15m_loss,paper_1h_win,pending_4h
2026-06-07T23:28:18.334491+00:00,BNB,paper_crowded_momentum_reversal_candidate,short_perp,11.61853045,-1,0.10950000,0.000294336503,12.94336503,-0.00183474,0.00224797,,0.00183474,-0.00224797,,0.00000313,0.00001250,0.00005000,5.43529567,-35.29807544,,paper_15m_win,paper_1h_loss,pending_4h
2026-06-07T23:28:18.334491+00:00,BRETT,paper_mark_oracle_reversion_candidate,long_perp,5.17908897,1,-0.33066898,0.004214963119,52.14963119,0.00929825,-0.00263158,,0.00929825,-0.00263158,,0.00000944,0.00003775,0.00015099,40.92719395,-78.08794466,,paper_15m_win,paper_1h_loss,pending_4h
2026-06-07T23:28:18.334491+00:00,CAKE,paper_crowded_momentum_continuation_candidate,long_perp,11.36097391,1,-0.04919879,0.002449011733,34.49011733,-0.00354303,-0.00212582,,-0.00354303,-0.00212582,,0.00000140,0.00000562,0.00002247,-69.90635766,-55.69212298,,paper_15m_loss,paper_1h_loss,pending_4h
2026-06-07T23:28:18.334491+00:00,CAKE,paper_crowded_momentum_reversal_candidate,short_perp,9.65682783,-1,-0.04919879,0.002449011733,34.49011733,-0.00354303,-0.00212582,,0.00354303,0.00212582,,-0.00000140,-0.00000562,-0.00002247,0.92612300,-13.28811168,,paper_15m_win,paper_1h_loss,pending_4h
2026-06-07T23:28:18.334491+00:00,CELO,paper_mark_oracle_reversion_candidate,long_perp,4.12821355,1,0.10950000,0.003892462477,48.92462477,-0.00115426,0.00029681,,-0.00115426,0.00029681,,-0.00000313,-0.00001250,-0.00005000,-60.49845866,-46.08153177,,paper_15m_loss,paper_1h_loss,pending_4h
2026-06-07T23:28:18.334491+00:00,CFX,paper_crowded_momentum_continuation_candidate,long_perp,13.63386595,1,0.80120099,0.003176744490,41.76744490,0.00015201,0.00566788,,0.00015201,0.00566788,,-0.00002287,-0.00009146,-0.00036585,-40.47597828,13.99669734,,paper_15m_loss,paper_1h_win,pending_4h
2026-06-07T23:28:18.334491+00:00,CFX,paper_crowded_momentum_reversal_candidate,short_perp,11.58878605,-1,0.80120099,0.003176744490,41.76744490,0.00015201,0.00566788,,-0.00015201,-0.00566788,,0.00002287,0.00009146,0.00036585,-43.05891152,-97.53158714,,paper_15m_loss,paper_1h_loss,pending_4h
2026-06-07T23:28:18.334491+00:00,CFX,paper_extreme_funding_carry_candidate,short_perp,8.39603079,-1,0.80120099,0.003176744490,41.76744490,0.00015201,0.00566788,,-0.00015201,-0.00566788,,0.00002287,0.00009146,0.00036585,-43.05891152,-97.53158714,,paper_15m_loss,paper_1h_loss,pending_4h
2026-06-07T23:28:18.334491+00:00,CFX,paper_mark_oracle_reversion_candidate,short_perp,8.60959399,-1,0.80120099,0.003176744490,41.76744490,0.00015201,0.00566788,,-0.00015201,-0.00566788,,0.00002287,0.00009146,0.00036585,-43.05891152,-97.53158714,,paper_15m_loss,paper_1h_loss,pending_4h
2026-06-07T23:28:18.334491+00:00,COMP,paper_mark_oracle_reversion_candidate,long_perp,7.53182944,1,0.04743628,0.003263869931,42.63869931,-0.00394178,0.00418435,,-0.00394178,0.00418435,,-0.00000135,-0.00000542,-0.00002166,-82.07006605,-0.84930877,,paper_15m_loss,paper_1h_loss,pending_4h
2026-06-07T23:28:18.334491+00:00,CRV,paper_crowded_momentum_continuation_candidate,long_perp,12.63318333,1,0.10950000,0.000813214740,18.13214740,-0.00253884,-0.00035544,,-0.00253884,-0.00035544,,-0.00000313,-0.00001250,-0.00005000,-43.55184058,-21.81152945,,paper_15m_loss,paper_1h_loss,pending_4h
