timestamp,asset,action,status,candidate_size_usd,net_1h_proxy_bps,funding_return_1h_bps,best_bid,best_ask,mid_price,spread_bps,side_depth_10bps_notional,side_depth_50bps_notional,visible_depth_usage_10bps,visible_depth_impact_bps,round_trip_fee_bps,conservative_cost_bps,conservative_net_1h_bps,gate_action,reason
2026-06-07T23:16:59.958447+00:00,APEX,short_carry_reversion_watch,paper_validated_carry_reversion_candidate,250.00,245.74540000,0.12500000,0.261220000000,0.261470000000,0.261345000000,9.56589948,666.11100000,13458.87943000,0.37531282,3.75312823,10.00000000,23.31902771,222.42637229,too_large_for_visible_depth,candidate size uses too much visible near-touch depth
2026-06-07T23:16:59.958447+00:00,CFX,short_carry_reversion_watch,paper_validated_carry_reversion_candidate,2500.00,237.50920000,0.50720000,0.045796000000,0.045814000000,0.045805000000,3.92970200,4181.11880300,9578.36617800,0.59792609,5.97926086,10.00000000,19.90896286,217.60023714,too_large_for_visible_depth,candidate size uses too much visible near-touch depth
2026-06-07T23:16:59.958447+00:00,APEX,short_carry_reversion_watch,paper_validated_carry_reversion_candidate,1000.00,245.74540000,0.12500000,0.261220000000,0.261470000000,0.261345000000,9.56589948,666.11100000,13458.87943000,1.50125129,10.00000000,10.00000000,29.56589948,216.17950052,too_large_for_visible_depth,candidate size uses too much visible near-touch depth
2026-06-07T23:16:59.958447+00:00,APEX,short_carry_reversion_watch,paper_validated_carry_reversion_candidate,2500.00,245.74540000,0.12500000,0.261220000000,0.261470000000,0.261345000000,9.56589948,666.11100000,13458.87943000,3.75312823,10.00000000,10.00000000,29.56589948,216.17950052,too_large_for_visible_depth,candidate size uses too much visible near-touch depth
2026-06-07T23:16:59.958447+00:00,GRIFFAIN,short_carry_reversion_watch,paper_validated_carry_reversion_candidate,250.00,243.96330000,0.12500000,0.008197000000,0.008213000000,0.008205000000,19.50030469,414.22719800,13552.36367200,0.60353352,6.03533523,10.00000000,35.53563992,208.42766008,too_large_for_visible_depth,candidate size uses too much visible near-touch depth
2026-06-07T23:16:59.958447+00:00,HEMI,short_carry_reversion_watch,paper_validated_carry_reversion_candidate,1000.00,228.20420000,0.12500000,0.005568000000,0.005572000000,0.005570000000,7.18132855,2081.97411200,14689.38416700,0.48031337,4.80313369,10.00000000,21.98446224,206.21973776,too_large_for_visible_depth,candidate size uses too much visible near-touch depth
2026-06-07T23:16:59.958447+00:00,GRIFFAIN,short_carry_reversion_watch,paper_validated_carry_reversion_candidate,1000.00,243.96330000,0.12500000,0.008197000000,0.008213000000,0.008205000000,19.50030469,414.22719800,13552.36367200,2.41413409,10.00000000,10.00000000,39.50030469,204.46299531,too_large_for_visible_depth,candidate size uses too much visible near-touch depth
2026-06-07T23:16:59.958447+00:00,GRIFFAIN,short_carry_reversion_watch,paper_validated_carry_reversion_candidate,2500.00,243.96330000,0.12500000,0.008197000000,0.008213000000,0.008205000000,19.50030469,414.22719800,13552.36367200,6.03533523,10.00000000,10.00000000,39.50030469,204.46299531,too_large_for_visible_depth,candidate size uses too much visible near-touch depth
2026-06-07T23:16:59.958447+00:00,HEMI,short_carry_reversion_watch,paper_validated_carry_reversion_candidate,2500.00,228.20420000,0.12500000,0.005568000000,0.005572000000,0.005570000000,7.18132855,2081.97411200,14689.38416700,1.20078342,10.00000000,10.00000000,27.18132855,201.02287145,too_large_for_visible_depth,candidate size uses too much visible near-touch depth
2026-06-07T23:16:59.958447+00:00,PURR,short_carry_reversion_watch,paper_validated_carry_reversion_candidate,250.00,95.93400000,0.12500000,0.090609000000,0.090835000000,0.090722000000,24.91126739,0.00000000,4041.02723300,inf,10.00000000,10.00000000,44.91126739,51.02273261,no_visible_depth,no visible near-touch depth on the execution side
2026-06-07T23:16:59.958447+00:00,PURR,short_carry_reversion_watch,paper_validated_carry_reversion_candidate,1000.00,95.93400000,0.12500000,0.090609000000,0.090835000000,0.090722000000,24.91126739,0.00000000,4041.02723300,inf,10.00000000,10.00000000,44.91126739,51.02273261,no_visible_depth,no visible near-touch depth on the execution side
2026-06-07T23:16:59.958447+00:00,PURR,short_carry_reversion_watch,paper_validated_carry_reversion_candidate,2500.00,95.93400000,0.12500000,0.090609000000,0.090835000000,0.090722000000,24.91126739,0.00000000,4041.02723300,inf,10.00000000,10.00000000,44.91126739,51.02273261,no_visible_depth,no visible near-touch depth on the execution side
2026-06-07T23:16:59.958447+00:00,HMSTR,short_carry_reversion_watch,paper_validated_carry_reversion_candidate,250.00,-54.51660000,0.12500000,0.000187000000,0.000188000000,0.000187500000,53.33333333,0.00000000,161.47057300,inf,10.00000000,10.00000000,73.33333333,-127.84993333,no_visible_depth,no visible near-touch depth on the execution side
2026-06-07T23:16:59.958447+00:00,HMSTR,short_carry_reversion_watch,paper_validated_carry_reversion_candidate,1000.00,-54.51660000,0.12500000,0.000187000000,0.000188000000,0.000187500000,53.33333333,0.00000000,161.47057300,inf,10.00000000,10.00000000,73.33333333,-127.84993333,no_visible_depth,no visible near-touch depth on the execution side
2026-06-07T23:16:59.958447+00:00,HMSTR,short_carry_reversion_watch,paper_validated_carry_reversion_candidate,2500.00,-54.51660000,0.12500000,0.000187000000,0.000188000000,0.000187500000,53.33333333,0.00000000,161.47057300,inf,10.00000000,10.00000000,73.33333333,-127.84993333,no_visible_depth,no visible near-touch depth on the execution side
