asset,source_status,side,status,action,score,candidate_score,monitor_observations,monitor_action,current_outcome_15m,current_net_15m_bps,current_outcome_1h,current_net_1h_bps,execution_gate,candidate_size_usd,conservative_net_15m_bps,conservative_net_1h_bps,spread_bps,visible_depth_usage_10bps,history_action,history_observations,history_win_1h,history_mean_net_1h_bps,reason,next_step
MANTA,paper_crowded_momentum_reversal_candidate,long_perp,dislocation_monitor_conflict_relabel,relabel_before_probe,34.00000000,15.67725242,17,repeat_label_priority,paper_15m_loss,-56.86648915,paper_1h_loss,-168.60505286,,0.00,0.00000000,0.00000000,0.00000000,0.00000000,deprioritize_until_fresh_snapshot,3,1,-46.85622933,repeated monitor conflicts with the latest paper label,relabel MANTA because monitor and latest label disagree
ETH,paper_crowded_momentum_continuation_candidate,long_perp,dislocation_failed_1h_confirmation,wait_for_fresh_1h,34.00000000,15.01283758,17,repeat_label_priority,paper_15m_win,14.71410430,paper_1h_loss,-129.64913987,,0.00,0.00000000,0.00000000,0.00000000,0.00000000,wait_for_1h_or_repeat_label,3,2,-8.07751098,15m edge failed after the 1h label matured,deprioritize ETH until a fresh 1h label supports the same lane
ATOM,paper_crowded_momentum_continuation_candidate,long_perp,dislocation_failed_1h_confirmation,wait_for_fresh_1h,34.00000000,14.82793549,17,repeat_label_priority,paper_15m_win,18.98401042,paper_1h_loss,-116.71517063,,0.00,0.00000000,0.00000000,0.00000000,0.00000000,wait_for_1h_or_repeat_label,3,2,-6.66066330,15m edge failed after the 1h label matured,deprioritize ATOM until a fresh 1h label supports the same lane
IMX,paper_crowded_momentum_continuation_candidate,long_perp,dislocation_failed_1h_confirmation,wait_for_fresh_1h,34.00000000,13.77326544,15,repeat_label_priority,paper_15m_win,58.68610725,paper_1h_loss,-134.07886567,,0.00,0.00000000,0.00000000,0.00000000,0.00000000,repeat_paper_probe_priority,3,2,32.58823849,15m edge failed after the 1h label matured,deprioritize IMX until a fresh 1h label supports the same lane
MEGA,paper_crowded_momentum_reversal_candidate,short_perp,dislocation_monitor_conflict_relabel,relabel_before_probe,34.00000000,13.50173295,13,repeat_label_priority,paper_15m_loss,-95.00048834,paper_1h_loss,-16.59185851,,0.00,0.00000000,0.00000000,0.00000000,0.00000000,deprioritize_until_fresh_snapshot,3,0,-58.68678292,repeated monitor conflicts with the latest paper label,relabel MEGA because monitor and latest label disagree
VIRTUAL,paper_crowded_momentum_continuation_candidate,long_perp,dislocation_failed_1h_confirmation,wait_for_fresh_1h,34.00000000,13.34397852,12,repeat_label_priority,paper_15m_win,68.40691235,paper_1h_loss,-151.98173404,,0.00,0.00000000,0.00000000,0.00000000,0.00000000,repeat_paper_probe_priority,3,2,9.00522722,15m edge failed after the 1h label matured,deprioritize VIRTUAL until a fresh 1h label supports the same lane
STRK,paper_crowded_momentum_continuation_candidate,long_perp,dislocation_failed_1h_confirmation,wait_for_fresh_1h,34.00000000,13.06436129,13,repeat_label_priority,paper_15m_win,31.35873727,paper_1h_loss,-69.12584469,failed_1h_confirmation,250.00,30.93385497,-69.55074503,8.90604126,0.04421038,repeat_paper_probe_priority,3,1,11.97462665,15m edge failed after the 1h label matured,deprioritize STRK until a fresh 1h label supports the same lane
kLUNC,paper_crowded_momentum_continuation_candidate,long_perp,dislocation_monitor_conflict_relabel,relabel_before_probe,34.00000000,13.04707159,6,repeat_label_priority,paper_15m_loss,-27.08070032,paper_1h_loss,-227.41386484,,0.00,0.00000000,0.00000000,0.00000000,0.00000000,deprioritize_until_fresh_snapshot,3,1,-78.55387352,repeated monitor conflicts with the latest paper label,relabel kLUNC because monitor and latest label disagree
AERO,paper_mark_oracle_reversion_candidate,long_perp,dislocation_failed_1h_confirmation,wait_for_fresh_1h,34.00000000,13.04054328,10,repeat_label_priority,paper_15m_win,134.92544660,paper_1h_loss,-114.22771357,,0.00,0.00000000,0.00000000,0.00000000,0.00000000,repeat_paper_probe_priority,3,2,7.87976516,15m edge failed after the 1h label matured,deprioritize AERO until a fresh 1h label supports the same lane
BCH,paper_crowded_momentum_continuation_candidate,long_perp,dislocation_monitor_conflict_relabel,relabel_before_probe,34.00000000,13.00750035,10,repeat_label_priority,paper_15m_loss,-0.96137885,paper_1h_loss,-175.84533712,,0.00,0.00000000,0.00000000,0.00000000,0.00000000,deprioritize_until_fresh_snapshot,3,2,-46.48064396,repeated monitor conflicts with the latest paper label,relabel BCH because monitor and latest label disagree
INJ,paper_crowded_momentum_continuation_candidate,long_perp,dislocation_monitor_conflict_relabel,relabel_before_probe,34.00000000,12.83221072,9,repeat_label_priority,paper_15m_loss,-27.22610414,paper_1h_loss,-161.68125865,,0.00,0.00000000,0.00000000,0.00000000,0.00000000,repeat_paper_probe_priority,3,2,58.30613710,repeated monitor conflicts with the latest paper label,relabel INJ because monitor and latest label disagree
VVV,paper_crowded_momentum_continuation_candidate,long_perp,dislocation_failed_1h_confirmation,wait_for_fresh_1h,34.00000000,12.43923430,0,,paper_15m_win,85.02547242,paper_1h_loss,-236.73564702,,0.00,0.00000000,0.00000000,0.00000000,0.00000000,wait_for_1h_or_repeat_label,1,0,-236.73564702,15m edge failed after the 1h label matured,deprioritize VVV until a fresh 1h label supports the same lane
SOL,paper_crowded_momentum_continuation_candidate,long_perp,dislocation_failed_1h_confirmation,wait_for_fresh_1h,34.00000000,12.43052266,10,repeat_label_priority,paper_15m_win,23.83523153,paper_1h_loss,-117.13114371,,0.00,0.00000000,0.00000000,0.00000000,0.00000000,wait_for_1h_or_repeat_label,3,2,-12.00596336,15m edge failed after the 1h label matured,deprioritize SOL until a fresh 1h label supports the same lane
SEI,paper_crowded_momentum_continuation_candidate,long_perp,dislocation_failed_1h_confirmation,wait_for_fresh_1h,34.00000000,12.41253472,10,repeat_label_priority,paper_15m_win,15.51780658,paper_1h_loss,-150.42731969,,0.00,0.00000000,0.00000000,0.00000000,0.00000000,wait_for_1h_or_repeat_label,3,2,-27.86714148,15m edge failed after the 1h label matured,deprioritize SEI until a fresh 1h label supports the same lane
FET,paper_crowded_momentum_continuation_candidate,long_perp,dislocation_failed_1h_confirmation,wait_for_fresh_1h,34.00000000,12.04532068,13,repeat_label_priority,paper_15m_win,14.96144061,paper_1h_loss,-236.83779046,,0.00,0.00000000,0.00000000,0.00000000,0.00000000,wait_for_1h_or_repeat_label,3,1,-92.74744493,15m edge failed after the 1h label matured,deprioritize FET until a fresh 1h label supports the same lane
ONDO,paper_crowded_momentum_continuation_candidate,long_perp,dislocation_failed_1h_confirmation,wait_for_fresh_1h,34.00000000,11.97949593,10,repeat_label_priority,paper_15m_win,85.65001886,paper_1h_loss,-96.58627999,failed_1h_confirmation,250.00,91.01264153,-91.22355847,4.04893426,0.02217242,repeat_paper_probe_priority,3,2,18.98654189,15m edge failed after the 1h label matured,deprioritize ONDO until a fresh 1h label supports the same lane
AERO,paper_extreme_funding_carry_candidate,long_perp,dislocation_failed_1h_confirmation,wait_for_fresh_1h,34.00000000,11.88848211,4,repeat_label_priority,paper_15m_win,134.92544660,paper_1h_loss,-114.22771357,,0.00,0.00000000,0.00000000,0.00000000,0.00000000,wait_for_1h_or_repeat_label,2,1,-5.43132852,15m edge failed after the 1h label matured,deprioritize AERO until a fresh 1h label supports the same lane
FIL,paper_crowded_momentum_continuation_candidate,long_perp,dislocation_failed_1h_confirmation,wait_for_fresh_1h,34.00000000,11.79394097,10,repeat_label_priority,paper_15m_win,54.63552071,paper_1h_loss,-131.36744966,,0.00,0.00000000,0.00000000,0.00000000,0.00000000,wait_for_1h_or_repeat_label,3,1,-35.57505122,15m edge failed after the 1h label matured,deprioritize FIL until a fresh 1h label supports the same lane
XRP,paper_crowded_momentum_continuation_candidate,long_perp,dislocation_failed_1h_confirmation,wait_for_fresh_1h,34.00000000,11.65768614,10,repeat_label_priority,paper_15m_win,38.23510539,paper_1h_loss,-99.92613102,failed_1h_confirmation,250.00,36.60123409,-101.55996591,2.61130696,0.00046590,wait_for_1h_or_repeat_label,3,1,-1.94325627,15m edge failed after the 1h label matured,deprioritize XRP until a fresh 1h label supports the same lane
