sample_index,timestamp,asset,action,annualized_funding,mark_oracle_diff,premium,oi_volume_ratio,impact_spread,carry_reversion_score
1,2026-06-07T14:48:14.737284+00:00,IP,long_carry_reversion_watch,-0.18045600,-0.001413472967,-0.000963731600,6.34844415,0.001254907008,7.39378129
1,2026-06-07T14:48:14.737284+00:00,ATOM,long_carry_reversion_watch,-0.33060328,-0.002191943128,-0.001540284400,5.37022968,0.002019242190,7.29347964
1,2026-06-07T14:48:14.737284+00:00,MEGA,long_carry_reversion_watch,-0.10163002,-0.001102414287,-0.000507110600,6.32594157,0.001501170030,6.91033381
1,2026-06-07T14:48:14.737284+00:00,BABY,long_carry_reversion_watch,-1.02648541,-0.002951555983,-0.002887391700,0.34454701,0.002513372430,6.86664493
1,2026-06-07T14:48:14.737284+00:00,SAGA,long_carry_reversion_watch,-1.12406918,-0.001459854015,-0.001459854000,0.70712965,0.002194586686,6.60081411
1,2026-06-07T14:48:14.737284+00:00,STABLE,long_carry_reversion_watch,-0.72212009,-0.002936726884,-0.001423867600,1.96486843,0.002320047591,6.44665099
1,2026-06-07T14:48:14.737284+00:00,UMA,long_carry_reversion_watch,-0.91725084,-0.002043650274,-0.000104802600,2.19843064,0.004674369748,6.39222908
1,2026-06-07T14:48:14.737284+00:00,XMR,short_carry_reversion_watch,0.10950000,0.000260264168,0.000000000000,5.65983681,0.000731814412,6.36262986
1,2026-06-07T14:48:14.737284+00:00,BSV,long_carry_reversion_watch,-0.66880760,-0.003410981697,-0.000998336100,2.53918475,0.003236839910,6.13356704
1,2026-06-07T14:48:14.737284+00:00,BIO,long_carry_reversion_watch,-0.64984045,-0.001673669967,-0.002207820000,2.24868283,0.001428724506,6.09680858
1,2026-06-07T14:48:14.737284+00:00,SEI,long_carry_reversion_watch,-0.58653281,-0.001418439716,-0.001134751800,2.52619397,0.001096179611,6.08450842
1,2026-06-07T14:48:14.737284+00:00,TRUMP,long_carry_reversion_watch,-0.17569844,-0.001043264805,-0.001190549200,4.80613128,0.000639134710,5.94358713
1,2026-06-07T14:48:14.737284+00:00,ZORA,long_carry_reversion_watch,-0.45334402,-0.002343292326,-0.001288810800,3.53827265,0.003171619875,5.85783270
1,2026-06-07T14:48:14.737284+00:00,POPCAT,long_carry_reversion_watch,-0.58298501,-0.001669121257,-0.001399116300,2.42499449,0.001008238043,5.82980344
1,2026-06-07T14:48:14.737284+00:00,JUP,long_carry_reversion_watch,-0.47522387,-0.001801801802,-0.001332046300,2.86176004,0.001450536699,5.80841286
1,2026-06-07T14:48:14.737284+00:00,OP,long_carry_reversion_watch,-0.34974738,-0.001564945227,-0.000312989000,3.77583189,0.002403594942,5.76300206
2,2026-06-07T14:48:25.097096+00:00,MON,long_carry_reversion_watch,-0.73852757,-0.001831747308,-0.001295626100,11.45063975,0.001387645479,14.79432607
2,2026-06-07T14:48:25.097096+00:00,AERO,long_carry_reversion_watch,-0.26047685,-0.001214587192,-0.000576928900,12.15760981,0.001319550015,11.46526805
2,2026-06-07T14:48:25.097096+00:00,ZRO,short_carry_reversion_watch,0.10950000,0.000412026726,0.000345211600,10.27360352,0.000378416882,10.71137496
2,2026-06-07T14:48:25.097096+00:00,XAI,long_carry_reversion_watch,-0.24086759,-0.001265822785,0.000000000000,13.64910563,0.006345177665,10.56537873
2,2026-06-07T14:48:25.097096+00:00,HEMI,short_carry_reversion_watch,0.10950000,0.001798561151,0.001079136700,15.35146305,0.002870470039,10.46905371
2,2026-06-07T14:48:25.097096+00:00,STBL,short_carry_reversion_watch,0.10950000,0.000121334681,0.000000000000,9.70683096,0.003721381765,9.93346403
2,2026-06-07T14:48:25.097096+00:00,MORPHO,long_carry_reversion_watch,-0.70293481,-0.002398502399,-0.002059202100,4.33262122,0.001114206128,8.66497402
2,2026-06-07T14:48:25.097096+00:00,PURR,short_carry_reversion_watch,0.10950000,0.001363250346,0.001117418300,8.69287128,0.008817398477,8.62105543
2,2026-06-07T14:48:25.097096+00:00,SNX,long_carry_reversion_watch,-0.80787436,-0.002110403046,-0.000703467700,3.19407778,0.003234903782,7.45984546
2,2026-06-07T14:48:25.097096+00:00,IP,long_carry_reversion_watch,-0.18134164,-0.001446015424,-0.000353470400,6.34640186,0.001640979439,7.34606371
2,2026-06-07T14:48:25.097096+00:00,ATOM,long_carry_reversion_watch,-0.33227206,-0.002251851852,-0.001244444400,5.36831664,0.002256800095,7.27583208
2,2026-06-07T14:48:25.097096+00:00,MEGA,long_carry_reversion_watch,-0.10076628,-0.001212789416,-0.000837927200,6.32013349,0.001568021201,6.91197699
2,2026-06-07T14:48:25.097096+00:00,BABY,long_carry_reversion_watch,-1.02881382,-0.003018625562,-0.002119460500,0.34419224,0.002320484723,6.88761876
2,2026-06-07T14:48:25.097096+00:00,UMA,long_carry_reversion_watch,-0.91260366,-0.002043650274,-0.000707417400,2.19843064,0.003256046005,6.52655971
2,2026-06-07T14:48:25.097096+00:00,SAGA,long_carry_reversion_watch,-1.12381777,-0.001459854015,-0.001459854000,0.70712965,0.002928257687,6.52612055
2,2026-06-07T14:48:25.097096+00:00,STABLE,long_carry_reversion_watch,-0.72267022,-0.002996588043,-0.001275775100,1.96440077,0.002469062351,6.43690590
2,2026-06-07T14:48:25.097096+00:00,XMR,short_carry_reversion_watch,0.10950000,0.000455566041,0.000218020900,5.65963719,0.000741644303,6.38642806
2,2026-06-07T14:48:25.097096+00:00,SEI,long_carry_reversion_watch,-0.58557096,-0.001419014798,-0.001175755100,2.52516873,0.000893455439,6.09910231
2,2026-06-07T14:48:25.097096+00:00,BSV,long_carry_reversion_watch,-0.66844582,-0.003327787022,-0.001056572400,2.52930607,0.003454317897,6.09380194
2,2026-06-07T14:48:25.097096+00:00,BIO,long_carry_reversion_watch,-0.64934814,-0.001604564093,-0.001212337300,2.24587548,0.001428979708,6.05932315
2,2026-06-07T14:48:25.097096+00:00,ZORA,long_carry_reversion_watch,-0.45431550,-0.002812280291,-0.001171783500,3.53562590,0.003171619875,5.90431107
