timestamp,asset,status,side,score,direction,annualized_funding,impact_spread,conservative_cost_bps,raw_return_15m,raw_return_1h,raw_return_4h,directional_return_15m,directional_return_1h,directional_return_4h,funding_return_15m,funding_return_1h,funding_return_4h,net_15m_bps,net_1h_bps,net_4h_bps,outcome_15m,outcome_1h,outcome_4h
2026-06-08T00:00:33.337355+00:00,ZEC,paper_crowded_momentum_reversal_candidate,short_perp,25.46352536,-1,-0.43711962,0.000674799630,16.74799630,-0.00425396,,,0.00425396,,,-0.00001247,-0.00004990,-0.00019960,25.66682132,,,paper_15m_win,pending_1h,pending_4h
2026-06-08T00:00:33.337355+00:00,WLD,paper_crowded_momentum_reversal_candidate,short_perp,20.20256011,-1,0.10950000,0.001233690197,22.33690197,-0.00388390,,,0.00388390,,,0.00000313,0.00001250,0.00005000,16.53335409,,,paper_15m_win,pending_1h,pending_4h
2026-06-08T00:00:33.337355+00:00,PENGU,paper_crowded_momentum_reversal_candidate,short_perp,15.00715631,-1,0.10950000,0.000573230152,15.73230152,-0.00317323,,,0.00317323,,,0.00000313,0.00001250,0.00005000,16.03124330,,,paper_15m_win,pending_1h,pending_4h
2026-06-08T00:00:33.337355+00:00,FET,paper_crowded_momentum_reversal_candidate,short_perp,11.30573143,-1,0.10950000,0.001070749290,20.70749290,-0.00264126,,,0.00264126,,,0.00000313,0.00001250,0.00005000,5.73635968,,,paper_15m_win,pending_1h,pending_4h
2026-06-08T00:00:33.337355+00:00,SUI,paper_crowded_momentum_reversal_candidate,short_perp,9.82979907,-1,0.10950000,0.000435052008,14.35052008,-0.00165195,,,0.00165195,,,0.00000313,0.00001250,0.00005000,2.20026262,,,paper_15m_win,pending_1h,pending_4h
2026-06-08T00:00:33.337355+00:00,SOL,paper_crowded_momentum_reversal_candidate,short_perp,11.21001033,-1,0.02392882,0.000165678869,11.65678869,-0.00114880,,,0.00114880,,,0.00000068,0.00000273,0.00001093,-0.16196162,,,paper_15m_loss,pending_1h,pending_4h
2026-06-08T00:00:33.337355+00:00,ETH,paper_crowded_momentum_reversal_candidate,short_perp,12.68327564,-1,0.10950000,0.000083019539,10.83019539,-0.00083056,,,0.00083056,,,0.00000313,0.00001250,0.00005000,-2.49329755,,,paper_15m_loss,pending_1h,pending_4h
2026-06-08T00:00:33.337355+00:00,DOGE,paper_crowded_momentum_reversal_candidate,short_perp,10.07910805,-1,0.10950000,0.000278441655,12.78441655,-0.00074493,,,0.00074493,,,0.00000313,0.00001250,0.00005000,-5.30385678,,,paper_15m_loss,pending_1h,pending_4h
2026-06-08T00:00:33.337355+00:00,BNB,paper_crowded_momentum_reversal_candidate,short_perp,11.41545230,-1,0.10950000,0.000148922792,11.48922792,-0.00049656,,,0.00049656,,,0.00000313,0.00001250,0.00005000,-6.49240589,,,paper_15m_loss,pending_1h,pending_4h
2026-06-08T00:00:33.337355+00:00,VIRTUAL,paper_crowded_momentum_reversal_candidate,short_perp,11.86750922,-1,-0.06428964,0.000932288250,19.32288250,-0.00112453,,,0.00112453,,,-0.00000183,-0.00000734,-0.00002936,-8.09594437,,,paper_15m_loss,pending_1h,pending_4h
2026-06-08T00:00:33.337355+00:00,TAO,paper_crowded_momentum_reversal_candidate,short_perp,16.10497157,-1,0.10950000,0.001046924659,20.46924659,-0.00117332,,,0.00117332,,,0.00000313,0.00001250,0.00005000,-8.70476338,,,paper_15m_loss,pending_1h,pending_4h
2026-06-08T00:00:33.337355+00:00,XRP,paper_crowded_momentum_reversal_candidate,short_perp,10.39467079,-1,0.04492916,0.000254721885,12.54721885,-0.00034792,,,0.00034792,,,0.00000128,0.00000513,0.00002052,-9.05522812,,,paper_15m_loss,pending_1h,pending_4h
2026-06-08T00:00:33.337355+00:00,LINK,paper_crowded_momentum_reversal_candidate,short_perp,15.96660370,-1,0.10950000,0.000533326593,15.33326593,-0.00055724,,,0.00055724,,,0.00000313,0.00001250,0.00005000,-9.72964476,,,paper_15m_loss,pending_1h,pending_4h
2026-06-08T00:00:33.337355+00:00,HYPE,paper_crowded_momentum_reversal_candidate,short_perp,11.30936369,-1,0.10950000,0.000363338022,13.63338022,-0.00038270,,,0.00038270,,,0.00000313,0.00001250,0.00005000,-9.77511147,,,paper_15m_loss,pending_1h,pending_4h
