symbol,name,coin_id,market_cap_rank,current_price,market_cap,total_volume,volume_to_market_cap,price_change_1h,price_change_24h,price_change_7d,price_change_30d,status,side,score,evidence,next_step
AAVE,Aave,aave,71,62.710000000000,954553516.00000000,139699949.00000000,0.14635109,-1.34009208,-1.74210887,-21.71043110,-34.65490878,capitulation_reversal_watch,watch_reversal_trigger,41.94149659,rank=71; price_1h=-1.34; price_24h=-1.74; price_7d=-21.71; price_30d=-34.65; volume_to_mcap=0.1464,"wait for AAVE reversal trigger, then label capitulation rebound"
BAT,Basic Attention,basic-attention-token,213,0.095995000000,143039088.00000000,21544419.00000000,0.15061910,1.06689971,10.75069229,-14.45872961,-11.80929410,volume_reversal_candidate,long_reversal,38.59656803,rank=213; price_1h=1.07; price_24h=10.75; price_7d=-14.46; price_30d=-11.81; volume_to_mcap=0.1506,"paper-label BAT volume-backed reversal over 1h, 4h, 12h, and 24h"
NIGHT,Midnight,midnight-3,98,0.032094990000,540058559.00000000,29402370.00000000,0.05444293,-1.66696297,7.03788355,-17.74413859,-1.37488714,volume_reversal_candidate,long_reversal,38.14859791,rank=98; price_1h=-1.67; price_24h=7.04; price_7d=-17.74; price_30d=-1.37; volume_to_mcap=0.0544,"paper-label NIGHT volume-backed reversal over 1h, 4h, 12h, and 24h"
SAND,The Sandbox,the-sandbox,216,0.051501000000,137265119.00000000,18323590.00000000,0.13349050,-1.03335041,-3.27375950,-25.40365432,-35.44474219,capitulation_reversal_watch,watch_reversal_trigger,37.61308459,rank=216; price_1h=-1.03; price_24h=-3.27; price_7d=-25.40; price_30d=-35.44; volume_to_mcap=0.1335,"wait for SAND reversal trigger, then label capitulation rebound"
FARTCOIN,Fartcoin,fartcoin,241,0.115266000000,115357777.00000000,18256091.00000000,0.15825627,-1.62120191,-0.20974024,-24.80295470,-54.99335664,capitulation_reversal_watch,watch_reversal_trigger,37.24833064,rank=241; price_1h=-1.62; price_24h=-0.21; price_7d=-24.80; price_30d=-54.99; volume_to_mcap=0.1583,"wait for FARTCOIN reversal trigger, then label capitulation rebound"
ARB,Arbitrum,arbitrum,102,0.081195000000,507939005.00000000,44413485.00000000,0.08743862,-0.93430524,-2.42459751,-20.44575620,-42.96194162,capitulation_reversal_watch,watch_reversal_trigger,35.59207333,rank=102; price_1h=-0.93; price_24h=-2.42; price_7d=-20.45; price_30d=-42.96; volume_to_mcap=0.0874,"wait for ARB reversal trigger, then label capitulation rebound"
TIA,Celestia,celestia,134,0.313153000000,291062162.00000000,28790384.00000000,0.09891490,-1.23568369,-1.45197702,-21.22715105,-29.33492578,capitulation_reversal_watch,watch_reversal_trigger,35.46204491,rank=134; price_1h=-1.24; price_24h=-1.45; price_7d=-21.23; price_30d=-29.33; volume_to_mcap=0.0989,"wait for TIA reversal trigger, then label capitulation rebound"
PUMP,Pump.fun,pump-fun,93,0.001598850000,559956969.00000000,67934260.00000000,0.12132050,-1.48642345,4.24174030,-13.03793221,-25.34694163,volume_reversal_candidate,long_reversal,34.90890257,rank=93; price_1h=-1.49; price_24h=4.24; price_7d=-13.04; price_30d=-25.35; volume_to_mcap=0.1213,"paper-label PUMP volume-backed reversal over 1h, 4h, 12h, and 24h"
LDO,Lido DAO,lido-dao,159,0.263349000000,222432776.00000000,22277637.00000000,0.10015447,-1.13495932,-3.25847108,-20.55326564,-34.09634255,capitulation_reversal_watch,watch_reversal_trigger,33.61253389,rank=159; price_1h=-1.13; price_24h=-3.26; price_7d=-20.55; price_30d=-34.10; volume_to_mcap=0.1002,"wait for LDO reversal trigger, then label capitulation rebound"
LUNC,Terra Luna Classic,terra-luna,117,0.000070800000,393770738.00000000,42801289.00000000,0.10869596,-1.32109529,5.21495434,-12.32274899,-25.21829940,volume_reversal_candidate,long_reversal,33.20946102,rank=117; price_1h=-1.32; price_24h=5.21; price_7d=-12.32; price_30d=-25.22; volume_to_mcap=0.1087,"paper-label LUNC volume-backed reversal over 1h, 4h, 12h, and 24h"
GWEI,ETHGas,ethgas-2,124,0.170187000000,355671964.00000000,38271976.00000000,0.10760470,-1.00322209,31.63493220,70.52099443,34.44991896,chase_risk,wait_or_fade_watch,32.88653078,rank=124; price_1h=-1.00; price_24h=31.63; price_7d=70.52; price_30d=34.45; volume_to_mcap=0.1076,avoid chasing GWEI; label pullback or fade setup first
AXS,Axie Infinity,axie-infinity,192,0.936850000000,162608748.00000000,18253353.00000000,0.11225320,-0.88173083,-0.93317299,-20.15081221,-35.15408446,capitulation_reversal_watch,watch_reversal_trigger,32.28600446,rank=192; price_1h=-0.88; price_24h=-0.93; price_7d=-20.15; price_30d=-35.15; volume_to_mcap=0.1123,"wait for AXS reversal trigger, then label capitulation rebound"
NXPC,Nexpace,nexpace,266,0.362621000000,102616584.00000000,10544207.00000000,0.10275344,0.47687620,7.61179677,-15.37712112,6.51271027,volume_reversal_candidate,long_reversal,30.85412429,rank=266; price_1h=0.48; price_24h=7.61; price_7d=-15.38; price_30d=6.51; volume_to_mcap=0.1028,"paper-label NXPC volume-backed reversal over 1h, 4h, 12h, and 24h"
MANA,Decentraland,decentraland,227,0.065694000000,127505872.00000000,11176185.00000000,0.08765232,-1.38586993,-2.52814900,-21.80087757,-32.11107873,capitulation_reversal_watch,watch_reversal_trigger,30.71001654,rank=227; price_1h=-1.39; price_24h=-2.53; price_7d=-21.80; price_30d=-32.11; volume_to_mcap=0.0877,"wait for MANA reversal trigger, then label capitulation rebound"
