timestamp,observed_at,symbol,name,side,direction,score,label_status,directional_return_1h,directional_return_4h,price_source,mark_price,annualized_funding,day_notional_volume,open_interest_notional,spread_bps,near_depth_10bps_notional,visible_depth_usage_250,conservative_net_4h_bps,action,reason,next_step
2026-06-08T12:20:46.228409+00:00,2026-06-07T22:55:00+00:00,DOGE,Dogecoin,long_reversal,1,37.68614915,labeled_12h_pending_24h,0.00094369,0.00236506,hyperliquid,0.086026000000,0.10950000,10829304.70635700,23246391.33468000,0.93008115,75609.48851800,0.00330646,14.22051885,paper_execution_probe,current public venue context does not obviously block a small repeat,"run a small paper probe for DOGE and log 15m/1h/4h outcome, fill, funding, and stop behavior"
2026-06-08T12:20:46.228409+00:00,2026-06-07T22:55:00+00:00,SAND,The Sandbox,long_reversal,1,36.89921627,labeled_12h_pending_24h,0.00304780,0.00259347,hyperliquid,0.052348000000,0.10950000,245962.45957500,432147.08335200,7.26091526,2504.85777000,0.09980607,10.17378474,thin_volume_watch,24h notional volume is low for repeat observation,wait for better SAND venue context before paper probing this setup
2026-06-08T12:20:46.228409+00:00,2026-06-07T22:55:00+00:00,TAO,Bittensor,long_reversal,1,45.27202242,labeled_12h_pending_24h,0.00131585,0.00070492,hyperliquid,211.190000000000,0.05785717,7575903.21996000,21733647.37600000,2.36759240,31541.95804500,0.00792595,-3.58258040,no_edge_after_rough_cost,"4h label is erased by rough funding, spread, and taker-fee assumptions","do not promote TAO unless fresh labels survive funding, spread, and fee assumptions"
2026-06-08T12:20:46.228409+00:00,2026-06-07T22:55:00+00:00,FIL,Filecoin,long_reversal,1,42.01226671,labeled_12h_pending_24h,-0.00149054,0.00054437,hyperliquid,0.773100000000,0.10950000,516570.41759800,2919422.27664000,2.45806731,6947.87319900,0.03598223,-5.51436731,no_edge_after_rough_cost,"4h label is erased by rough funding, spread, and taker-fee assumptions","do not promote FIL unless fresh labels survive funding, spread, and fee assumptions"
2026-06-08T12:20:46.228409+00:00,2026-06-07T22:55:00+00:00,WIF,dogwifhat,long_reversal,1,41.19132114,labeled_12h_pending_24h,-0.00429863,0.00012643,hyperliquid,0.160680000000,-0.06186487,1606152.47789000,2809700.93352000,1.86665837,13407.00601500,0.01864697,-8.31987037,no_edge_after_rough_cost,"4h label is erased by rough funding, spread, and taker-fee assumptions","do not promote WIF unless fresh labels survive funding, spread, and fee assumptions"
2026-06-08T12:20:46.228409+00:00,2026-06-07T22:55:00+00:00,UNI,Uniswap,long_reversal,1,37.93284373,labeled_12h_pending_24h,0.00031287,0.00015643,hyperliquid,2.504900000000,0.10950000,1380890.53428000,6038474.25752000,3.59274266,15973.70183000,0.01565072,-10.52844266,no_edge_after_rough_cost,"4h label is erased by rough funding, spread, and taker-fee assumptions","do not promote UNI unless fresh labels survive funding, spread, and fee assumptions"
2026-06-08T12:20:46.228409+00:00,2026-06-07T22:55:00+00:00,DOT,Polkadot,long_reversal,1,38.23488257,labeled_12h_pending_24h,-0.00065930,0.00006181,hyperliquid,0.973070000000,0.10950000,1393274.12789000,4280883.28906000,5.95867964,18461.90879000,0.01354140,-13.84057964,no_edge_after_rough_cost,"4h label is erased by rough funding, spread, and taker-fee assumptions","do not promote DOT unless fresh labels survive funding, spread, and fee assumptions"
2026-06-08T12:20:46.228409+00:00,2026-06-07T22:55:00+00:00,SUI,Sui,long_reversal,1,46.10649990,labeled_12h_pending_24h,0.00064799,-0.00126952,hyperliquid,0.753660000000,0.10950000,42493993.43017199,35131165.42255200,2.25567402,46813.65715250,0.00534032,-23.45087402,label_contradicted,4h label does not support the market-breadth direction,do not promote SUI market-breadth setup without a fresh positive 4h label
2026-06-08T12:20:46.228409+00:00,2026-06-07T22:55:00+00:00,ETHFI,Ether.fi,long_reversal,1,36.60766349,labeled_12h_pending_24h,-0.00648875,-0.00229602,hyperliquid,0.303230000000,0.10950000,511702.87585300,2714832.86633200,2.30798398,3693.43552150,0.06768766,-33.76818398,label_contradicted,4h label does not support the market-breadth direction,do not promote ETHFI market-breadth setup without a fresh positive 4h label
2026-06-08T12:20:46.228409+00:00,2026-06-07T22:55:00+00:00,LTC,Litecoin,long_reversal,1,41.76643674,labeled_12h_pending_24h,-0.00163513,-0.00429806,hyperliquid,42.935000000000,0.10950000,3672465.66577000,10259660.01260000,1.39759148,62714.46342000,0.00398632,-52.87819148,label_contradicted,4h label does not support the market-breadth direction,do not promote LTC market-breadth setup without a fresh positive 4h label
