observed_at,symbol,name,coin_id,status,side,direction,market_cap_rank,current_price,volume_to_market_cap,price_change_24h,price_change_7d,price_change_30d,score,observation_status,next_step
2026-06-07T22:55:00+00:00,LINK,Chainlink,chainlink,volume_reversal_candidate,long_reversal,1,19,7.900000000000,0.05135033,7.45786711,-12.86306290,-23.28037683,37.45194966,ready_for_label,"paper-label LINK volume-backed reversal over 1h, 4h, 12h, and 24h"
2026-06-07T22:55:00+00:00,LTC,Litecoin,litecoin,volume_reversal_candidate,long_reversal,1,30,42.880000000000,0.10746095,4.66999243,-17.14878719,-26.13823494,41.76643674,ready_for_label,"paper-label LTC volume-backed reversal over 1h, 4h, 12h, and 24h"
2026-06-07T22:55:00+00:00,LUNC,Terra Luna Classic,terra-luna,volume_reversal_candidate,long_reversal,1,122,0.000066990000,0.10501347,10.11260082,-20.97750837,-27.16143153,46.29091743,ready_for_label,"paper-label LUNC volume-backed reversal over 1h, 4h, 12h, and 24h"
2026-06-07T22:55:00+00:00,OP,Optimism,optimism,volume_reversal_candidate,long_reversal,1,170,0.097849000000,0.27763358,5.62442941,-17.02784105,-44.34564189,45.81028509,ready_for_label,"paper-label OP volume-backed reversal over 1h, 4h, 12h, and 24h"
2026-06-07T22:55:00+00:00,PENGU,Pudgy Penguins,pudgy-penguins,volume_reversal_candidate,long_reversal,1,112,0.006918680000,0.29336786,10.79861525,-11.61823535,-33.63228735,49.41892235,ready_for_label,"paper-label PENGU volume-backed reversal over 1h, 4h, 12h, and 24h"
2026-06-07T22:55:00+00:00,PEPE,Pepe,pepe,volume_reversal_candidate,long_reversal,1,62,0.000002820000,0.17569265,6.06438770,-16.43933599,-35.01727517,44.94528256,ready_for_label,"paper-label PEPE volume-backed reversal over 1h, 4h, 12h, and 24h"
2026-06-07T22:55:00+00:00,PUMP,Pump.fun,pump-fun,volume_reversal_candidate,long_reversal,1,97,0.001534400000,0.09686323,9.00011977,-14.10057732,-29.27676241,39.06249091,ready_for_label,"paper-label PUMP volume-backed reversal over 1h, 4h, 12h, and 24h"
2026-06-07T22:55:00+00:00,RAY,Raydium,raydium,volume_reversal_candidate,long_reversal,1,201,0.587255000000,0.13134560,6.07503020,-17.88886646,-31.02864014,36.79463293,ready_for_label,"paper-label RAY volume-backed reversal over 1h, 4h, 12h, and 24h"
2026-06-07T22:55:00+00:00,RENDER,Render,render-token,volume_reversal_candidate,long_reversal,1,77,1.680000000000,0.08377427,5.32053682,-18.71962396,-17.31610701,40.21661697,ready_for_label,"paper-label RENDER volume-backed reversal over 1h, 4h, 12h, and 24h"
2026-06-07T22:55:00+00:00,SAHARA,Sahara AI,sahara-ai,breakout_continuation_watch,long_momentum_watch,1,231,0.037525460000,0.40046369,14.98452836,13.93237597,23.25276982,50.36690434,ready_for_label,paper-label SAHARA breakout continuation and stop behavior
2026-06-07T22:55:00+00:00,SAND,The Sandbox,the-sandbox,volume_reversal_candidate,long_reversal,1,214,0.053156000000,0.10147238,3.43206487,-23.07880844,-34.81855853,36.89921627,ready_for_label,"paper-label SAND volume-backed reversal over 1h, 4h, 12h, and 24h"
2026-06-07T22:55:00+00:00,SEI,Sei,sei-network,volume_reversal_candidate,long_reversal,1,128,0.050125000000,0.15689284,7.44001563,-24.97718513,-22.58455025,50.43077127,ready_for_label,"paper-label SEI volume-backed reversal over 1h, 4h, 12h, and 24h"
2026-06-07T22:55:00+00:00,SIREN,Siren,siren-2,chase_risk,wait_or_fade_watch,-1,73,1.280000000000,0.16042963,51.34376926,157.50063122,9.85669869,50.97577756,ready_for_label,avoid chasing SIREN; label pullback or fade setup first
2026-06-07T22:55:00+00:00,SOL,Solana,solana,volume_reversal_candidate,long_reversal,1,7,66.300000000000,0.08054691,7.58642430,-18.90152796,-28.02709338,45.97076715,ready_for_label,"paper-label SOL volume-backed reversal over 1h, 4h, 12h, and 24h"
2026-06-07T22:55:00+00:00,SUI,Sui,sui,volume_reversal_candidate,long_reversal,1,31,0.761583000000,0.20130572,7.11407856,-13.46407787,-25.40694066,46.10649990,ready_for_label,"paper-label SUI volume-backed reversal over 1h, 4h, 12h, and 24h"
2026-06-07T22:55:00+00:00,TAO,Bittensor,bittensor,volume_reversal_candidate,long_reversal,1,42,213.540000000000,0.09618402,10.89382288,-15.70715856,-31.79234979,45.27202242,ready_for_label,"paper-label TAO volume-backed reversal over 1h, 4h, 12h, and 24h"
2026-06-07T22:55:00+00:00,TIA,Celestia,celestia,volume_reversal_candidate,long_reversal,1,134,0.321451000000,0.12980864,7.17504558,-18.24724322,-27.73691954,41.51080747,ready_for_label,"paper-label TIA volume-backed reversal over 1h, 4h, 12h, and 24h"
