candidate,predictions,mean_daily_rank_ic,positive_score_hit_rate,total_return,sharpe,max_drawdown,mean_daily_turnover
funding_premium_rank_ridge_top_2_14d,17719,0.0243051047,0.484606,-0.5530374536,-0.0272694900,-0.8440096451,0.0965630115
momentum_sign_ridge_top_2_7d,17719,0.0329443084,0.465162,-0.3192460738,-0.0321023800,-0.6434624851,0.2062193126
structure_sign_ridge_top_3_1d,17719,-0.0032680374,0.461059,-0.4854825714,-0.0370010461,-0.7820577698,1.3049645390
funding_premium_rank_ridge_top_3_3d,17719,0.0243051047,0.484606,-0.5209502417,-0.0572940468,-0.8336884153,0.4544462630
all_return_ridge_top_1_1d,17719,0.0004776483,0.481326,-0.5971153853,-0.0685493703,-0.8668940358,1.6644844517
structure_rank_ridge_top_3_7d,17719,0.0233645443,0.476778,-0.5379818241,-0.0701077144,-0.7304530581,0.2274959083
flow_contrarian_return_ridge_top_3_14d,17719,-0.0041863538,0.479762,-0.3969981312,-0.0728664326,-0.6898191738,0.1118385161
momentum_contrarian_return_ridge_top_3_7d,17719,0.0030800741,0.475669,-0.5419316747,-0.0738049586,-0.8205165303,0.1674849973
momentum_sign_ridge_top_1_7d,17719,0.0329443084,0.465162,-0.4106756243,-0.0793209811,-0.7116204318,0.2078559738
all_sign_ridge_top_2_7d,17719,0.0176250912,0.477840,-0.4443085604,-0.0871131762,-0.7355163655,0.2520458265
momentum_rank_ridge_top_3_1d,17719,0.0648881175,0.484897,-0.2389221229,-0.1021143917,-0.5227400920,0.4680851064
flow_rank_ridge_top_3_3d,17719,0.0090577041,0.475284,-0.4425689788,-0.1076714731,-0.7375797199,0.4839061648
structure_return_ridge_top_3_3d,17719,-0.0050225179,0.478192,-0.5587670029,-0.1188490875,-0.8601782872,0.4893617021
all_sign_ridge_top_1_14d,17719,0.0176250912,0.477840,-0.5190849523,-0.1199468154,-0.8094638041,0.1194762684
structure_contrarian_return_ridge_top_1_1d,17719,0.0050225179,0.472450,-0.6307404029,-0.1226531404,-0.8599771337,1.6972176759
funding_premium_rank_ridge_top_1_7d,17719,0.0243051047,0.484606,-0.6397625984,-0.1247580687,-0.7634104747,0.1751227496
