candidate,scenario,max_paired_leg_cost_bps,scenario_paired_leg_cost_bps,headroom_bps,passes,default_cost_total_return,default_cost_sharpe,mean_daily_turnover
spot_perp_positive_funding_top_1_7d,expensive_or_thin_execution,5.782354,15.000000,-9.217646,False,0.0267484571,1.7348478873,0.1679909194
spot_perp_positive_funding_top_3_1d,retail_taker_with_slippage,1.358598,11.250000,-9.891402,False,-0.1920809274,-14.4619805587,0.9163828982
spot_perp_positive_funding_top_2_1d,retail_taker_with_slippage,1.278651,11.250000,-9.971349,False,-0.2170664475,-15.3178954899,1.0204313280
spot_perp_positive_funding_top_1_1d,retail_taker_with_slippage,1.212215,11.250000,-10.037785,False,-0.2439893984,-14.3873437846,1.1384790011
spot_perp_positive_funding_top_3_3d,expensive_or_thin_execution,3.173292,15.000000,-11.826708,False,-0.0244509274,-1.6890850722,0.3397654181
spot_perp_positive_funding_top_2_3d,expensive_or_thin_execution,3.024226,15.000000,-11.975774,False,-0.0310375435,-2.0386450895,0.3666288309
spot_perp_positive_funding_top_1_3d,expensive_or_thin_execution,2.696615,15.000000,-12.303385,False,-0.0467283011,-2.6962824704,0.4165720772
spot_perp_positive_funding_top_3_1d,expensive_or_thin_execution,1.358598,15.000000,-13.641402,False,-0.1920809274,-14.4619805587,0.9163828982
spot_perp_positive_funding_top_2_1d,expensive_or_thin_execution,1.278651,15.000000,-13.721349,False,-0.2170664475,-15.3178954899,1.0204313280
spot_perp_positive_funding_top_1_1d,expensive_or_thin_execution,1.212215,15.000000,-13.787785,False,-0.2439893984,-14.3873437846,1.1384790011
