candidate,symbol,held_steps,mean_weight_when_held,gross_contribution,funding_contribution,basis_contribution,mean_funding_rate_sum_when_held,mean_pair_return_when_held
spot_perp_positive_funding_top_2_14d,ETCUSDT,70,0.5000000000,0.0041785118,0.0044106550,-0.0002321432,0.0002520374,0.0001193861
spot_perp_positive_funding_top_2_14d,NEARUSDT,56,0.5000000000,0.0028622269,0.0024189000,0.0004433269,0.0001727786,0.0001022224
spot_perp_positive_funding_top_2_14d,ADAUSDT,84,0.5000000000,0.0028254299,0.0033967375,-0.0005713076,0.0001617494,0.0000672721
spot_perp_positive_funding_top_2_14d,BTCUSDT,42,0.5000000000,0.0027013011,0.0028739475,-0.0001726464,0.0002737093,0.0001286334
spot_perp_positive_funding_top_2_14d,ARBUSDT,55,0.5000000000,0.0023653360,0.0018398725,0.0005254635,0.0001338089,0.0000860122
spot_perp_positive_funding_top_2_14d,LINKUSDT,28,0.5000000000,0.0018100512,0.0012832175,0.0005268337,0.0001833168,0.0001292894
spot_perp_positive_funding_top_2_14d,BCHUSDT,42,0.5000000000,0.0015250954,0.0013703025,0.0001547929,0.0001305050,0.0000726236
spot_perp_positive_funding_top_2_14d,UNIUSDT,28,0.5000000000,0.0012679791,0.0011854150,0.0000825641,0.0001693450,0.0000905699
spot_perp_positive_funding_top_2_14d,BNBUSDT,42,0.5000000000,0.0011037691,0.0003240575,0.0007797116,0.0000308626,0.0000525604
spot_perp_positive_funding_top_2_14d,SUIUSDT,14,0.5000000000,0.0007456539,0.0008430650,-0.0000974111,0.0002408757,0.0001065220
spot_perp_positive_funding_top_2_14d,HBARUSDT,84,0.5833333333,0.0006008325,-0.0002311275,0.0008319600,0.0000003602,0.0000234521
spot_perp_positive_funding_top_2_14d,SOLUSDT,28,0.5000000000,0.0005992133,0.0006920750,-0.0000928617,0.0000988679,0.0000428010
spot_perp_positive_funding_top_2_14d,DOGEUSDT,28,0.5000000000,0.0005168697,0.0005107975,0.0000060722,0.0000729711,0.0000369193
spot_perp_positive_funding_top_2_14d,LTCUSDT,14,0.5000000000,0.0004050768,0.0004510225,-0.0000459457,0.0001288636,0.0000578681
spot_perp_positive_funding_top_2_14d,AVAXUSDT,14,0.5000000000,0.0002612395,0.0003159300,-0.0000546905,0.0000902657,0.0000373199
spot_perp_positive_funding_top_2_14d,SEIUSDT,56,0.6250000000,-0.0015194982,-0.0026003750,0.0010808768,0.0000262391,0.0000383903
spot_perp_positive_funding_top_2_14d,FILUSDT,56,0.6250000000,-0.0021324216,-0.0005100225,-0.0016223991,0.0000270334,-0.0000228626
spot_perp_positive_funding_top_1_14d,WIFUSDT,112,1.0000000000,0.0331747402,0.0320875700,0.0010871702,0.0005729923,0.0002962030
spot_perp_positive_funding_top_1_14d,INJUSDT,42,1.0000000000,0.0181494940,0.0171826300,0.0009668640,0.0008182205,0.0004321308
