chain,project,symbol,yield_status,yield_side,tvl_usd,apy,apy_base,reward_share,yield_score,peg_symbol,peg_status,peg_side,peg_price,peg_deviation,peg_score,match_kind,score,status,side,reason,next_step
Ethereum,ondo-yield-assets,USDY,yield_context_watch,none,1103651539.00,3.550000,3.550000,0.00000000,15.680000,USDY,paper_premium_mean_reversion_watch,watch_premium_reversion,1.12860992,0.12860992,1288.20526802,exact_symbol,53.680000,paper_yield_premium_conflict_watch,avoid_or_premium_reversion_research,"yield asset trades above peg, so carry can be offset by premium reversion","check USDY redemption route, tradable venues, exit liquidity, and whether USDY peg risk explains the APY"
Stellar,ondo-yield-assets,USDY,yield_context_watch,none,525500511.00,3.550000,3.550000,0.00000000,15.680000,USDY,paper_premium_mean_reversion_watch,watch_premium_reversion,1.12860992,0.12860992,1288.20526802,exact_symbol,53.680000,paper_yield_premium_conflict_watch,avoid_or_premium_reversion_research,"yield asset trades above peg, so carry can be offset by premium reversion","check USDY redemption route, tradable venues, exit liquidity, and whether USDY peg risk explains the APY"
Ethereum,re,REUSD,yield_context_watch,none,164178619.00,6.743980,6.743980,0.00000000,13.449640,reUSD,paper_premium_mean_reversion_watch,watch_premium_reversion,1.08134876,0.08134876,838.48764505,exact_symbol,51.449640,paper_yield_premium_conflict_watch,avoid_or_premium_reversion_research,"yield asset trades above peg, so carry can be offset by premium reversion","check REUSD redemption route, tradable venues, exit liquidity, and whether reUSD peg risk explains the APY"
Ethereum,apyx-protocol,APXUSD,paper_base_yield_watch,allocate_stablecoin_capital,195328294.00,12.543650,12.543650,0.00000000,22.924564,apxUSD,paper_depeg_repeg_watch,watch_repeg_or_short_risk,0.95410821,-0.04589179,483.91786364,exact_symbol,50.709638,paper_yield_depeg_conflict_watch,avoid_or_repeg_research,"yield may be compensation for below-peg, redemption, or issuer risk","check APXUSD redemption route, tradable venues, exit liquidity, and whether apxUSD peg risk explains the APY"
Sei,ondo-yield-assets,USDY,yield_context_watch,none,256841301.00,3.550000,3.550000,0.00000000,10.816826,USDY,paper_premium_mean_reversion_watch,watch_premium_reversion,1.12860992,0.12860992,1288.20526802,exact_symbol,48.816826,paper_yield_premium_conflict_watch,avoid_or_premium_reversion_research,"yield asset trades above peg, so carry can be offset by premium reversion","check USDY redemption route, tradable venues, exit liquidity, and whether USDY peg risk explains the APY"
Solana,ondo-yield-assets,USDY,yield_context_watch,none,181136169.00,3.550000,3.550000,0.00000000,9.302723,USDY,paper_premium_mean_reversion_watch,watch_premium_reversion,1.12860992,0.12860992,1288.20526802,exact_symbol,47.302723,paper_yield_premium_conflict_watch,avoid_or_premium_reversion_research,"yield asset trades above peg, so carry can be offset by premium reversion","check USDY redemption route, tradable venues, exit liquidity, and whether USDY peg risk explains the APY"
Mantle,ondo-yield-assets,USDY,yield_context_watch,none,29407251.00,3.550000,3.550000,0.00000000,6.268145,USDY,paper_premium_mean_reversion_watch,watch_premium_reversion,1.12860992,0.12860992,1288.20526802,exact_symbol,44.268145,paper_yield_premium_conflict_watch,avoid_or_premium_reversion_research,"yield asset trades above peg, so carry can be offset by premium reversion","check USDY redemption route, tradable venues, exit liquidity, and whether USDY peg risk explains the APY"
Sui,ondo-yield-assets,USDY,yield_context_watch,none,23185008.00,3.550000,3.550000,0.00000000,6.143700,USDY,paper_premium_mean_reversion_watch,watch_premium_reversion,1.12860992,0.12860992,1288.20526802,exact_symbol,44.143700,paper_yield_premium_conflict_watch,avoid_or_premium_reversion_research,"yield asset trades above peg, so carry can be offset by premium reversion","check USDY redemption route, tradable venues, exit liquidity, and whether USDY peg risk explains the APY"
Noble,ondo-yield-assets,USDY,yield_context_watch,none,14991180.00,3.550000,3.550000,0.00000000,5.979824,USDY,paper_premium_mean_reversion_watch,watch_premium_reversion,1.12860992,0.12860992,1288.20526802,exact_symbol,43.979824,paper_yield_premium_conflict_watch,avoid_or_premium_reversion_research,"yield asset trades above peg, so carry can be offset by premium reversion","check USDY redemption route, tradable venues, exit liquidity, and whether USDY peg risk explains the APY"
Ethereum,mainstreet,MSUSD,paper_base_yield_watch,allocate_stablecoin_capital,81845813.00,12.000000,12.000000,0.00000000,20.836916,MSUSD,peg_supply_stress_watch,none,0.99961719,-0.00038281,28.82809243,exact_symbol,21.125197,yield_supply_stress_watch,watch_supply_or_redemption_risk,yield asset has material supply stress even though price is near peg,"check MSUSD supply change, issuer updates, redemption route, and pool exit liquidity"
