chain,project,symbol,pool,tvl_usd,apy,apy_base,apy_reward,apy_mean_30d,reward_share,apy_deviation_30d,score,status,side,reason,next_step
Solana,blackrock-buidl,BUIDL,590d770e-ed5d-4c8d-ad96-5178c2072295,571813062.00,3.515110,3.515110,0.000000,3.524500,0.00000000,0.009390,15.618542,yield_context_watch,none,yield is context but not yet actionable,"check Solana/blackrock-buidl custody, withdrawal path, APY source, capacity, and exit liquidity"
Arbitrum,pendle,SUSDAI,894ef05d-8143-4fa2-9a1c-bebc14686337,11717435.00,9.602660,9.602660,0.000000,9.587810,0.00000000,0.014850,15.589695,yield_context_watch,none,yield is context but not yet actionable,"check Arbitrum/pendle custody, withdrawal path, APY source, capacity, and exit liquidity"
Ethereum,invesco-ustb,USTB,1910847a-f8b5-40ce-a1ab-1dafdded5fbb,710736129.00,3.372270,3.372270,0.000000,3.309000,0.00000000,0.063270,15.357670,yield_context_watch,none,yield is context but not yet actionable,"check Ethereum/invesco-ustb custody, withdrawal path, APY source, capacity, and exit liquidity"
Katana,morpho-blue,STEAKUSDC,d56ab93e-d48d-44f2-8139-9bb020afc980,23982148.00,15.376030,13.194310,2.181720,4.336400,0.14189098,11.039630,15.271885,yield_decay_watch,none,current APY differs materially from 30d mean,"check Katana/morpho-blue custody, withdrawal path, APY source, capacity, and exit liquidity"
Ethereum,centrifuge-protocol,USDS,ff1bb959-d160-4906-bad2-d3e37a1e92e8,865417670.00,3.257070,3.257070,0.000000,3.320850,0.00000000,0.063780,15.173044,yield_context_watch,none,yield is context but not yet actionable,"check Ethereum/centrifuge-protocol custody, withdrawal path, APY source, capacity, and exit liquidity"
Aptos,blackrock-buidl,BUIDL,bd0f5a2a-5d74-40bd-a7db-bf1538b314a2,785123291.00,3.205180,3.205180,0.000000,3.214420,0.00000000,0.009240,15.122744,yield_context_watch,none,yield is context but not yet actionable,"check Aptos/blackrock-buidl custody, withdrawal path, APY source, capacity, and exit liquidity"
Avalanche,blackrock-buidl,BUIDL,0906793c-ec02-4c77-9e0e-eee007269d2f,474923838.00,3.515300,3.515300,0.000000,3.524540,0.00000000,0.009240,15.117413,yield_context_watch,none,yield is context but not yet actionable,"check Avalanche/blackrock-buidl custody, withdrawal path, APY source, capacity, and exit liquidity"
BSC,circle-usyc,USYC,7c0a89c7-70cf-460c-b62e-cb278bf97e8f,2828928672.00,3.238680,3.238680,0.000000,3.127380,0.00000000,0.111300,15.115108,yield_context_watch,none,yield is context but not yet actionable,"check BSC/circle-usyc custody, withdrawal path, APY source, capacity, and exit liquidity"
Avalanche,avant-avusd,SAVUSD,c74227a1-e738-4021-bbe1-13363815aecb,79455829.00,8.525670,8.525670,0.000000,8.180880,0.00000000,0.344790,15.023315,paper_base_yield_watch,allocate_stablecoin_capital,base APY is material and not reward-heavy,"check Avalanche/avant-avusd custody, withdrawal path, APY source, capacity, and exit liquidity"
Monad,accountable,USDC,1a9c61c7-4094-4ee7-8d46-6ea8fb5689f1,45123509.00,9.800000,8.800000,1.000000,9.689370,0.10204082,0.110630,14.907929,yield_context_watch,none,yield is context but not yet actionable,"check Monad/accountable custody, withdrawal path, APY source, capacity, and exit liquidity"
Ethereum,morpho-blue,ALPHAUSDCDELTAV2,03c560bf-aed6-4a52-85b9-cb627269f3ff,31663923.00,9.147770,9.147770,0.000000,9.765380,0.00000000,0.617610,14.899144,yield_context_watch,none,yield is context but not yet actionable,"check Ethereum/morpho-blue custody, withdrawal path, APY source, capacity, and exit liquidity"
Base,morpho-blue,GTUSDCP,e0672197-9f3e-4414-bca5-e6b4c90aa469,441251345.00,3.833400,3.833400,0.000000,4.381810,0.00000000,0.548410,14.629421,yield_context_watch,none,yield is context but not yet actionable,"check Base/morpho-blue custody, withdrawal path, APY source, capacity, and exit liquidity"
Plasma,fluid-lending,USDT0,21e972fb-b330-4289-8bfa-6a14e925ecdb,64269151.00,8.680000,8.330000,0.350000,8.932050,0.04032258,0.252050,14.440863,paper_base_yield_watch,allocate_stablecoin_capital,base APY is material and not reward-heavy,"check Plasma/fluid-lending custody, withdrawal path, APY source, capacity, and exit liquidity"
Ethereum,gami-labs,GAMICUSPC,78a8e9f9-8f2e-4a6e-a613-ce461ec869cd,11991104.00,9.358970,9.358970,0.000000,10.720840,0.00000000,1.361870,14.397052,yield_context_watch,none,yield is context but not yet actionable,"check Ethereum/gami-labs custody, withdrawal path, APY source, capacity, and exit liquidity"
Ethereum,spark-savings,USDT,a5d67f7e-5b51-4a9d-969d-caf051a7f5a4,1166686225.00,2.500000,2.500000,0.000000,2.500000,0.00000000,0.000000,14.000000,yield_context_watch,none,yield is context but not yet actionable,"check Ethereum/spark-savings custody, withdrawal path, APY source, capacity, and exit liquidity"
Monad,accountable,AUSD,4baffdfd-8015-4713-bad4-10a199b30157,118124155.00,7.275000,7.275000,0.000000,7.797830,0.00000000,0.522830,13.688785,yield_context_watch,none,yield is context but not yet actionable,"check Monad/accountable custody, withdrawal path, APY source, capacity, and exit liquidity"
Ethereum,morpho-blue,ALPHAUSDCCOREV2,772efa7d-6b68-4a59-a2ca-5addafcae096,12654482.00,8.773850,8.615860,0.157990,8.158670,0.01800692,0.615180,13.660526,yield_context_watch,none,yield is context but not yet actionable,"check Ethereum/morpho-blue custody, withdrawal path, APY source, capacity, and exit liquidity"
Ethereum,re,REUSD,1c312830-ee96-40c9-b55f-b0f209ca6ebd,164178619.00,6.743980,6.743980,0.000000,5.724890,0.00000000,1.019090,13.462486,yield_context_watch,none,yield is context but not yet actionable,"check Ethereum/re custody, withdrawal path, APY source, capacity, and exit liquidity"
Plasma,yuzu-money,SYZUSD,6174b1d6-8212-4964-95bf-ca9c539864ba,27514448.00,8.112690,8.112690,0.000000,7.680720,0.00000000,0.431970,13.271411,yield_context_watch,none,yield is context but not yet actionable,"check Plasma/yuzu-money custody, withdrawal path, APY source, capacity, and exit liquidity"
Arbitrum,pendle,SUSDAI,55d53cce-4455-4085-8245-557257d9fe61,11717435.00,8.294430,8.117950,0.176480,8.115420,0.02127693,0.179010,13.101147,yield_context_watch,none,yield is context but not yet actionable,"check Arbitrum/pendle custody, withdrawal path, APY source, capacity, and exit liquidity"
Ethereum,aave-v3,USDT,f981a304-bb6c-45b8-b0c5-fd2f515ad23a,442486099.00,2.614330,2.614330,0.000000,2.734600,0.00000000,0.120270,12.960488,yield_context_watch,none,yield is context but not yet actionable,"check Ethereum/aave-v3 custody, withdrawal path, APY source, capacity, and exit liquidity"
Arbitrum,spark-savings,USDS,9d499222-a01a-45bb-bbc9-f01c7923693b,359308045.00,3.600000,3.600000,0.000000,3.627960,0.00000000,0.027960,12.929385,yield_context_watch,none,yield is context but not yet actionable,"check Arbitrum/spark-savings custody, withdrawal path, APY source, capacity, and exit liquidity"
Arbitrum,sky-lending,SUSDS,3637ce7b-529b-49c1-964c-710a50b2939c,359308045.00,3.600000,3.600000,0.000000,3.628120,0.00000000,0.028120,12.929289,yield_context_watch,none,yield is context but not yet actionable,"check Arbitrum/sky-lending custody, withdrawal path, APY source, capacity, and exit liquidity"
Stellar,blend-pools-v2,USDC,ecf788e3-d2ef-4fdd-9ece-8a2d96226ddf,11697952.00,7.914830,7.914830,0.000000,8.413570,0.00000000,0.498740,12.598443,yield_context_watch,none,yield is context but not yet actionable,"check Stellar/blend-pools-v2 custody, withdrawal path, APY source, capacity, and exit liquidity"
Base,morpho-blue,STEAKUSDC,7820bd3c-461a-4811-9f0b-1d39c1503c3f,335597807.00,3.833590,3.833590,0.000000,4.381280,0.00000000,0.547690,12.517086,yield_context_watch,none,yield is context but not yet actionable,"check Base/morpho-blue custody, withdrawal path, APY source, capacity, and exit liquidity"
Base,avantis,USDC,ae3397ed-1f0f-4aa4-ab62-44413ea8cd9e,36714191.00,8.127630,8.127630,0.000000,10.549070,0.00000000,2.421440,12.285628,yield_context_watch,none,yield is context but not yet actionable,"check Base/avantis custody, withdrawal path, APY source, capacity, and exit liquidity"
Ethereum,spark-savings,USDC,c5c74dd1-995c-4445-9d84-3e710bad7d52,321897392.00,3.600000,3.600000,0.000000,3.627960,0.00000000,0.027960,12.181172,yield_context_watch,none,yield is context but not yet actionable,"check Ethereum/spark-savings custody, withdrawal path, APY source, capacity, and exit liquidity"
Arbitrum,pendle,USDAI,6fc8395f-40c4-42c1-9002-c2b48c5e4c48,35252356.00,7.292940,7.292940,0.000000,6.860220,0.00000000,0.432720,12.114119,yield_context_watch,none,yield is context but not yet actionable,"check Arbitrum/pendle custody, withdrawal path, APY source, capacity, and exit liquidity"
Ethereum,pendle,USDAT,81b63593-7983-4395-a73d-62c955b9e9cf,12195118.00,7.649670,7.649670,0.000000,8.898900,0.00000000,1.249230,11.733836,yield_context_watch,none,yield is context but not yet actionable,"check Ethereum/pendle custody, withdrawal path, APY source, capacity, and exit liquidity"
Solana,jupiter-lend,USDC,d783c8df-e2ed-44b4-8317-161ccc1b5f06,423277711.00,3.449200,2.736680,0.712520,4.806650,0.20657544,1.357450,11.488478,yield_context_watch,none,yield is context but not yet actionable,"check Solana/jupiter-lend custody, withdrawal path, APY source, capacity, and exit liquidity"
Ethereum,zerobase-cedefi,USDT,44a8967e-00f1-4cde-8c25-823f36953021,14303124.00,9.000000,7.000000,2.000000,9.000000,0.22222222,0.000000,11.397174,yield_context_watch,none,yield is context but not yet actionable,"check Ethereum/zerobase-cedefi custody, withdrawal path, APY source, capacity, and exit liquidity"
BSC,zerobase-cedefi,USDT,a116d53b-69ab-4665-a7c1-6813b3ebb728,23850744.00,8.760000,6.760000,2.000000,8.760000,0.22831050,0.000000,11.179773,yield_context_watch,none,yield is context but not yet actionable,"check BSC/zerobase-cedefi custody, withdrawal path, APY source, capacity, and exit liquidity"
Wc,morpho-blue,RE7USDC,b723687e-6627-4b9e-a7af-1dd1f9933b9f,12002150.00,7.294700,7.294700,0.000000,5.750520,0.00000000,1.544180,10.985055,yield_context_watch,none,yield is context but not yet actionable,"check Wc/morpho-blue custody, withdrawal path, APY source, capacity, and exit liquidity"
Sei,ondo-yield-assets,USDY,1f8a60c7-e307-42cd-844c-18dec84f5137,256841301.00,3.550000,3.550000,0.000000,3.550000,0.00000000,0.000000,10.816826,yield_context_watch,none,yield is context but not yet actionable,"check Sei/ondo-yield-assets custody, withdrawal path, APY source, capacity, and exit liquidity"
Base,spark-savings,USDS,aa2d08c0-0abd-4dcf-be93-ff8ca89d01cd,222837326.00,3.600000,3.600000,0.000000,3.627960,0.00000000,0.027960,10.199971,yield_context_watch,none,yield is context but not yet actionable,"check Base/spark-savings custody, withdrawal path, APY source, capacity, and exit liquidity"
Ethereum,infinifi,SIUSD,8fa2e60e-365a-41fc-8d50-fadde5041f94,42663175.00,5.727050,5.727050,0.000000,5.502780,0.00000000,0.224270,9.881982,yield_context_watch,none,yield is context but not yet actionable,"check Ethereum/infinifi custody, withdrawal path, APY source, capacity, and exit liquidity"
Base,morpho-blue,STEAKUSDC,81ae8812-f04f-4f6e-9d71-ee5778f3a178,288891418.00,3.111110,2.861110,0.250000,3.623060,0.08035717,0.511950,9.827006,yield_context_watch,none,yield is context but not yet actionable,"check Base/morpho-blue custody, withdrawal path, APY source, capacity, and exit liquidity"
Base,morpho-blue,STEAKUSDC,ba68527f-8ec2-4c55-827a-8f4673ae047c,188157527.00,3.921360,3.921360,0.000000,4.400860,0.00000000,0.479500,9.749627,yield_context_watch,none,yield is context but not yet actionable,"check Base/morpho-blue custody, withdrawal path, APY source, capacity, and exit liquidity"
Ethereum,aave-v3,USDC,aa70268e-4b52-42bf-a116-608b370f9501,272270526.00,2.944570,2.944570,0.000000,3.691350,0.00000000,0.746780,9.708655,yield_context_watch,none,yield is context but not yet actionable,"check Ethereum/aave-v3 custody, withdrawal path, APY source, capacity, and exit liquidity"
Ethereum,morpho-blue,SENPYUSD,c032b20d-49bb-4f95-8c8c-ae6333728a6e,291614035.00,2.525100,2.525100,0.000000,2.813560,0.00000000,0.288460,9.699365,yield_context_watch,none,yield is context but not yet actionable,"check Ethereum/morpho-blue custody, withdrawal path, APY source, capacity, and exit liquidity"
Ethereum,falcon-finance,SUSDF,0f67a08c-3f24-4a4b-963e-541f5a5c0364,75514330.00,5.190320,5.190320,0.000000,4.892450,0.00000000,0.297870,9.636077,yield_context_watch,none,yield is context but not yet actionable,"check Ethereum/falcon-finance custody, withdrawal path, APY source, capacity, and exit liquidity"
Monad,morpho-blue,HYPERUSDCA,ec6a71a7-41ae-4e72-942f-b4bc99c3b3cb,14308348.00,8.505430,6.343080,2.162350,7.355120,0.25423171,1.150310,9.592922,yield_context_watch,none,yield is context but not yet actionable,"check Monad/morpho-blue custody, withdrawal path, APY source, capacity, and exit liquidity"
Ethereum,fluid-lending,GHO,578cffd4-1470-44d0-8c5d-e9d4bd403651,13784223.00,5.880000,5.880000,0.000000,5.702260,0.00000000,0.177740,9.577040,yield_context_watch,none,yield is context but not yet actionable,"check Ethereum/fluid-lending custody, withdrawal path, APY source, capacity, and exit liquidity"
Hyperliquid L1,morpho-blue,FEUSDC,8622e84a-794b-4b68-aad2-a6a2e0e0d2c7,12317884.00,6.118280,6.118280,0.000000,5.117580,0.00000000,1.000700,9.435186,yield_context_watch,none,yield is context but not yet actionable,"check Hyperliquid L1/morpho-blue custody, withdrawal path, APY source, capacity, and exit liquidity"
