chain,project,symbol,pool,tvl_usd,apy,apy_base,apy_reward,apy_mean_30d,stablecoin,il_risk,exposure,outlier,score
Ethereum,aave-v3,SUSDE,29932dea-cd71-44c3-95bd-3e1525f4e3dd,263042352.00,4.059780,0.000000,4.059780,2.866390,True,no,single,False,3.761432
Base,morpho-blue,PUSDC,c1949c46-0c01-445f-8017-b3192d9913bc,30115144.00,3.840860,3.840860,0.000000,4.380480,True,no,single,False,3.705955
Base,morpho-blue,FRUSDC,5a0433ec-041d-40e0-aeef-d52e5c2b5f51,23871762.00,3.840860,3.840860,0.000000,4.381140,True,no,single,False,3.705790
Base,morpho-blue,STEAKUSDC,7820bd3c-461a-4811-9f0b-1d39c1503c3f,335902160.00,3.830770,3.830770,0.000000,4.382910,True,no,single,False,3.692735
Base,morpho-blue,GTUSDCP,e0672197-9f3e-4414-bca5-e6b4c90aa469,438357272.00,3.830490,3.830490,0.000000,4.383450,True,no,single,False,3.692250
Ethereum,sparklend,USDS,54e9b138-3146-4c1f-8dce-1cb948f5ef96,591443843.00,3.674820,,3.674820,3.563460,True,no,single,False,3.646980
Ethereum,aave-v3,SGHO,ff2a68af-030c-4697-b0a1-b62a738eaef0,66791776.00,3.760940,,3.760940,4.391090,True,no,single,False,3.603403
Arbitrum,spark-savings,USDS,9d499222-a01a-45bb-bbc9-f01c7923693b,359325469.00,3.600000,3.600000,,3.628300,True,no,single,False,3.592925
Ethereum,spark-savings,USDC,c5c74dd1-995c-4445-9d84-3e710bad7d52,321717379.00,3.600000,3.600000,,3.628300,True,no,single,False,3.592925
Base,spark-savings,USDS,aa2d08c0-0abd-4dcf-be93-ff8ca89d01cd,222848132.00,3.600000,3.600000,,3.628300,True,no,single,False,3.592925
Avalanche,spark-savings,USDC,e96cbd55-a0a0-446a-89ba-ada6e2991d50,26478313.00,3.600000,3.600000,,3.628300,True,no,single,False,3.592925
Ethereum,sky-lending,SUSDS,d8c4eff5-c8a9-46fc-a888-057c4c668e72,6195935035.00,3.600000,3.600000,,3.628470,True,no,single,False,3.592882
Arbitrum,sky-lending,SUSDS,3637ce7b-529b-49c1-964c-710a50b2939c,359325469.00,3.600000,3.600000,,3.628470,True,no,single,False,3.592882
Ethereum,morpho-blue,GTUSDC,a306885c-001e-4479-9ae8-459a56527bc1,33496287.00,3.654730,3.654730,0.000000,3.936840,True,no,single,False,3.584202
Ethereum,pendle,SRUSDE,5c6db12f-f71a-40e3-a68f-e7915ef09054,10991996.00,3.666160,3.522770,0.143390,4.109810,True,no,single,False,3.555248
Ethereum,ondo-yield-assets,USDY,ac61ee82-2fe4-4f9b-a9cd-7fb33f598859,1103651539.00,3.550000,3.550000,,3.550000,True,no,single,False,3.550000
Stellar,ondo-yield-assets,USDY,a66e2d12-188b-407d-aaec-d95640e08ef7,525500511.00,3.550000,3.550000,,3.550000,True,no,single,False,3.550000
Sei,ondo-yield-assets,USDY,1f8a60c7-e307-42cd-844c-18dec84f5137,256841301.00,3.550000,3.550000,,3.550000,True,no,single,False,3.550000
Solana,ondo-yield-assets,USDY,00b83068-9f87-4411-b5d7-5d2ff48c40c4,181136169.00,3.550000,3.550000,,3.550000,True,no,single,False,3.550000
Mantle,ondo-yield-assets,USDY,b5d7a190-38d2-4fdd-8c14-1fd00c11bce1,29407251.00,3.550000,3.550000,,3.550000,True,no,single,False,3.550000
Sui,ondo-yield-assets,USDY,3007b64e-331d-425d-a7ae-33b8691da1a9,23185008.00,3.550000,3.550000,,3.550000,True,no,single,False,3.550000
Noble,ondo-yield-assets,USDY,0d635c7d-0a5f-4d6d-9e3e-1245442b9727,14991180.00,3.550000,3.550000,,3.550000,True,no,single,False,3.550000
Ethereum,blackrock-buidl,BUIDL,b663ca59-c7e6-4435-ae4a-28d339ce6a15,828949106.00,3.546210,3.546210,,3.555420,True,no,single,False,3.543907
Tron,stusdt,STUSDT,11e29b13-2042-403a-ab27-d27f23b37c33,58380986.00,3.536500,,,3.556530,True,no,single,False,3.531493
Polygon,blackrock-buidl,BUIDL,0715f02b-1803-417f-98ec-4e6e950ff498,14178555.00,3.515260,3.515260,,3.524150,True,no,single,False,3.513038
Avalanche,blackrock-buidl,BUIDL,0906793c-ec02-4c77-9e0e-eee007269d2f,409807461.00,3.515300,3.515300,,3.524430,True,no,single,False,3.513017
Solana,blackrock-buidl,BUIDL,590d770e-ed5d-4c8d-ad96-5178c2072295,571650734.00,3.515110,3.515110,,3.524390,True,no,single,False,3.512790
Base,yo-protocol,USDC,1994cc35-a2b9-434e-b197-df6742fb5d81,12406625.00,3.635660,3.635660,,4.151170,True,no,single,False,3.506783
Ethereum,frankencoin,ZCHF,8b427366-7bfb-4c61-88be-8dc004fdc3da,12827273.00,3.500000,3.500000,,3.500000,True,no,single,False,3.500000
Flare,clearpool-lending,USDX,be50b874-8147-440d-b8ca-f2c202e9ed64,28198541.00,3.498070,3.498070,0.000000,3.498540,True,no,single,False,3.497952
Ethereum,strata-markets,SRUSDE,843be062-d836-43ef-9670-c78d6ecb60bf,63486688.00,3.499330,3.499330,,3.350340,True,no,single,False,3.462083
Ethereum,morpho-blue,STEAKUSDC,b55f43a8-f444-4cd8-a3a4-0a4e786ba566,99792541.00,3.454490,3.454490,0.000000,3.752520,True,no,single,False,3.379982
Solana,jupiter-lend,USDT,a2fbc7ec-22c2-43fe-aa42-49f854aa940d,19006436.00,3.375570,3.375570,,3.364140,True,no,single,False,3.372713
Katana,metrom,USDC,2bf9103a-95b5-4567-a496-316a3948765c,13528408.00,3.469900,2.131500,1.338400,3.859710,True,no,single,False,3.372447
Ethereum,morpho-blue,VBSHUSDC,d7c8dc33-235e-4d08-94e9-8b72c2500d0d,18377095.00,3.442340,3.442340,0.000000,3.724940,True,no,single,False,3.371690
Solana,kamino-lend,PYUSD,4decb8fb-be56-48ce-9c61-47a554d248e8,12641943.00,3.372570,3.372570,,3.433580,True,no,single,False,3.357318
Ethereum,invesco-ustb,USTB,1910847a-f8b5-40ce-a1ab-1dafdded5fbb,736448413.00,3.372270,3.372270,,3.307770,True,no,single,False,3.356145
Ethereum,concrete,CTDEFIUSDT,9ffcea5d-ef46-4b80-a8fb-74b03d38b2ba,41171708.00,3.748520,3.748520,,1.892820,True,no,single,False,3.284595
Ethereum,3jane-lending,USD3,f8cd444e-d99f-4132-b234-fd3482bf8806,20601374.00,3.354870,3.354870,,3.801880,True,no,single,False,3.243117
BSC,circle-usyc,USYC,7c0a89c7-70cf-460c-b62e-cb278bf97e8f,2828928672.00,3.238680,3.238680,,3.126150,True,no,single,False,3.210548
Ethereum,circle-usyc,USYC,448a64ff-06fd-4e56-b63c-03662ac39010,77947683.00,3.238680,3.238680,,3.126150,True,no,single,False,3.210548
Arbitrum,blackrock-buidl,BUIDL,1f73ccbf-189e-4471-9e5c-46151b505d7d,25550164.00,3.205330,3.205330,,3.214460,True,no,single,False,3.203048
OP Mainnet,blackrock-buidl,BUIDL,a12d730b-9f47-47f9-95b6-c8689faf966c,26202924.00,3.205260,3.205260,,3.214390,True,no,single,False,3.202978
Aptos,blackrock-buidl,BUIDL,bd0f5a2a-5d74-40bd-a7db-bf1538b314a2,785054568.00,3.205180,3.205180,,3.214300,True,no,single,False,3.202900
BSC,blackrock-buidl,BUIDL,55402b0b-af35-452b-b015-627b4233f0f1,110279153.00,3.205180,3.205180,,3.214300,True,no,single,False,3.202900
Ethereum,blackrock-buidl,BUIDL,b2b1d98f-cac1-4e7b-8cd8-d67b576fd259,178606543.00,3.205180,3.205180,,3.214450,True,no,single,False,3.202863
Ethereum,morpho-blue,SBMORPHOUSDC,80b2d4bf-dac4-4c69-91da-cdc740de1e3b,10399099.00,3.266920,3.266920,0.000000,3.539750,True,no,single,False,3.198712
Base,aave-v3,USDC,7e0661bf-8cf3-45e6-9424-31916d4c7b84,28614737.00,3.141490,3.141490,,3.139700,True,no,single,False,3.141043
Solana,jupiter-lend,USDC,d783c8df-e2ed-44b4-8317-161ccc1b5f06,423108065.00,3.449200,2.736680,0.712520,4.811100,True,no,single,False,3.108725
Ethereum,openeden-usdo,USDO,f083596e-032d-4d6b-a7a8-1836d3f99bcd,34025085.00,3.098770,3.098770,,3.148650,True,no,single,False,3.086300
Ethereum,multipli.fi,XUSDC,aec4729d-5547-484c-962a-24ec9914603a,36454596.00,3.070000,,,3.056480,True,no,single,False,3.066620
Ethereum,multipli.fi,XUSDT,2c1a4e26-63bc-4a94-911f-c439bb6c6e24,15595951.00,3.070000,,,3.056480,True,no,single,False,3.066620
Ethereum,euler-v2,USDC,31a0cd94-b781-4e0d-a9f1-1702bc2c238f,10524665.00,3.122400,3.122400,,2.779960,True,no,single,False,3.036790
Ethereum,morpho-blue,HUSDC,677f756a-eda4-48b0-ba35-60adc9b44d88,15873923.00,3.074630,3.074630,0.000000,3.317250,True,no,single,False,3.013975
Base,morpho-blue,STEAKUSDC,81ae8812-f04f-4f6e-9d71-ee5778f3a178,289866774.00,3.108810,2.858810,0.250000,3.629850,True,no,single,False,2.978550
Ethereum,compound-v3,USDC,7da72d09-56ca-4ec5-a45f-59114353e487,57626708.00,3.071920,2.967910,0.104010,3.478940,True,no,single,False,2.970165
Plasma,veda,PLASMAUSD,95d4f805-1800-4184-98a0-6e49b3ccad8a,44109275.00,3.082750,2.927210,0.155540,3.550810,True,no,single,False,2.965735
Polygon,aave-v3,USDC,1b8b4cdb-0728-42a8-bf13-2c8fea7427ee,11411485.00,2.967550,2.967550,,3.128850,True,no,single,False,2.927225
Ethereum,yearn-finance,USDC,7d89af7a-24c9-4292-aa38-7c71b05fbd6d,26754498.00,2.998520,2.998520,0.000000,3.373910,True,no,single,False,2.904673
Ethereum,concrete,SRROYUSDC,7081d7c4-d0df-4c68-adce-2bb210cd25e8,12976921.00,3.221110,3.221110,,4.581400,True,no,single,False,2.881037
Solana,kamino-lend,CASH,6557f42a-a68a-414d-b7ac-3f3b301dda28,14117086.00,2.879810,2.879810,,3.161630,True,no,single,False,2.809355
Ethereum,aave-v3,USDC,aa70268e-4b52-42bf-a116-608b370f9501,269503780.00,2.953090,2.953090,,3.694640,True,no,single,False,2.767702
Ethereum,aave-v3,USDT,f981a304-bb6c-45b8-b0c5-fd2f515ad23a,374488546.00,2.765710,2.765710,,2.738640,True,no,single,False,2.758942
Ethereum,euler-v2,USDC,0fde8996-ecdf-441c-94a9-ec67403e9b8c,15516090.00,2.794960,2.794960,,2.599720,True,no,single,False,2.746150
Polygon,aave-v3,USDT0,7e7821a2-3d20-4ae7-9c3d-04cd57904555,12468979.00,2.763050,2.763050,,2.959270,True,no,single,False,2.713995
Ethereum,compound-v3,USDT,f4d5b566-e815-4ca2-bb07-7bcd8bc797f1,51789213.00,2.705150,2.605870,0.099280,2.848320,True,no,single,False,2.669358
Ethereum,centrifuge-protocol,USDC,325645ce-4e97-49cb-a8e8-d0100c3aea7b,173787068.00,2.867510,2.867510,,3.783200,True,no,single,False,2.638587
Avalanche,centrifuge-protocol,USDC,80359eae-ff65-4fa6-842d-c971dc2928de,259277131.00,2.867510,2.867510,,3.809480,True,no,single,False,2.632017
Ethereum,sparklend,USDT,8fbe28b8-140d-4e37-8804-5d2aba4daded,114877623.00,2.685960,2.685960,,2.944400,True,no,single,False,2.621350
Ethereum,aave-v3,DAI,3665ee7e-6c5d-49d9-abb7-c47ab5d9d4ac,25346955.00,2.573650,2.573650,,2.362590,True,no,single,False,2.520885
Ethereum,spark-savings,USDT,a5d67f7e-5b51-4a9d-969d-caf051a7f5a4,1167332378.00,2.500000,2.500000,,2.500000,True,no,single,False,2.500000
Ethereum,bitwise-uscc,USCC,aff74ce8-4fe3-462b-af11-542cc16d24b2,143311813.00,2.820010,2.820010,,4.166830,True,no,single,False,2.483305
Solana,bitwise-uscc,USCC,04bf0e7d-904a-4d42-9a25-bb1b5634e863,29263386.00,2.820010,2.820010,,4.166830,True,no,single,False,2.483305
Plume Mainnet,bitwise-uscc,USCC,ea1d8316-9160-48f0-ad18-a1298473f826,16389622.00,2.820010,2.820010,,4.166830,True,no,single,False,2.483305
Ethereum,morpho-blue,SENPYUSD,c032b20d-49bb-4f95-8c8c-ae6333728a6e,291313466.00,2.532600,2.532600,0.000000,2.811320,True,no,single,False,2.462920
Ethereum,usual-usd0,BUSD0,55b0893b-1dbb-47fd-9912-5e439cd3d511,506730941.00,2.631740,,2.631740,3.322200,True,no,single,False,2.459125
