timestamp,close,volume,funding_rate,open_interest
2024-01-01T00:00:00+00:00,44167.33203125,18426978443.0,0.00033601,76481.546
2024-01-02T00:00:00+00:00,44957.96875,39335274536.0,0.0005373,79762.793
2024-01-03T00:00:00+00:00,42848.17578125,46342323118.0,0.0001,68595.132
2024-01-04T00:00:00+00:00,44179.921875,30448091210.0,0.0001,71336.71
2024-01-05T00:00:00+00:00,44162.69140625,32336029347.0,0.0001,67284.894
2024-01-06T00:00:00+00:00,43989.1953125,16092503468.0,0.0001,68211.197
2024-01-07T00:00:00+00:00,43943.09765625,19330573863.0,0.0001,70293.254
2024-01-08T00:00:00+00:00,46970.50390625,42746192015.0,0.0001,74589.143
2024-01-09T00:00:00+00:00,46139.73046875,39821290992.0,0.0001,70798.31
2024-01-10T00:00:00+00:00,46627.77734375,50114613298.0,0.0001,68587.25
2024-01-11T00:00:00+00:00,46368.5859375,45833734549.0,0.0001,71411.395
2024-01-12T00:00:00+00:00,42853.16796875,43332698900.0,0.0001,74772.996
2024-01-13T00:00:00+00:00,42842.3828125,20601860469.0,0.0001,75170.331
2024-01-14T00:00:00+00:00,41796.26953125,17521429522.0,0.0001,76980.282
2024-01-15T00:00:00+00:00,42511.96875,22320220558.0,0.0001,73937.044
2024-01-16T00:00:00+00:00,43154.9453125,24062872740.0,0.0001,74144.321
2024-01-17T00:00:00+00:00,42742.65234375,20851232595.0,0.0001,75764.089
2024-01-18T00:00:00+00:00,41262.05859375,25218357242.0,0.0001,77570.16
2024-01-19T00:00:00+00:00,41618.40625,25752407154.0,0.0001,74484.43
2024-01-20T00:00:00+00:00,41665.5859375,11586690904.0,0.0001,74642.896
2024-01-21T00:00:00+00:00,41545.78515625,9344043642.0,0.0001,74639.086
2024-01-22T00:00:00+00:00,39507.3671875,31338708143.0,0.0001,76117.557
2024-01-23T00:00:00+00:00,39845.55078125,29244553045.0,0.0001,75828.266
2024-01-24T00:00:00+00:00,40077.07421875,22359526178.0,0.0001,76253.491
2024-01-25T00:00:00+00:00,39933.80859375,18491782013.0,0.0001,77945.585
2024-01-26T00:00:00+00:00,41816.87109375,25598119893.0,0.0001,79505.583
2024-01-27T00:00:00+00:00,42120.0546875,11422941934.0,8.3e-05,78226.289
2024-01-28T00:00:00+00:00,42035.59375,16858971687.0,0.0001,75159.253
2024-01-29T00:00:00+00:00,43288.24609375,20668476578.0,0.0001,77014.859
2024-01-30T00:00:00+00:00,42952.609375,23842814518.0,5.149e-05,73884.75
2024-01-31T00:00:00+00:00,42582.60546875,24673628793.0,0.0001,71942.751
2024-02-01T00:00:00+00:00,43075.7734375,21423953779.0,0.0001,73894.594
