timestamp,close,volume,funding_rate,open_interest
2024-01-01T00:00:00+00:00,2352.327880859375,6906765990.0,0.00043011,783311.722
2024-01-02T00:00:00+00:00,2355.83642578125,12910543630.0,0.00063801,789495.894
2024-01-03T00:00:00+00:00,2210.761962890625,19332933581.0,0.0001,731160.537
2024-01-04T00:00:00+00:00,2269.0380859375,11044564896.0,0.0001,727924.564
2024-01-05T00:00:00+00:00,2268.647216796875,10860953290.0,0.0001,743827.51
2024-01-06T00:00:00+00:00,2241.624755859375,5970741680.0,0.0001,742508.376
2024-01-07T00:00:00+00:00,2222.865966796875,6490053615.0,0.0001,751883.142
2024-01-08T00:00:00+00:00,2333.03271484375,13830287095.0,0.0001,770185.747
2024-01-09T00:00:00+00:00,2344.8271484375,14891130716.0,0.0001,767651.846
2024-01-10T00:00:00+00:00,2582.103515625,29042100476.0,0.0001,851245.866
2024-01-11T00:00:00+00:00,2619.619140625,22575246883.0,0.0001,869728.995
2024-01-12T00:00:00+00:00,2524.460205078125,23623839263.0,0.0001,903764.594
2024-01-13T00:00:00+00:00,2576.597900390625,12250316867.0,0.0001,902189.308
2024-01-14T00:00:00+00:00,2472.2412109375,9405587417.0,0.0001,912540.734
2024-01-15T00:00:00+00:00,2511.36376953125,9700630000.0,0.0001,901739.412
2024-01-16T00:00:00+00:00,2587.691162109375,11063317095.0,0.0001,913231.662
2024-01-17T00:00:00+00:00,2528.369384765625,10441017520.0,0.0001,893898.151
2024-01-18T00:00:00+00:00,2467.018798828125,11900028080.0,0.0001,921300.926
2024-01-19T00:00:00+00:00,2489.49853515625,11405278376.0,0.0001,930923.884
2024-01-20T00:00:00+00:00,2469.589111328125,5297826161.0,0.0001,923451.065
2024-01-21T00:00:00+00:00,2453.9130859375,4578471955.0,0.0001,920252.539
2024-01-22T00:00:00+00:00,2310.826416015625,13923771728.0,0.0001,938851.111
2024-01-23T00:00:00+00:00,2240.68603515625,16182147521.0,0.0001,862916.429
2024-01-24T00:00:00+00:00,2233.561767578125,10134722960.0,0.0001,854438.476
2024-01-25T00:00:00+00:00,2217.710205078125,9302247037.0,0.0001,862990.544
2024-01-26T00:00:00+00:00,2267.19970703125,9975117607.0,0.0001,863976.549
