asset,action,candidate_size_usd,gross_continuation_bps,fee_bps_per_fill,round_trip_fee_bps,spread_cost_bps,visible_depth_impact_bps,conservative_cost_bps,conservative_net_bps,near_touch_depth_5bps,visible_depth_usage,gate_action,reason
MU,long_liquidation_cascade_watch,500.00,,5.00000000,10.00000000,0.10566413,0.08732657,10.19299070,,57256.34220000,0.00873266,wait_for_label,no positive-direction monitor label yet
MU,long_liquidation_cascade_watch,1000.00,,5.00000000,10.00000000,0.10566413,0.17465314,10.28031727,,57256.34220000,0.01746531,wait_for_label,no positive-direction monitor label yet
WLD,mixed_liquidation_flow_watch,250.00,,5.00000000,10.00000000,2.08659364,0.19591473,12.28250837,,12760.65340000,0.01959147,wait_for_label,no positive-direction monitor label yet
BEAT,long_liquidation_cascade_watch,100.00,,5.00000000,10.00000000,0.22846438,0.27851437,10.50697875,,3590.47900000,0.02785144,wait_for_label,no positive-direction monitor label yet
WLD,mixed_liquidation_flow_watch,500.00,,5.00000000,10.00000000,2.08659364,0.39182947,12.47842311,,12760.65340000,0.03918295,wait_for_label,no positive-direction monitor label yet
BSB,short_liquidation_squeeze_watch,100.00,,5.00000000,10.00000000,2.99535720,0.40242113,13.39777833,,2484.95900000,0.04024211,wait_for_label,no positive-direction monitor label yet
MU,long_liquidation_cascade_watch,2500.00,,5.00000000,10.00000000,0.10566413,0.43663285,10.54229698,,57256.34220000,0.04366329,wait_for_label,no positive-direction monitor label yet
BEAT,long_liquidation_cascade_watch,250.00,,5.00000000,10.00000000,0.22846438,0.69628593,10.92475031,,3590.47900000,0.06962859,wait_for_label,no positive-direction monitor label yet
ALLO,mixed_liquidation_flow_watch,100.00,,5.00000000,10.00000000,0.22303257,0.76881484,10.99184741,,1300.70330000,0.07688148,wait_for_label,no positive-direction monitor label yet
WLD,mixed_liquidation_flow_watch,1000.00,,5.00000000,10.00000000,2.08659364,0.78365893,12.87025257,,12760.65340000,0.07836589,wait_for_label,no positive-direction monitor label yet
MU,long_liquidation_cascade_watch,5000.00,,5.00000000,10.00000000,0.10566413,0.87326570,10.97892983,,57256.34220000,0.08732657,wait_for_label,no positive-direction monitor label yet
BSB,short_liquidation_squeeze_watch,250.00,,5.00000000,10.00000000,2.99535720,1.00605282,14.00141002,,2484.95900000,0.10060528,wait_for_label,no positive-direction monitor label yet
BEAT,long_liquidation_cascade_watch,500.00,,5.00000000,10.00000000,0.22846438,1.39257185,11.62103623,,3590.47900000,0.13925719,wait_for_label,no positive-direction monitor label yet
HOME,short_liquidation_squeeze_watch,100.00,,5.00000000,10.00000000,3.22216852,1.76958264,14.99175116,,565.10500000,0.17695826,wait_for_label,no positive-direction monitor label yet
ALLO,mixed_liquidation_flow_watch,250.00,,5.00000000,10.00000000,0.22303257,1.92203710,12.14506967,,1300.70330000,0.19220371,wait_for_label,no positive-direction monitor label yet
WLD,mixed_liquidation_flow_watch,2500.00,,5.00000000,10.00000000,2.08659364,1.95914733,14.04574097,,12760.65340000,0.19591473,wait_for_label,no positive-direction monitor label yet
