ticket_id,opened_at,previous_ticket_id,asset,opportunity,decision,venue,candidate_size_usd,checkpoints,entry_mark,entry_source,estimated_net_after_cost_bps,prior_directional_bps,required_record,next_step
token-unlock-repeat-zro-paper-short,2026-06-09T00:57:35+00:00,unlock-event-zro-paper-short,ZRO,token_unlock_event_window_repeat:ZRO,paper_short,HL,250,"15m,1h,4h",0.827490000000,hl_execution_context,238.03273994,251.97907831,"fresh repeat mark move, funding, spread, stop, and adverse excursion",repeat ZRO unlock event-window label and compare 15m/1h/4h behavior with the first ticket
token-unlock-repeat-hype-paper-short,2026-06-09T00:57:35+00:00,unlock-event-hype-paper-short,HYPE,token_unlock_event_window_repeat:HYPE,paper_short,HL,250,"15m,1h,4h",62.290000000000,hl_execution_context,153.13579269,163.13187941,"fresh repeat mark move, funding, spread, stop, and adverse excursion",repeat HYPE unlock event-window label and compare 15m/1h/4h behavior with the first ticket
