timestamp,symbol,name,peg_type,peg_mechanism,current_supply_usd,day_change_usd,week_change_usd,month_change_usd,price
2026-06-08T15:11:40.503707+00:00,rwaUSDi,rwaUSDi,peggedUSD,crypto-backed,359892856.59,0.00,3919759.26,49983708.32,0.99967417
2026-06-08T15:11:40.503707+00:00,FRXUSD,Frax USD,peggedUSD,fiat-backed,127134856.26,-112270.43,-3885328.63,-11637791.14,0.99948171
2026-06-08T15:11:40.503707+00:00,USDY,Ondo US Dollar Yield,peggedUSD,fiat-backed,2142372843.60,5533528.30,3585521.16,-3088220.00,1.13245962
2026-06-08T15:11:40.503707+00:00,MSUSD,Metronome Synth USD,peggedUSD,crypto-backed,27212560.61,1165148.52,-3554922.87,-1593679.10,0.99690561
2026-06-08T15:11:40.503707+00:00,BOLD,Liquity BOLD,peggedUSD,crypto-backed,31014106.63,-495594.17,-2845113.36,-3502038.15,0.00000000
2026-06-08T15:11:40.503707+00:00,HONEY,Honey,peggedUSD,crypto-backed,20648538.14,-453.46,-2837699.05,-3965995.32,1.00011744
2026-06-08T15:11:40.503707+00:00,MUSD,Metamask USD,peggedUSD,crypto-backed,34382312.92,3071.02,2019957.16,2596946.25,0.99967204
2026-06-08T15:11:40.503707+00:00,YZUSD,Yuzu USD,peggedUSD,crypto-backed,39676788.54,-1386692.00,-1966199.93,1716093.13,0.99925534
2026-06-08T15:11:40.503707+00:00,USDSUI,Sui Dollar,peggedUSD,fiat-backed,76882042.07,0.00,1664174.78,3756684.12,1.00106985
2026-06-08T15:11:40.503707+00:00,ALUSD,Alchemix USD,peggedUSD,algorithmic,10526351.89,-1644412.99,-1610850.93,-3569800.60,0.95851900
2026-06-08T15:11:40.503707+00:00,USDU,Unitas,peggedUSD,crypto-backed,63359138.50,-47865.38,-1546426.69,-26912447.65,0.99867581
2026-06-08T15:11:40.503707+00:00,USN,Noon USN,peggedUSD,crypto-backed,32895331.81,945701.39,1532517.55,4899868.70,0.99873412
2026-06-08T15:11:40.503707+00:00,REUSD,Resupply USD,peggedUSD,crypto-backed,32987680.25,16969.42,-1497536.64,-1881593.76,0.99846009
2026-06-08T15:11:40.503707+00:00,USDPT,Western Union USDPT,peggedUSD,fiat-backed,10505.15,0.00,-1489867.00,10254.00,0.00000000
2026-06-08T15:11:40.503707+00:00,MNEE,MNEE USD,peggedUSD,fiat-backed,102563352.22,0.00,1324010.00,2373797.07,0.00000000
2026-06-08T15:11:40.503707+00:00,MOVEUSD,CFX MoveUSD,peggedUSD,fiat-backed,118280525.75,14047.32,-1323483.37,118280525.75,0.99967417
2026-06-08T15:11:40.503707+00:00,JUPUSD,JupUSD,peggedUSD,crypto-backed,50910718.23,-399554.52,1157876.36,-11515236.28,0.99844601
2026-06-08T15:11:40.503707+00:00,YU,YU,peggedUSD,crypto-backed,3562283.97,0.00,-1101530.44,-1075155.45,0.15985862
