ticket_id,opened_at,rank,opportunity,probe_type,status,side,asset,venue,candidate_size_usd,observation_horizon,checkpoints,entry_mark,entry_source,decision,required_record,next_step
stablecoin-flow-solana-sol,2026-06-08T19:31:30+00:00,1,Solana/SOL,stablecoin_flow_proxy_label,proxy_label_candidate_not_exchange_inflow,long,SOL,OKX,label_only,"1h,4h","1h,4h",67.550000000000,okx_execution_context,paper_long,"chain supply timestamp, bridge route, venue coverage, beta control, funding PnL, spread/depth, forward label","open a chain-liquidity proxy label for SOL and compare it against beta, funding, spread, and depth"
stablecoin-flow-polygon-pol,2026-06-08T19:31:30+00:00,2,Polygon/POL,stablecoin_flow_proxy_label,proxy_label_candidate_not_exchange_inflow,short,POL,OKX,label_only,"1h,4h","1h,4h",0.080970000000,okx_execution_context,paper_short,"chain supply timestamp, bridge route, venue coverage, beta control, funding PnL, spread/depth, forward label","open a chain-liquidity proxy label for POL and compare it against beta, funding, spread, and depth"
stablecoin-flow-hyperliquid-l1-hype,2026-06-08T19:50:54+00:00,3,Hyperliquid L1/HYPE,stablecoin_flow_proxy_label,proxy_label_candidate_not_exchange_inflow,long,HYPE,OKX,label_only,"1h,4h","1h,4h",63.450000000000,okx_execution_context,paper_long,"chain supply timestamp, bridge route, venue coverage, beta control, funding PnL, spread/depth, forward label","open a chain-liquidity proxy label for HYPE and compare it against beta, funding, spread, and depth"
stablecoin-flow-arbitrum-arb,2026-06-08T19:50:54+00:00,4,Arbitrum/ARB,stablecoin_flow_proxy_label,proxy_label_candidate_not_exchange_inflow,long,ARB,OKX,label_only,"1h,4h","1h,4h",0.083460000000,okx_execution_context,paper_long,"chain supply timestamp, bridge route, venue coverage, beta control, funding PnL, spread/depth, forward label","open a chain-liquidity proxy label for ARB and compare it against beta, funding, spread, and depth"
