ticket_id,opened_at,checked_at,elapsed_minutes,checkpoint_status,opportunity,decision,asset,venue,entry_mark,current_mark,current_source,raw_return_bps,directional_return_bps,outcome,missing_evidence,next_step
stablecoin-flow-solana-sol,2026-06-08T19:31:30+00:00,2026-06-08T23:15:57+00:00,224.46,ready,Solana/SOL,paper_long,SOL,OKX,67.550000000000,67.21,okx_ticker,-50.33308660,-50.33308660,paper_mark_loss,"fill, funding, stop, and adverse excursion still missing",keep or reject based on repeated labels and failure regime
stablecoin-flow-polygon-pol,2026-06-08T19:31:30+00:00,2026-06-08T23:15:57+00:00,224.46,ready,Polygon/POL,paper_short,POL,OKX,0.080970000000,0.07852,okx_ticker,-302.58120291,302.58120291,paper_mark_win,"fill, funding, stop, and adverse excursion still missing","record fill, funding, stop, and adverse-excursion assumptions before promotion"
stablecoin-flow-hyperliquid-l1-hype,2026-06-08T19:50:54+00:00,2026-06-08T23:15:57+00:00,205.06,ready,Hyperliquid L1/HYPE,paper_long,HYPE,OKX,63.450000000000,63.53,okx_ticker,12.60835303,12.60835303,paper_mark_win,"fill, funding, stop, and adverse excursion still missing","record fill, funding, stop, and adverse-excursion assumptions before promotion"
stablecoin-flow-arbitrum-arb,2026-06-08T19:50:54+00:00,2026-06-08T23:15:57+00:00,205.06,ready,Arbitrum/ARB,paper_long,ARB,OKX,0.083460000000,0.08259,okx_ticker,-104.24155284,-104.24155284,paper_mark_loss,"fill, funding, stop, and adverse excursion still missing",keep or reject based on repeated labels and failure regime
