timestamp,asset,best_bid,best_ask,mid_price,spread_bps,bid_depth_10_bps,ask_depth_10_bps,bid_depth_50_bps,ask_depth_50_bps,imbalance_10_bps,top_bid_orders,top_ask_orders
2026-06-08T00:05:42.016682+00:00,BTC,63173.000000000000,63174.000000000000,63173.500000000000,0.15829422,142.29268000,21.23177000,142.29268000,21.23177000,0.74032299,20,1
2026-06-08T00:05:42.016682+00:00,ETH,1683.800000000000,1683.900000000000,1683.850000000000,0.59387713,7836.18630000,5937.99260000,8819.74120000,7761.17960000,0.13780812,17,4
2026-06-08T00:05:42.016682+00:00,SOL,66.220000000000,66.221000000000,66.220500000000,0.15101064,4879.96000000,19048.35000000,4879.96000000,19048.35000000,-0.59211829,3,16
2026-06-08T00:05:42.016682+00:00,HYPE,59.654000000000,59.655000000000,59.654500000000,0.16763195,1947.33000000,4367.90000000,1947.33000000,4367.90000000,-0.38329087,1,1
2026-06-08T00:05:42.016682+00:00,WLD,0.470600000000,0.470920000000,0.470760000000,6.79751891,98447.50000000,62967.00000000,98447.50000000,159519.20000000,0.21980987,1,2
2026-06-08T00:05:42.016682+00:00,JTO,0.617080000000,0.617400000000,0.617240000000,5.18436913,6063.00000000,7346.00000000,30521.00000000,79234.00000000,-0.09568200,1,3
2026-06-08T00:05:42.016682+00:00,ONDO,0.346490000000,0.346520000000,0.346505000000,0.86578837,35269.00000000,44938.00000000,130799.00000000,73785.00000000,-0.12055058,1,1
2026-06-08T00:05:42.016682+00:00,AERO,0.335340000000,0.335550000000,0.335445000000,6.26034074,7119.00000000,14551.00000000,57829.00000000,61964.00000000,-0.34296262,2,1
2026-06-08T00:05:42.016682+00:00,ZEC,436.400000000000,436.450000000000,436.425000000000,1.14567222,152.78000000,211.63000000,156.05000000,211.63000000,-0.16149392,2,1
2026-06-08T00:05:42.016682+00:00,NEAR,2.035500000000,2.035600000000,2.035550000000,0.49126772,14410.90000000,22940.90000000,35618.70000000,48280.70000000,-0.22836918,1,4
2026-06-08T00:05:42.016682+00:00,DOGE,0.086037000000,0.086046000000,0.086041500000,1.04600687,2389961.00000000,2018522.00000000,2389961.00000000,2018522.00000000,0.08425551,2,1
2026-06-08T00:05:42.016682+00:00,LTC,42.769000000000,42.772000000000,42.770500000000,0.70141803,910.51000000,1351.27000000,1598.72000000,2262.30000000,-0.19487306,2,1
2026-06-08T00:05:42.016682+00:00,XRP,1.152200000000,1.152400000000,1.152300000000,1.73565912,515616.00000000,614303.00000000,1368388.00000000,1026141.00000000,-0.08733989,6,1
2026-06-08T00:05:42.016682+00:00,SUI,0.757350000000,0.757500000000,0.757425000000,1.98039410,122088.90000000,61762.10000000,122088.90000000,61762.10000000,0.32812876,1,1
2026-06-08T00:05:42.016682+00:00,TON,1.705300000000,1.706200000000,1.705750000000,5.27627143,24140.30000000,20444.20000000,43651.20000000,37188.80000000,0.08290101,1,1
2026-06-08T00:05:42.016682+00:00,LIT,1.429900000000,1.431100000000,1.430500000000,8.38867529,10244.00000000,1372.00000000,33991.00000000,30563.00000000,0.76377410,1,2
2026-06-08T00:05:42.016682+00:00,VVV,16.321000000000,16.324000000000,16.322500000000,1.83795374,347.19000000,406.66000000,996.81000000,1449.15000000,-0.07888837,1,14
2026-06-08T00:05:42.016682+00:00,ADA,0.165040000000,0.165070000000,0.165055000000,1.81757596,465475.00000000,541145.00000000,859692.00000000,810381.00000000,-0.07517236,1,1
2026-06-08T00:05:42.016682+00:00,AVAX,6.789200000000,6.790500000000,6.789850000000,1.91462256,6083.31000000,8447.55000000,6083.31000000,8447.55000000,-0.16270475,2,1
2026-06-08T00:05:42.016682+00:00,BNB,603.690000000000,603.770000000000,603.730000000000,1.32509566,186.86900000,108.00600000,186.86900000,108.00600000,0.26744553,1,2
2026-06-08T00:05:42.016682+00:00,XMR,303.180000000000,303.220000000000,303.200000000000,1.31926121,84.45400000,18.22500000,194.24700000,112.30700000,0.64501018,1,2
2026-06-08T00:05:42.016682+00:00,ENA,0.089172000000,0.089183000000,0.089177500000,1.23349500,117429.00000000,702976.00000000,460409.00000000,702976.00000000,-0.71372919,2,1
