candidate_id,scope,context,asset,action,samples,hit_rate,mean_reward_bps,median_reward_bps,best_reward_bps,worst_reward_bps,score,decision,evidence,next_step
near_intraday_derivatives_paper_short,asset_family_action,intraday_derivatives,NEAR,paper_short,5,0.80000000,-4.65893834,21.89905263,21.89905263,-110.89090223,47.84106166,collect_more_labels,"samples=5, reward_range=-110.89..21.90, examples=lane-near-near-sum-top-long-short-ratio-intraday-derivatives-feature, lane-near-near-count-long-short-ratio-intraday-derivatives-feature, lane-near-near-count-top-long-short-ratio-intraday-derivatives-feature, lane-near-near-mean-sum-top-long-short-ratio-binance-derivatives-symbol-feature, repeat-lane-near-near-mean-sum-top-long-short-ratio-binance-derivatives-symbol-feature",collect more labels for NEAR intraday_derivatives/paper_short; current sample count is 5
protocol_fee_paper_long,family_action,protocol_fee,,paper_long,1,1.00000000,18.48675662,18.48675662,18.48675662,18.48675662,21.49117108,collect_more_labels,"samples=1, reward_range=18.49..18.49, examples=paper-48-crv-protocol-fee",collect more labels for protocol_fee/paper_long; current sample count is 1
crv_protocol_fee_paper_long,asset_family_action,protocol_fee,CRV,paper_long,1,1.00000000,18.48675662,18.48675662,18.48675662,18.48675662,21.49117108,collect_more_labels,"samples=1, reward_range=18.49..18.49, examples=paper-48-crv-protocol-fee",collect more labels for CRV protocol_fee/paper_long; current sample count is 1
event_unclassified_paper_long,asset_family_action,unclassified,EVENT,paper_long,1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.83333333,collect_more_labels,"samples=1, reward_range=0.00..0.00, examples=paper-23-event-event-probability",collect more labels for EVENT unclassified/paper_long; current sample count is 1
sei_microstructure_flow_paper_long,asset_family_action,microstructure_flow,SEI,paper_long,1,0.00000000,-6.42440139,-6.42440139,-6.42440139,-6.42440139,-3.44960093,collect_more_labels,"samples=1, reward_range=-6.42..-6.42, examples=repeat-paper-23-sei-microstructure-flow",collect more labels for SEI microstructure_flow/paper_long; current sample count is 1
sol_protocol_fee_paper_short,asset_family_action,protocol_fee,SOL,paper_short,1,0.00000000,-153.55115582,-153.55115582,-153.55115582,-153.55115582,-101.53410388,collect_more_labels,"samples=1, reward_range=-153.55..-153.55, examples=lane-sol-sol-protocol-fee-actionability",collect more labels for SOL protocol_fee/paper_short; current sample count is 1
zec_unclassified_paper_short,asset_family_action,unclassified,ZEC,paper_short,1,0.00000000,-167.98858239,-167.98858239,-167.98858239,-167.98858239,-111.15905493,collect_more_labels,"samples=1, reward_range=-167.99..-167.99, examples=lane-zec-zec-crowded-momentum-reversal-actionability",collect more labels for ZEC unclassified/paper_short; current sample count is 1
near_unclassified_paper_long,asset_family_action,unclassified,NEAR,paper_long,1,0.00000000,-186.40652194,-186.40652194,-186.40652194,-186.40652194,-123.43768129,collect_more_labels,"samples=1, reward_range=-186.41..-186.41, examples=repeat-paper-36-near-derivatives-positioning",collect more labels for NEAR unclassified/paper_long; current sample count is 1
execution_edge_paper_short,family_action,execution_edge,,paper_short,1,0.00000000,-522.30066040,-522.30066040,-522.30066040,-522.30066040,-347.36710693,collect_more_labels,"samples=1, reward_range=-522.30..-522.30, examples=lane-hype-hype-maker-or-low-fee-small-execution-edge",collect more labels for execution_edge/paper_short; current sample count is 1
hype_execution_edge_paper_short,asset_family_action,execution_edge,HYPE,paper_short,1,0.00000000,-522.30066040,-522.30066040,-522.30066040,-522.30066040,-347.36710693,collect_more_labels,"samples=1, reward_range=-522.30..-522.30, examples=lane-hype-hype-maker-or-low-fee-small-execution-edge",collect more labels for HYPE execution_edge/paper_short; current sample count is 1
