venue,instrument,side,annualized_funding,carry_side,volume_usd_24h,open_interest_usd,spread_or_impact,basis_or_premium,score,status,reason
OKX,BTC-USDT-SWAP,short,0.00598260,short_perp_receives_funding,6477616970.73072052,1870447819.76300716,0.000001609118,-0.000580671520,5.00524102,paper_venue_candidate,"short carry, liquidity, and visible friction are acceptable for paper watch"
Hyperliquid,BTC-USD perpetual,short,0.10950000,short_perp_receives_funding,2175401666.99958944,2067460383.74767995,0.000181805018,-0.000386001029,2.26633516,paper_venue_candidate,"short carry, liquidity, and visible friction are acceptable for paper watch"
