timestamp,category_name,symbol,category_action,direction,category_change_24h,directional_return_15m,hl_annualized_funding,okx_annualized_funding,best_funding_support,hl_liquidity_usd,okx_liquidity_usd,context_score,action,reason
2026-06-08T15:14:54.453785+00:00,Data Availability,TIA,sector_momentum_watch,1,15.15319810,,0.10950000,,-0.10950000,1022014.72904600,,-0.30643604,wait_for_label,sector label is not mature yet
2026-06-08T15:14:54.453785+00:00,Perpetuals,HYPE,sector_momentum_watch,1,11.72303205,,0.28021050,0.05114811,-0.05114811,902576041.51627982,577251375.58000004,-0.31668747,wait_for_label,sector label is not mature yet
2026-06-08T15:14:54.453785+00:00,AI Meme,FARTCOIN,sector_momentum_watch,1,14.59460222,,0.10950000,,-0.10950000,6260954.00114400,,-0.31760796,wait_for_label,sector label is not mature yet
2026-06-08T15:14:54.453785+00:00,Privacy Coins,XMR,sector_momentum_watch,1,14.32034791,,0.12373325,,-0.12373325,8182328.55454000,,-0.33732629,wait_for_label,sector label is not mature yet
2026-06-08T15:14:54.453785+00:00,Pump.fun Ecosystem,FARTCOIN,sector_momentum_watch,1,13.54076704,,0.10950000,,-0.10950000,6260954.00114400,,-0.33868466,wait_for_label,sector label is not mature yet
2026-06-08T15:14:54.453785+00:00,Buidlpad Launchpad,SAHARA,sector_momentum_watch,1,19.02154717,,,0.34004220,-0.34004220,,29490440.77980000,-0.45961126,wait_for_label,sector label is not mature yet
2026-06-08T15:14:54.453785+00:00,Telegram Apps,BEAT,sector_momentum_watch,1,60.66942680,,,1.30599586,-1.30599586,,852534151.60899997,-0.59260732,wait_for_label,sector label is not mature yet
2026-06-08T15:14:54.453785+00:00,Quantum-Resistant,STRK,sector_momentum_watch,1,19.00588556,,0.00423371,,-0.00423371,644547.38369400,,-0.62411600,wait_for_label,sector label is not mature yet
2026-06-08T15:14:54.453785+00:00,Liquid Staking Governance Tokens,LDO,sector_momentum_watch,1,14.25063227,,0.10950000,,-0.10950000,610088.96021900,,-0.82448735,wait_for_label,sector label is not mature yet
2026-06-08T15:14:54.453785+00:00,Gaming (GameFi),BEAT,sector_momentum_watch,1,18.31241005,,,1.30599586,-1.30599586,,852534151.60899997,-1.43974766,wait_for_label,sector label is not mature yet
2026-06-08T15:14:54.453785+00:00,NFT,BEAT,sector_momentum_watch,1,15.72918505,,,1.30599586,-1.30599586,,852534151.60899997,-1.49141216,wait_for_label,sector label is not mature yet
2026-06-08T15:14:54.453785+00:00,Account Abstraction,HOME,sector_stress_watch,-1,-13.03228461,,,-4.84541868,-4.84541868,,55708470.37700000,-5.08477299,wait_for_label,sector label is not mature yet
