timestamp,category_id,category_name,category_action,category_change_24h,coin_id,symbol,coin_name,coin_market_cap,coin_volume_24h,direction,raw_return_15m,raw_return_1h,directional_return_15m,directional_return_1h,label_status,score
2026-06-08T12:37:00.058573+00:00,bridged-stablecoins,Bridged Stablecoin,sector_stress_watch,-99.85556082,binance-bridged-usdt-bnb-smart-chain,BSC-USD,Binance Bridged USDT (BNB Smart Chain),9178541392.0000,906050193.0000,-1,,,,,not_hyperliquid,113.87537127
2026-06-08T12:37:00.058573+00:00,arcade-games,Arcade Games,sector_momentum_watch,96.07613484,audiera,BEAT,Audiera,1238060163.0000,91448476.0000,1,,,,,not_hyperliquid,113.75708058
2026-06-08T12:37:00.058573+00:00,arcade-games,Arcade Games,sector_momentum_watch,96.07613484,hamster-kombat,HMSTR,Hamster Kombat,10926378.0000,6169300.0000,1,,,,,tradable_pending_label,112.52994680
2026-06-08T12:37:00.058573+00:00,arcade-games,Arcade Games,sector_momentum_watch,96.07613484,pepecoin-2,PEPECOIN,PepeCoin,6128947.0000,146570.0000,1,,,,,not_hyperliquid,112.52514937
2026-06-08T12:37:00.058573+00:00,bridged-stablecoins,Bridged Stablecoin,sector_stress_watch,-99.85556082,usdt0,USDT0,USDT0,4062340907.0000,101200391.0000,-1,,,,,not_hyperliquid,108.75917079
2026-06-08T12:37:00.058573+00:00,bridged-stablecoins,Bridged Stablecoin,sector_stress_watch,-99.85556082,binance-bridged-usdc-bnb-smart-chain,USDC,Binance Bridged USDC (BNB Smart Chain),1288615365.0000,49810137.0000,-1,,,,,not_hyperliquid,105.98544524
2026-06-08T12:37:00.058573+00:00,openserv-ecosystem,OpenServ Ecosystem,sector_momentum_watch,72.60981697,solrouter,ROUTER,Solrouter,1369190.0000,210262.0000,1,,,,,not_hyperliquid,81.09106180
2026-06-08T12:37:00.058573+00:00,openserv-ecosystem,OpenServ Ecosystem,sector_momentum_watch,72.60981697,better,BETTER,BETTER,450558.0000,2699.0600,1,,,,,not_hyperliquid,81.09014317
2026-06-08T12:37:00.058573+00:00,openserv-ecosystem,OpenServ Ecosystem,sector_momentum_watch,72.60981697,cobot,COBOT,Cobot,155925.0000,5072.2200,1,,,,,not_hyperliquid,81.08984854
2026-06-08T12:37:00.058573+00:00,telegram_apps,Telegram Apps,sector_momentum_watch,63.90603251,audiera,BEAT,Audiera,1238060163.0000,91448476.0000,1,,,,,not_hyperliquid,76.27959210
2026-06-08T12:37:00.058573+00:00,telegram_apps,Telegram Apps,sector_momentum_watch,63.90603251,floki,FLOKI,FLOKI,240298972.0000,22814106.0000,1,,,,,not_hyperliquid,75.28183091
2026-06-08T12:37:00.058573+00:00,telegram_apps,Telegram Apps,sector_momentum_watch,63.90603251,catizen,CATI,Catizen,19863201.0000,6531222.0000,1,,,,,tradable_pending_label,75.06139514
