asset,scenario,observations,long_venue,short_venue,mean_annualized_spread,positive_net_8h_rate,mean_net_8h_proxy,mean_net_24h_proxy,fee_round_trip_rate,net_8h_after_fee,net_24h_after_fee,mean_breakeven_hold_hours,mean_capacity_proxy_notional,survives_8h,survives_24h
AZTEC,low_fee,6,OkxSwap,HlPerp,0.52864022,0,-0.0036909,-0.00272534,0.0002,-0.0038909,-0.00292534,69.1064,2442.15455556,False,False
AERO,low_fee,6,HlPerp,OkxSwap,0.06263655,0,-0.00284876,-0.00273436,0.0002,-0.00304876,-0.00293436,498.5355,3476.60708098,False,False
SYRUP,low_fee,6,OkxSwap,HlPerp,0,0,-0.00275918,-0.00275918,0.0002,-0.00295918,-0.00295918,0,3553.10918815,False,False
2Z,low_fee,6,HlPerp,OkxSwap,0.02111533,0,-0.00280508,-0.00276651,0.0002,-0.00300508,-0.00296651,1337.5194,1292.77483573,False,False
AIXBT,low_fee,6,HlPerp,OkxSwap,0.33136724,0,-0.00339841,-0.00279317,0.0002,-0.00359841,-0.00299317,99.0121,2429.25532429,False,False
MORPHO,low_fee,6,OkxSwap,HlPerp,0.35548331,0,-0.00344267,-0.00279339,0.0002,-0.00364267,-0.00299339,92.8787,7862.88727373,False,False
SPX,one_bps_each,6,OkxSwap,HlPerp,0,0,-0.00259687,-0.00259687,0.0004,-0.00299687,-0.00299687,0,14352.89957013,False,False
ZK,low_fee,3,HlPerp,OkxSwap,0.01521714,0,-0.00285118,-0.00282339,0.0002,-0.00305118,-0.00302339,5382.0382,2458.62343925,False,False
DYDX,low_fee,5,OkxSwap,HlPerp,0.12907067,0,-0.00306131,-0.00282557,0.0002,-0.00326131,-0.00302557,215.7916,2416.0757604,False,False
IMX,low_fee,6,OkxSwap,HlPerp,0.18499143,0,-0.0031767,-0.00283881,0.0002,-0.0033767,-0.00303881,158.2746,2352.42857367,False,False
GALA,one_bps_each,6,OkxSwap,HlPerp,0.11944649,0,-0.00287969,-0.00266153,0.0004,-0.00327969,-0.00306153,219.2557,1445.50604087,False,False
KAITO,very_low_fee,6,OkxSwap,HlPerp,0,0,-0.00298289,-0.00298289,0.00008,-0.00306289,-0.00306289,0,1608.3690758,False,False
RENDER,very_low_fee,4,OkxSwap,HlPerp,0.17992339,0,-0.0033154,-0.00298677,0.00008,-0.0033954,-0.00306677,169.5235,6591.39541175,False,False
AZTEC,one_bps_each,6,OkxSwap,HlPerp,0.52864022,0,-0.0036909,-0.00272534,0.0004,-0.0040909,-0.00312534,69.1064,2442.15455556,False,False
AERO,one_bps_each,6,HlPerp,OkxSwap,0.06263655,0,-0.00284876,-0.00273436,0.0004,-0.00324876,-0.00313436,498.5355,3476.60708098,False,False
APE,very_low_fee,6,OkxSwap,HlPerp,0.16690238,0,-0.00337699,-0.00307215,0.00008,-0.00345699,-0.00315215,185.2444,8156.48454452,False,False
SYRUP,one_bps_each,6,OkxSwap,HlPerp,0,0,-0.00275918,-0.00275918,0.0004,-0.00315918,-0.00315918,0,3553.10918815,False,False
2Z,one_bps_each,6,HlPerp,OkxSwap,0.02111533,0,-0.00280508,-0.00276651,0.0004,-0.00320508,-0.00316651,1337.5194,1292.77483573,False,False
KAITO,low_fee,6,OkxSwap,HlPerp,0,0,-0.00298289,-0.00298289,0.0002,-0.00318289,-0.00318289,0,1608.3690758,False,False
SNX,very_low_fee,6,HlPerp,OkxSwap,0.50142103,0,-0.00402002,-0.00310418,0.00008,-0.00410002,-0.00318418,79.4295,2556.62081635,False,False
RENDER,low_fee,4,OkxSwap,HlPerp,0.17992339,0,-0.0033154,-0.00298677,0.0002,-0.0035154,-0.00318677,169.5235,6591.39541175,False,False
AIXBT,one_bps_each,6,HlPerp,OkxSwap,0.33136724,0,-0.00339841,-0.00279317,0.0004,-0.00379841,-0.00319317,99.0121,2429.25532429,False,False
MORPHO,one_bps_each,6,OkxSwap,HlPerp,0.35548331,0,-0.00344267,-0.00279339,0.0004,-0.00384267,-0.00319339,92.8787,7862.88727373,False,False
ZK,one_bps_each,3,HlPerp,OkxSwap,0.01521714,0,-0.00285118,-0.00282339,0.0004,-0.00325118,-0.00322339,5382.0382,2458.62343925,False,False
DYDX,one_bps_each,5,OkxSwap,HlPerp,0.12907067,0,-0.00306131,-0.00282557,0.0004,-0.00346131,-0.00322557,215.7916,2416.0757604,False,False
IMX,one_bps_each,6,OkxSwap,HlPerp,0.18499143,0,-0.0031767,-0.00283881,0.0004,-0.0035767,-0.00323881,158.2746,2352.42857367,False,False
APE,low_fee,6,OkxSwap,HlPerp,0.16690238,0,-0.00337699,-0.00307215,0.0002,-0.00357699,-0.00327215,185.2444,8156.48454452,False,False
SNX,low_fee,6,HlPerp,OkxSwap,0.50142103,0,-0.00402002,-0.00310418,0.0002,-0.00422002,-0.00330418,79.4295,2556.62081635,False,False
SUSHI,very_low_fee,6,HlPerp,OkxSwap,0.12165406,0,-0.00349946,-0.00327726,0.00008,-0.00357946,-0.00335726,263.5757,1948.16378204,False,False
MEME,very_low_fee,6,HlPerp,OkxSwap,0.21330366,0,-0.00367588,-0.00328629,0.00008,-0.00375588,-0.00336629,155.479,5907.14607473,False,False
KAITO,one_bps_each,6,OkxSwap,HlPerp,0,0,-0.00298289,-0.00298289,0.0004,-0.00338289,-0.00338289,0,1608.3690758,False,False
RENDER,one_bps_each,4,OkxSwap,HlPerp,0.17992339,0,-0.0033154,-0.00298677,0.0004,-0.0037154,-0.00338677,169.5235,6591.39541175,False,False
MERL,very_low_fee,6,HlPerp,OkxSwap,0.31774681,0,-0.00395133,-0.00337097,0.00008,-0.00403133,-0.00345097,117.132,2409.86787272,False,False
APE,one_bps_each,6,OkxSwap,HlPerp,0.16690238,0,-0.00337699,-0.00307215,0.0004,-0.00377699,-0.00347215,185.2444,8156.48454452,False,False
SUSHI,low_fee,6,HlPerp,OkxSwap,0.12165406,0,-0.00349946,-0.00327726,0.0002,-0.00369946,-0.00347726,263.5757,1948.16378204,False,False
MEME,low_fee,6,HlPerp,OkxSwap,0.21330366,0,-0.00367588,-0.00328629,0.0002,-0.00387588,-0.00348629,155.479,5907.14607473,False,False
0G,very_low_fee,6,HlPerp,HlPerp,0.00368316,0,-0.00342602,-0.00341929,0.00008,-0.00350602,-0.00349929,12748.9967,1740.9161668,False,False
GRASS,very_low_fee,6,OkxSwap,HlPerp,0.39370144,0,-0.0041411,-0.00342201,0.00008,-0.0042211,-0.00350201,100.1429,6040.85999706,False,False
SNX,one_bps_each,6,HlPerp,OkxSwap,0.50142103,0,-0.00402002,-0.00310418,0.0004,-0.00442002,-0.00350418,79.4295,2556.62081635,False,False
AVNT,very_low_fee,6,OkxSwap,HlPerp,0,0,-0.00343687,-0.00343687,0.00008,-0.00351687,-0.00351687,0,3979.47912283,False,False
MOODENG,very_low_fee,6,OkxSwap,HlPerp,0,0,-0.00343748,-0.00343748,0.00008,-0.00351748,-0.00351748,0,1721.5524044,False,False
MERL,low_fee,6,HlPerp,OkxSwap,0.31774681,0,-0.00395133,-0.00337097,0.0002,-0.00415133,-0.00357097,117.132,2409.86787272,False,False
LINEA,very_low_fee,6,OkxSwap,HlPerp,0,0,-0.00349838,-0.00349838,0.00008,-0.00357838,-0.00357838,0,2535.86799917,False,False
0G,low_fee,6,HlPerp,HlPerp,0.00368316,0,-0.00342602,-0.00341929,0.0002,-0.00362602,-0.00361929,12748.9967,1740.9161668,False,False
GRASS,low_fee,6,OkxSwap,HlPerp,0.39370144,0,-0.0041411,-0.00342201,0.0002,-0.0043411,-0.00362201,100.1429,6040.85999706,False,False
AVNT,low_fee,6,OkxSwap,HlPerp,0,0,-0.00343687,-0.00343687,0.0002,-0.00363687,-0.00363687,0,3979.47912283,False,False
MOODENG,low_fee,6,OkxSwap,HlPerp,0,0,-0.00343748,-0.00343748,0.0002,-0.00363748,-0.00363748,0,1721.5524044,False,False
SUSHI,one_bps_each,6,HlPerp,OkxSwap,0.12165406,0,-0.00349946,-0.00327726,0.0004,-0.00389946,-0.00367726,263.5757,1948.16378204,False,False
MEME,one_bps_each,6,HlPerp,OkxSwap,0.21330366,0,-0.00367588,-0.00328629,0.0004,-0.00407588,-0.00368629,155.479,5907.14607473,False,False
LINEA,low_fee,6,OkxSwap,HlPerp,0,0,-0.00349838,-0.00349838,0.0002,-0.00369838,-0.00369838,0,2535.86799917,False,False
GAS,very_low_fee,6,OkxSwap,HlPerp,0,0,-0.00366588,-0.00366588,0.00008,-0.00374588,-0.00374588,0,664.31410717,False,False
MERL,one_bps_each,6,HlPerp,OkxSwap,0.31774681,0,-0.00395133,-0.00337097,0.0004,-0.00435133,-0.00377097,117.132,2409.86787272,False,False
PYTH,very_low_fee,3,OkxSwap,HlPerp,0.05273212,0,-0.00383447,-0.00373815,0.00008,-0.00391447,-0.00381815,645.2856,5279.71674324,False,False
0G,one_bps_each,6,HlPerp,HlPerp,0.00368316,0,-0.00342602,-0.00341929,0.0004,-0.00382602,-0.00381929,12748.9967,1740.9161668,False,False
GRASS,one_bps_each,6,OkxSwap,HlPerp,0.39370144,0,-0.0041411,-0.00342201,0.0004,-0.0045411,-0.00382201,100.1429,6040.85999706,False,False
AVNT,one_bps_each,6,OkxSwap,HlPerp,0,0,-0.00343687,-0.00343687,0.0004,-0.00383687,-0.00383687,0,3979.47912283,False,False
MOODENG,one_bps_each,6,OkxSwap,HlPerp,0,0,-0.00343748,-0.00343748,0.0004,-0.00383748,-0.00383748,0,1721.5524044,False,False
GMX,very_low_fee,6,OkxSwap,HlPerp,0.33664972,0,-0.00439621,-0.00378133,0.00008,-0.00447621,-0.00386133,122.3475,2219.73550078,False,False
GAS,low_fee,6,OkxSwap,HlPerp,0,0,-0.00366588,-0.00366588,0.0002,-0.00386588,-0.00386588,0,664.31410717,False,False
AXS,very_low_fee,6,OkxSwap,HlPerp,0.17745973,0,-0.00411802,-0.00379389,0.00008,-0.00419802,-0.00387389,211.4145,1413.20353179,False,False
LINEA,one_bps_each,6,OkxSwap,HlPerp,0,0,-0.00349838,-0.00349838,0.0004,-0.00389838,-0.00389838,0,2535.86799917,False,False
PYTH,low_fee,3,OkxSwap,HlPerp,0.05273212,0,-0.00383447,-0.00373815,0.0002,-0.00403447,-0.00393815,645.2856,5279.71674324,False,False
GMX,low_fee,6,OkxSwap,HlPerp,0.33664972,0,-0.00439621,-0.00378133,0.0002,-0.00459621,-0.00398133,122.3475,2219.73550078,False,False
AXS,low_fee,6,OkxSwap,HlPerp,0.17745973,0,-0.00411802,-0.00379389,0.0002,-0.00431802,-0.00399389,211.4145,1413.20353179,False,False
SKY,very_low_fee,6,OkxSwap,HlPerp,0,0,-0.00395896,-0.00395896,0.00008,-0.00403896,-0.00403896,0,5388.34557849,False,False
TURBO,very_low_fee,6,OkxSwap,HlPerp,0.04897409,0,-0.00406699,-0.00397754,0.00008,-0.00414699,-0.00405754,738.4754,920.62974128,False,False
GAS,one_bps_each,6,OkxSwap,HlPerp,0,0,-0.00366588,-0.00366588,0.0004,-0.00406588,-0.00406588,0,664.31410717,False,False
PYTH,one_bps_each,3,OkxSwap,HlPerp,0.05273212,0,-0.00383447,-0.00373815,0.0004,-0.00423447,-0.00413815,645.2856,5279.71674324,False,False
SKY,low_fee,6,OkxSwap,HlPerp,0,0,-0.00395896,-0.00395896,0.0002,-0.00415896,-0.00415896,0,5388.34557849,False,False
COMP,very_low_fee,6,OkxSwap,HlPerp,0.05010467,0,-0.00417107,-0.00407955,0.00008,-0.00425107,-0.00415955,1651.3656,2374.57007893,False,False
W,very_low_fee,6,OkxSwap,HlPerp,0.1174696,0,-0.00429957,-0.00408501,0.00008,-0.00437957,-0.00416501,328.4523,2771.93370108,False,False
TURBO,low_fee,6,OkxSwap,HlPerp,0.04897409,0,-0.00406699,-0.00397754,0.0002,-0.00426699,-0.00417754,738.4754,920.62974128,False,False
GMX,one_bps_each,6,OkxSwap,HlPerp,0.33664972,0,-0.00439621,-0.00378133,0.0004,-0.00479621,-0.00418133,122.3475,2219.73550078,False,False
GMT,very_low_fee,6,OkxSwap,HlPerp,0.14704778,0,-0.00437024,-0.00410166,0.00008,-0.00445024,-0.00418166,288.5346,1121.40314183,False,False
AXS,one_bps_each,6,OkxSwap,HlPerp,0.17745973,0,-0.00411802,-0.00379389,0.0004,-0.00451802,-0.00419389,211.4145,1413.20353179,False,False
COMP,low_fee,6,OkxSwap,HlPerp,0.05010467,0,-0.00417107,-0.00407955,0.0002,-0.00437107,-0.00427955,1651.3656,2374.57007893,False,False
W,low_fee,6,OkxSwap,HlPerp,0.1174696,0,-0.00429957,-0.00408501,0.0002,-0.00449957,-0.00428501,328.4523,2771.93370108,False,False
GMT,low_fee,6,OkxSwap,HlPerp,0.14704778,0,-0.00437024,-0.00410166,0.0002,-0.00457024,-0.00430166,288.5346,1121.40314183,False,False
BIGTIME,very_low_fee,6,OkxSwap,HlPerp,0.20420651,0,-0.00463334,-0.00426036,0.00008,-0.00471334,-0.00434036,206.7235,1204.51344954,False,False
SKY,one_bps_each,6,OkxSwap,HlPerp,0,0,-0.00395896,-0.00395896,0.0004,-0.00435896,-0.00435896,0,5388.34557849,False,False
TURBO,one_bps_each,6,OkxSwap,HlPerp,0.04897409,0,-0.00406699,-0.00397754,0.0004,-0.00446699,-0.00437754,738.4754,920.62974128,False,False
BIGTIME,low_fee,6,OkxSwap,HlPerp,0.20420651,0,-0.00463334,-0.00426036,0.0002,-0.00483334,-0.00446036,206.7235,1204.51344954,False,False
COMP,one_bps_each,6,OkxSwap,HlPerp,0.05010467,0,-0.00417107,-0.00407955,0.0004,-0.00457107,-0.00447955,1651.3656,2374.57007893,False,False
W,one_bps_each,6,OkxSwap,HlPerp,0.1174696,0,-0.00429957,-0.00408501,0.0004,-0.00469957,-0.00448501,328.4523,2771.93370108,False,False
GMT,one_bps_each,6,OkxSwap,HlPerp,0.14704778,0,-0.00437024,-0.00410166,0.0004,-0.00477024,-0.00450166,288.5346,1121.40314183,False,False
SAND,very_low_fee,6,OkxSwap,HlPerp,0,0,-0.00447971,-0.00447971,0.00008,-0.00455971,-0.00455971,0,1775.83117554,False,False
MET,very_low_fee,6,OkxSwap,HlPerp,0,0,-0.00454378,-0.00454378,0.00008,-0.00462378,-0.00462378,0,1583.74459493,False,False
BRETT,very_low_fee,6,OkxSwap,HlPerp,0.11156279,0,-0.00475408,-0.00455031,0.00008,-0.00483408,-0.00463031,381.6279,1384.71220938,False,False
BIGTIME,one_bps_each,6,OkxSwap,HlPerp,0.20420651,0,-0.00463334,-0.00426036,0.0004,-0.00503334,-0.00466036,206.7235,1204.51344954,False,False
SAND,low_fee,6,OkxSwap,HlPerp,0,0,-0.00447971,-0.00447971,0.0002,-0.00467971,-0.00467971,0,1775.83117554,False,False
NEO,very_low_fee,6,OkxSwap,HlPerp,0.2191663,0,-0.00503189,-0.00463158,0.00008,-0.00511189,-0.00471158,209.1413,1123.065069,False,False
MET,low_fee,6,OkxSwap,HlPerp,0,0,-0.00454378,-0.00454378,0.0002,-0.00474378,-0.00474378,0,1583.74459493,False,False
BRETT,low_fee,6,OkxSwap,HlPerp,0.11156279,0,-0.00475408,-0.00455031,0.0002,-0.00495408,-0.00475031,381.6279,1384.71220938,False,False
NEO,low_fee,6,OkxSwap,HlPerp,0.2191663,0,-0.00503189,-0.00463158,0.0002,-0.00523189,-0.00483158,209.1413,1123.065069,False,False
FOGO,very_low_fee,5,OkxSwap,HlPerp,0,0,-0.00475775,-0.00475775,0.00008,-0.00483775,-0.00483775,0,878.1152609,False,False
SAND,one_bps_each,6,OkxSwap,HlPerp,0,0,-0.00447971,-0.00447971,0.0004,-0.00487971,-0.00487971,0,1775.83117554,False,False
MET,one_bps_each,6,OkxSwap,HlPerp,0,0,-0.00454378,-0.00454378,0.0004,-0.00494378,-0.00494378,0,1583.74459493,False,False
DOOD,very_low_fee,5,OkxSwap,HlPerp,0,0,-0.00487028,-0.00487028,0.00008,-0.00495028,-0.00495028,0,758.25685249,False,False
BRETT,one_bps_each,6,OkxSwap,HlPerp,0.11156279,0,-0.00475408,-0.00455031,0.0004,-0.00515408,-0.00495031,381.6279,1384.71220938,False,False
FOGO,low_fee,5,OkxSwap,HlPerp,0,0,-0.00475775,-0.00475775,0.0002,-0.00495775,-0.00495775,0,878.1152609,False,False
NEO,one_bps_each,6,OkxSwap,HlPerp,0.2191663,0,-0.00503189,-0.00463158,0.0004,-0.00543189,-0.00503158,209.1413,1123.065069,False,False
DOOD,low_fee,5,OkxSwap,HlPerp,0,0,-0.00487028,-0.00487028,0.0002,-0.00507028,-0.00507028,0,758.25685249,False,False
INIT,very_low_fee,6,HlPerp,OkxSwap,0.02929461,0,-0.00507591,-0.0050224,0.00008,-0.00515591,-0.0051024,2900.6935,2629.99328051,False,False
FOGO,one_bps_each,5,OkxSwap,HlPerp,0,0,-0.00475775,-0.00475775,0.0004,-0.00515775,-0.00515775,0,878.1152609,False,False
INIT,low_fee,6,HlPerp,OkxSwap,0.02929461,0,-0.00507591,-0.0050224,0.0002,-0.00527591,-0.0052224,2900.6935,2629.99328051,False,False
DOOD,one_bps_each,5,OkxSwap,HlPerp,0,0,-0.00487028,-0.00487028,0.0004,-0.00527028,-0.00527028,0,758.25685249,False,False
INIT,one_bps_each,6,HlPerp,OkxSwap,0.02929461,0,-0.00507591,-0.0050224,0.0004,-0.00547591,-0.0054224,2900.6935,2629.99328051,False,False
MOVE,very_low_fee,6,OkxSwap,HlPerp,0,0,-0.00558066,-0.00558066,0.00008,-0.00566066,-0.00566066,0,781.00465187,False,False
NOT,very_low_fee,6,OkxSwap,HlPerp,0,0,-0.0056429,-0.0056429,0.00008,-0.0057229,-0.0057229,0,597.37258625,False,False
BLUR,very_low_fee,6,OkxSwap,HlPerp,0.08350986,0,-0.00581763,-0.0056651,0.00008,-0.00589763,-0.0057451,618.2034,1821.18266886,False,False
MOVE,low_fee,6,OkxSwap,HlPerp,0,0,-0.00558066,-0.00558066,0.0002,-0.00578066,-0.00578066,0,781.00465187,False,False
NOT,low_fee,6,OkxSwap,HlPerp,0,0,-0.0056429,-0.0056429,0.0002,-0.0058429,-0.0058429,0,597.37258625,False,False
BLUR,low_fee,6,OkxSwap,HlPerp,0.08350986,0,-0.00581763,-0.0056651,0.0002,-0.00601763,-0.0058651,618.2034,1821.18266886,False,False
UMA,very_low_fee,6,OkxSwap,HlPerp,0.57307704,0,-0.0069463,-0.00589959,0.00008,-0.0070263,-0.00597959,114.2223,681.21693642,False,False
MOVE,one_bps_each,6,OkxSwap,HlPerp,0,0,-0.00558066,-0.00558066,0.0004,-0.00598066,-0.00598066,0,781.00465187,False,False
NOT,one_bps_each,6,OkxSwap,HlPerp,0,0,-0.0056429,-0.0056429,0.0004,-0.0060429,-0.0060429,0,597.37258625,False,False
TRB,very_low_fee,6,OkxSwap,HlPerp,0,0,-0.00598168,-0.00598168,0.00008,-0.00606168,-0.00606168,0,1141.44941355,False,False
BLUR,one_bps_each,6,OkxSwap,HlPerp,0.08350986,0,-0.00581763,-0.0056651,0.0004,-0.00621763,-0.0060651,618.2034,1821.18266886,False,False
HMSTR,very_low_fee,6,OkxSwap,HlPerp,0,0,-0.00600994,-0.00600994,0.00008,-0.00608994,-0.00608994,0,1673.02442766,False,False
UMA,low_fee,6,OkxSwap,HlPerp,0.57307704,0,-0.0069463,-0.00589959,0.0002,-0.0071463,-0.00609959,114.2223,681.21693642,False,False
TRB,low_fee,6,OkxSwap,HlPerp,0,0,-0.00598168,-0.00598168,0.0002,-0.00618168,-0.00618168,0,1141.44941355,False,False
HMSTR,low_fee,6,OkxSwap,HlPerp,0,0,-0.00600994,-0.00600994,0.0002,-0.00620994,-0.00620994,0,1673.02442766,False,False
UMA,one_bps_each,6,OkxSwap,HlPerp,0.57307704,0,-0.0069463,-0.00589959,0.0004,-0.0073463,-0.00629959,114.2223,681.21693642,False,False
TRB,one_bps_each,6,OkxSwap,HlPerp,0,0,-0.00598168,-0.00598168,0.0004,-0.00638168,-0.00638168,0,1141.44941355,False,False
HMSTR,one_bps_each,6,OkxSwap,HlPerp,0,0,-0.00600994,-0.00600994,0.0004,-0.00640994,-0.00640994,0,1673.02442766,False,False
BOME,very_low_fee,6,OkxSwap,HlPerp,0.04300625,0,-0.00663534,-0.00655679,0.00008,-0.00671534,-0.00663679,1344.6464,267.43648204,False,False
BOME,low_fee,6,OkxSwap,HlPerp,0.04300625,0,-0.00663534,-0.00655679,0.0002,-0.00683534,-0.00675679,1344.6464,267.43648204,False,False
BOME,one_bps_each,6,OkxSwap,HlPerp,0.04300625,0,-0.00663534,-0.00655679,0.0004,-0.00703534,-0.00695679,1344.6464,267.43648204,False,False
ME,very_low_fee,6,OkxSwap,HlPerp,0.22702967,0,-0.00754859,-0.00713392,0.00008,-0.00762859,-0.00721392,299.5645,1628.23566442,False,False
ME,low_fee,6,OkxSwap,HlPerp,0.22702967,0,-0.00754859,-0.00713392,0.0002,-0.00774859,-0.00733392,299.5645,1628.23566442,False,False
ME,one_bps_each,6,OkxSwap,HlPerp,0.22702967,0,-0.00754859,-0.00713392,0.0004,-0.00794859,-0.00753392,299.5645,1628.23566442,False,False
IOTA,very_low_fee,6,OkxSwap,HlPerp,0.08759621,0,-0.00768091,-0.00752092,0.00008,-0.00776091,-0.00760092,789.0996,920.32674227,False,False
IOTA,low_fee,6,OkxSwap,HlPerp,0.08759621,0,-0.00768091,-0.00752092,0.0002,-0.00788091,-0.00772092,789.0996,920.32674227,False,False
IOTA,one_bps_each,6,OkxSwap,HlPerp,0.08759621,0,-0.00768091,-0.00752092,0.0004,-0.00808091,-0.00792092,789.0996,920.32674227,False,False
ZETA,very_low_fee,3,OkxSwap,HlPerp,0,0,-0.00821076,-0.00821076,0.00008,-0.00829076,-0.00829076,0,538.094562,False,False
ZETA,low_fee,3,OkxSwap,HlPerp,0,0,-0.00821076,-0.00821076,0.0002,-0.00841076,-0.00841076,0,538.094562,False,False
ZETA,one_bps_each,3,OkxSwap,HlPerp,0,0,-0.00821076,-0.00821076,0.0004,-0.00861076,-0.00861076,0,538.094562,False,False
RESOLV,very_low_fee,5,OkxSwap,HlPerp,0,0,-0.00877015,-0.00877015,0.00008,-0.00885015,-0.00885015,0,3335.27136176,False,False
RESOLV,low_fee,5,OkxSwap,HlPerp,0,0,-0.00877015,-0.00877015,0.0002,-0.00897015,-0.00897015,0,3335.27136176,False,False
WCT,very_low_fee,6,OkxSwap,HlPerp,0.11904505,0,-0.00916929,-0.00895186,0.00008,-0.00924929,-0.00903186,681.7462,693.75177015,False,False
WCT,low_fee,6,OkxSwap,HlPerp,0.11904505,0,-0.00916929,-0.00895186,0.0002,-0.00936929,-0.00915186,681.7462,693.75177015,False,False
RESOLV,one_bps_each,5,OkxSwap,HlPerp,0,0,-0.00877015,-0.00877015,0.0004,-0.00917015,-0.00917015,0,3335.27136176,False,False
WCT,one_bps_each,6,OkxSwap,HlPerp,0.11904505,0,-0.00916929,-0.00895186,0.0004,-0.00956929,-0.00935186,681.7462,693.75177015,False,False
MINA,very_low_fee,6,OkxSwap,HlPerp,0.08971032,0,-0.00992792,-0.00976406,0.00008,-0.01000792,-0.00984406,991.5998,1195.56872404,False,False
SOPH,very_low_fee,6,OkxSwap,HlPerp,0,0,-0.00982769,-0.00982769,0.00008,-0.00990769,-0.00990769,0,301.93443986,False,False
MINA,low_fee,6,OkxSwap,HlPerp,0.08971032,0,-0.00992792,-0.00976406,0.0002,-0.01012792,-0.00996406,991.5998,1195.56872404,False,False
SOPH,low_fee,6,OkxSwap,HlPerp,0,0,-0.00982769,-0.00982769,0.0002,-0.01002769,-0.01002769,0,301.93443986,False,False
MINA,one_bps_each,6,OkxSwap,HlPerp,0.08971032,0,-0.00992792,-0.00976406,0.0004,-0.01032792,-0.01016406,991.5998,1195.56872404,False,False
SOPH,one_bps_each,6,OkxSwap,HlPerp,0,0,-0.00982769,-0.00982769,0.0004,-0.01022769,-0.01022769,0,301.93443986,False,False
RSR,very_low_fee,6,OkxSwap,HlPerp,0.13614507,0,-0.01161741,-0.01136874,0.00008,-0.01169741,-0.01144874,755.6318,266.33792618,False,False
RSR,low_fee,6,OkxSwap,HlPerp,0.13614507,0,-0.01161741,-0.01136874,0.0002,-0.01181741,-0.01156874,755.6318,266.33792618,False,False
RSR,one_bps_each,6,OkxSwap,HlPerp,0.13614507,0,-0.01161741,-0.01136874,0.0004,-0.01201741,-0.01176874,755.6318,266.33792618,False,False
CELO,very_low_fee,6,OkxSwap,HlPerp,0,0,-0.0117725,-0.0117725,0.00008,-0.0118525,-0.0118525,0,1280.45947752,False,False
CELO,low_fee,6,OkxSwap,HlPerp,0,0,-0.0117725,-0.0117725,0.0002,-0.0119725,-0.0119725,0,1280.45947752,False,False
CELO,one_bps_each,6,OkxSwap,HlPerp,0,0,-0.0117725,-0.0117725,0.0004,-0.0121725,-0.0121725,0,1280.45947752,False,False
