asset,scenario,observations,long_venue,short_venue,mean_annualized_spread,positive_net_8h_rate,mean_net_8h_proxy,mean_net_24h_proxy,fee_round_trip_rate,net_8h_after_fee,net_24h_after_fee,mean_breakeven_hold_hours,mean_capacity_proxy_notional,survives_8h,survives_24h
CHIP,low_fee,6,OkxSwap,HlPerp,0.27951219,0,-0.00141204,-0.00090152,0.0002,-0.00161204,-0.00110152,52.2635,9080.25199824,False,False
XPL,low_fee,6,OkxSwap,HlPerp,0.3916159,0,-0.00164075,-0.00092547,0.0002,-0.00184075,-0.00112547,44.6962,77684.57472929,False,False
ASTER,very_low_fee,6,OkxSwap,HlPerp,0.01522668,0,-0.00107746,-0.00104965,0.00008,-0.00115746,-0.00112965,628.9469,44252.8508002,False,False
INJ,low_fee,6,OkxSwap,HlPerp,0.45971813,0,-0.00177332,-0.00093365,0.0002,-0.00197332,-0.00113365,41.7929,20683.78607843,False,False
IP,very_low_fee,6,OkxSwap,HlPerp,0.3059329,0,-0.00162034,-0.00106155,0.00008,-0.00170034,-0.00114155,54.4441,3315.90538706,False,False
NEAR,one_bps_each,6,OkxSwap,HlPerp,0.27988151,0,-0.0012641,-0.0007529,0.0004,-0.0016641,-0.0011529,47.5715,317101.8959657,False,False
ONDO,very_low_fee,6,OkxSwap,HlPerp,0.13289084,0,-0.00134063,-0.0010979,0.00008,-0.00142063,-0.0011779,96.4801,120048.9306657,False,False
UNI,very_low_fee,6,OkxSwap,HlPerp,0.05129635,0,-0.00120367,-0.00110998,0.00008,-0.00128367,-0.00118998,213.3372,10508.26734573,False,False
SUI,one_bps_each,6,OkxSwap,HlPerp,0.02615097,0,-0.00085374,-0.00080597,0.0004,-0.00125374,-0.00120597,294.1683,325458.30858109,False,False
APT,very_low_fee,6,OkxSwap,HlPerp,0.20374438,0,-0.00150121,-0.00112907,0.00008,-0.00158121,-0.00120907,72.5549,16637.73939721,False,False
ARB,very_low_fee,6,OkxSwap,HlPerp,0.19188761,0,-0.00148258,-0.0011321,0.00008,-0.00156258,-0.0012121,75.6792,20326.59313177,False,False
TON,one_bps_each,6,OkxSwap,HlPerp,0.24415027,0,-0.0012704,-0.00082446,0.0004,-0.0016704,-0.00122446,53.5791,336458.08221663,False,False
CRV,one_bps_each,6,OkxSwap,HlPerp,0.1931644,0,-0.00118374,-0.00083093,0.0004,-0.00158374,-0.00123093,61.6841,24655.45117691,False,False
HBAR,one_bps_each,6,OkxSwap,HlPerp,0.1829851,0,-0.00117958,-0.00084536,0.0004,-0.00157958,-0.00124536,64.4634,12045.91304394,False,False
ASTER,low_fee,6,OkxSwap,HlPerp,0.01522668,0,-0.00107746,-0.00104965,0.0002,-0.00127746,-0.00124965,628.9469,44252.8508002,False,False
IP,low_fee,6,OkxSwap,HlPerp,0.3059329,0,-0.00162034,-0.00106155,0.0002,-0.00182034,-0.00126155,54.4441,3315.90538706,False,False
