asset,scenario,execution_mode,long_venue,short_venue,gross_event_8h_rate,gross_event_24h_rate,okx_taker_slippage_bps,hl_taker_slippage_bps,entry_slippage_bps,round_trip_slippage_rate,fee_round_trip_rate,all_in_round_trip_cost_rate,net_event_8h_after_cost,net_event_24h_after_cost,both_touch_rate,okx_only_touch_rate,hl_only_touch_rate,capacity
BTC,one_bps_each,both_cross,OkxSwap,HlPerp,0.00010582,0.00031747,0.00810394,0.08101889,0.08912284,0.00001782,0.0004,0.00041782,-0.000312,-0.00010035,0.2,0.4,0.2,422448.80855333
JTO,one_bps_each,both_maker,OkxSwap,HlPerp,0.00005877,0.00017631,2.81610617,3.21634216,0,0,0.0004,0.0004,-0.00034123,-0.00022369,0,0.8,0.2,54543.56750198
JTO,very_low_fee,okx_cross_hl_maker,OkxSwap,HlPerp,0.00005877,0.00017631,2.81610617,3.21634216,2.81610617,0.00056322,0.00008,0.00064322,-0.00058445,-0.00046691,0,0.8,0.2,54543.56750198
JTO,very_low_fee,okx_maker_hl_cross,OkxSwap,HlPerp,0.00005877,0.00017631,2.81610617,3.21634216,3.21634216,0.00064327,0.00008,0.00072327,-0.0006645,-0.00054696,0,0.8,0.2,54543.56750198
JTO,low_fee,okx_cross_hl_maker,OkxSwap,HlPerp,0.00005877,0.00017631,2.81610617,3.21634216,2.81610617,0.00056322,0.0002,0.00076322,-0.00070445,-0.00058691,0,0.8,0.2,54543.56750198
BABY,very_low_fee,okx_maker_hl_cross,HlPerp,OkxSwap,0.00036862,0.00110587,9.53685298,8.14567978,8.14567978,0.00162914,0.00008,0.00170914,-0.00134052,-0.00060327,0,0.2,0.2,18182.63949194
JTO,low_fee,okx_maker_hl_cross,OkxSwap,HlPerp,0.00005877,0.00017631,2.81610617,3.21634216,3.21634216,0.00064327,0.0002,0.00084327,-0.0007845,-0.00066696,0,0.8,0.2,54543.56750198
BABY,low_fee,okx_maker_hl_cross,HlPerp,OkxSwap,0.00036862,0.00110587,9.53685298,8.14567978,8.14567978,0.00162914,0.0002,0.00182914,-0.00146052,-0.00072327,0,0.2,0.2,18182.63949194
JTO,one_bps_each,okx_cross_hl_maker,OkxSwap,HlPerp,0.00005877,0.00017631,2.81610617,3.21634216,2.81610617,0.00056322,0.0004,0.00096322,-0.00090445,-0.00078691,0,0.8,0.2,54543.56750198
JTO,one_bps_each,okx_maker_hl_cross,OkxSwap,HlPerp,0.00005877,0.00017631,2.81610617,3.21634216,3.21634216,0.00064327,0.0004,0.00104327,-0.0009845,-0.00086696,0,0.8,0.2,54543.56750198
BABY,very_low_fee,okx_cross_hl_maker,HlPerp,OkxSwap,0.00036862,0.00110587,9.53685298,8.14567978,9.53685298,0.00190737,0.00008,0.00198737,-0.00161875,-0.0008815,0,0.2,0.2,18182.63949194
BABY,one_bps_each,okx_maker_hl_cross,HlPerp,OkxSwap,0.00036862,0.00110587,9.53685298,8.14567978,8.14567978,0.00162914,0.0004,0.00202914,-0.00166052,-0.00092327,0,0.2,0.2,18182.63949194
BABY,low_fee,okx_cross_hl_maker,HlPerp,OkxSwap,0.00036862,0.00110587,9.53685298,8.14567978,9.53685298,0.00190737,0.0002,0.00210737,-0.00173875,-0.0010015,0,0.2,0.2,18182.63949194
JTO,very_low_fee,both_cross,OkxSwap,HlPerp,0.00005877,0.00017631,2.81610617,3.21634216,6.03244833,0.00120649,0.00008,0.00128649,-0.00122772,-0.00111018,0,0.8,0.2,54543.56750198
BABY,one_bps_each,okx_cross_hl_maker,HlPerp,OkxSwap,0.00036862,0.00110587,9.53685298,8.14567978,9.53685298,0.00190737,0.0004,0.00230737,-0.00193875,-0.0012015,0,0.2,0.2,18182.63949194
JTO,low_fee,both_cross,OkxSwap,HlPerp,0.00005877,0.00017631,2.81610617,3.21634216,6.03244833,0.00120649,0.0002,0.00140649,-0.00134772,-0.00123018,0,0.8,0.2,54543.56750198
JTO,one_bps_each,both_cross,OkxSwap,HlPerp,0.00005877,0.00017631,2.81610617,3.21634216,6.03244833,0.00120649,0.0004,0.00160649,-0.00154772,-0.00143018,0,0.8,0.2,54543.56750198
BABY,very_low_fee,both_cross,HlPerp,OkxSwap,0.00036862,0.00110587,9.53685298,8.14567978,17.68253276,0.00353651,0.00008,0.00361651,-0.00324789,-0.00251064,0,0.2,0.2,18182.63949194
BABY,low_fee,both_cross,HlPerp,OkxSwap,0.00036862,0.00110587,9.53685298,8.14567978,17.68253276,0.00353651,0.0002,0.00373651,-0.00336789,-0.00263064,0,0.2,0.2,18182.63949194
BABY,one_bps_each,both_cross,HlPerp,OkxSwap,0.00036862,0.00110587,9.53685298,8.14567978,17.68253276,0.00353651,0.0004,0.00393651,-0.00356789,-0.00283064,0,0.2,0.2,18182.63949194
