asset,observations,dominant_long_venue,dominant_short_venue,mean_annualized_spread,mean_net_8h_proxy,min_net_8h_proxy,max_net_8h_proxy,positive_net_8h_rate,mean_net_24h_proxy,mean_breakeven_hold_hours,mean_capacity_proxy_notional
MET,6,OkxSwap,HlPerp,0.00000000,-0.00454378,-0.00596070,-0.00351579,0.00000000,-0.00454378,0.0000,1583.74459493
BIGTIME,6,OkxSwap,HlPerp,0.20420651,-0.00463334,-0.00503495,-0.00423078,0.00000000,-0.00426036,206.7235,1204.51344954
BRETT,6,OkxSwap,HlPerp,0.11156279,-0.00475408,-0.00531636,-0.00400875,0.00000000,-0.00455031,381.6279,1384.71220938
FOGO,5,OkxSwap,HlPerp,0.00000000,-0.00475775,-0.00579476,-0.00395091,0.00000000,-0.00475775,0.0000,878.11526090
DOOD,5,OkxSwap,HlPerp,0.00000000,-0.00487028,-0.00624221,-0.00374844,0.00000000,-0.00487028,0.0000,758.25685249
NEO,6,OkxSwap,HlPerp,0.21916630,-0.00503189,-0.00556767,-0.00453994,0.00000000,-0.00463158,209.1413,1123.06506900
INIT,6,HlPerp,OkxSwap,0.02929461,-0.00507591,-0.00532968,-0.00476337,0.00000000,-0.00502240,2900.6935,2629.99328051
MOVE,6,OkxSwap,HlPerp,0.00000000,-0.00558066,-0.00605137,-0.00510783,0.00000000,-0.00558066,0.0000,781.00465187
NOT,6,OkxSwap,HlPerp,0.00000000,-0.00564290,-0.00577442,-0.00551157,0.00000000,-0.00564290,0.0000,597.37258625
BLUR,6,OkxSwap,HlPerp,0.08350986,-0.00581763,-0.00697579,-0.00467358,0.00000000,-0.00566510,618.2034,1821.18266886
TRB,6,OkxSwap,HlPerp,0.00000000,-0.00598168,-0.00682507,-0.00550465,0.00000000,-0.00598168,0.0000,1141.44941355
HMSTR,6,OkxSwap,HlPerp,0.00000000,-0.00600994,-0.00601018,-0.00600989,0.00000000,-0.00600994,0.0000,1673.02442766
BOME,6,OkxSwap,HlPerp,0.04300625,-0.00663534,-0.00806609,-0.00512473,0.00000000,-0.00655679,1344.6464,267.43648204
UMA,6,OkxSwap,HlPerp,0.57307704,-0.00694630,-0.00762005,-0.00609393,0.00000000,-0.00589959,114.2223,681.21693642
ME,6,OkxSwap,HlPerp,0.22702967,-0.00754859,-0.00816893,-0.00632149,0.00000000,-0.00713392,299.5645,1628.23566442
IOTA,6,OkxSwap,HlPerp,0.08759621,-0.00768091,-0.00829036,-0.00674753,0.00000000,-0.00752092,789.0996,920.32674227
ZETA,3,OkxSwap,HlPerp,0.00000000,-0.00821076,-0.00923253,-0.00755942,0.00000000,-0.00821076,0.0000,538.09456200
RESOLV,5,OkxSwap,HlPerp,0.00000000,-0.00877015,-0.00918814,-0.00832525,0.00000000,-0.00877015,0.0000,3335.27136176
WCT,6,OkxSwap,HlPerp,0.11904505,-0.00916929,-0.01013796,-0.00758196,0.00000000,-0.00895186,681.7462,693.75177015
SOPH,6,OkxSwap,HlPerp,0.00000000,-0.00982769,-0.01060969,-0.00948052,0.00000000,-0.00982769,0.0000,301.93443986
MINA,6,OkxSwap,HlPerp,0.08971032,-0.00992792,-0.01043860,-0.00948467,0.00000000,-0.00976406,991.5998,1195.56872404
RSR,6,OkxSwap,HlPerp,0.13614507,-0.01161741,-0.01235893,-0.01013987,0.00000000,-0.01136874,755.6318,266.33792618
CELO,6,OkxSwap,HlPerp,0.00000000,-0.01177250,-0.01239344,-0.01041759,0.00000000,-0.01177250,0.0000,1280.45947752
