sample_index,timestamp,source,action,asset,long_venue,short_venue,annualized_edge,net_8h_proxy,net_24h_proxy,liquidity_proxy,friction_proxy,reason
1,2026-06-09T00:39:24.148324+00:00,hl_single_venue,current_funding_monitor,AERO,HlPerp,cash_or_spot_proxy,0.90413887,,,669215.38530000,0.00258303,long_perp_receives_funding
1,2026-06-09T00:39:24.148324+00:00,predicted_cross_venue,current_funding_monitor,ZEC,HlPerp,BinPerp,0.90146050,,,312690795.58169991,0.00036901,Hyperliquid context available
1,2026-06-09T00:39:24.148324+00:00,predicted_cross_venue,current_funding_monitor,ALT,BybitPerp,HlPerp,0.88219770,,,182670.72412200,0.00387119,Hyperliquid context available
1,2026-06-09T00:39:24.148324+00:00,predicted_cross_venue,current_funding_monitor,GMX,BybitPerp,HlPerp,0.85746165,,,182425.99640100,0.00365817,Hyperliquid context available
1,2026-06-09T00:39:24.148324+00:00,hl_single_venue,current_funding_monitor,AVNT,HlPerp,cash_or_spot_proxy,0.83293847,,,482897.35231100,0.00161860,long_perp_receives_funding
1,2026-06-09T00:39:24.148324+00:00,predicted_cross_venue,current_funding_monitor,BABY,BybitPerp,HlPerp,0.83074934,,,831445.69340200,0.00256410,Hyperliquid context available
1,2026-06-09T00:39:24.148324+00:00,predicted_cross_venue,current_funding_monitor,kBONK,BybitPerp,HlPerp,0.78281550,,,759098.59959500,0.00092400,Hyperliquid context available
1,2026-06-09T00:39:24.148324+00:00,predicted_cross_venue,current_funding_monitor,AXS,BybitPerp,HlPerp,0.76038464,,,124976.61097200,0.00311879,Hyperliquid context available
1,2026-06-09T00:39:24.148324+00:00,hl_single_venue,current_funding_monitor,BABY,HlPerp,cash_or_spot_proxy,0.75393466,,,831445.69340200,0.00249713,long_perp_receives_funding
1,2026-06-09T00:39:24.148324+00:00,hl_single_venue,current_funding_monitor,S,HlPerp,cash_or_spot_proxy,0.74056952,,,205843.15111400,0.00208711,long_perp_receives_funding
1,2026-06-09T00:39:24.148324+00:00,predicted_cross_venue,current_funding_monitor,GOAT,BinPerp,HlPerp,0.66687690,,,198450.07165800,0.00487695,Hyperliquid context available
1,2026-06-09T00:39:24.148324+00:00,predicted_cross_venue,current_funding_monitor,SAGA,HlPerp,BybitPerp,0.65191394,,,183314.92688000,0.00234192,Hyperliquid context available
1,2026-06-09T00:39:24.148324+00:00,predicted_cross_venue,current_funding_monitor,kFLOKI,BybitPerp,HlPerp,0.63712575,,,114058.58752700,0.00104861,Hyperliquid context available
1,2026-06-09T00:39:24.148324+00:00,predicted_cross_venue,current_funding_monitor,LAYER,BinPerp,HlPerp,0.61949756,,,2164248.73056000,0.00263916,mark/oracle dislocation
1,2026-06-09T00:39:24.148324+00:00,predicted_cross_venue,current_funding_monitor,AZTEC,BybitPerp,HlPerp,0.60932370,,,309530.50595700,0.00396387,Hyperliquid context available
