source,action,asset,long_venue,short_venue,annualized_edge,net_8h_proxy,net_24h_proxy,liquidity_proxy,friction_proxy,reason
okx_hl_current,blocked_by_cost_or_capacity,NEO,HlPerp,OkxSwap,0.16072149,-0.00343530,-0.00314174,1120.03577414,0.00358207,OKX and Hyperliquid context available
okx_hl_current,blocked_by_cost_or_capacity,AXS,HlPerp,OkxSwap,0.15780439,-0.00259431,-0.00230608,1455.55213389,0.00273842,OKX and Hyperliquid context available
okx_hl_current,blocked_by_cost_or_capacity,XPL,OkxSwap,HlPerp,0.15273635,-0.00157615,-0.00129718,74160.39713744,0.00171564,OKX and Hyperliquid context available
okx_hl_current,blocked_by_cost_or_capacity,TAO,OkxSwap,HlPerp,0.14364700,-0.00080752,-0.00054515,66002.31046130,0.00093870,OKX and Hyperliquid context available
okx_hl_current,blocked_by_cost_or_capacity,ONDO,OkxSwap,HlPerp,0.13791944,-0.00180269,-0.00155079,126059.02281350,0.00192865,OKX and Hyperliquid context available
okx_hl_current,blocked_by_cost_or_capacity,DYDX,OkxSwap,HlPerp,0.13709549,-0.00459394,-0.00434354,2427.42627943,0.00471914,OKX and Hyperliquid context available
okx_hl_current,blocked_by_cost_or_capacity,TRX,OkxSwap,HlPerp,0.12669664,-0.00062719,-0.00039578,47614.29113700,0.00074289,OKX and Hyperliquid context available
okx_hl_current,blocked_by_cost_or_capacity,TON,OkxSwap,HlPerp,0.12527777,-0.00107562,-0.00084680,330203.57373730,0.00119003,OKX and Hyperliquid context available
okx_hl_current,blocked_by_cost_or_capacity,CFX,OkxSwap,HlPerp,0.12437199,-0.00359866,-0.00337149,5550.19137942,0.00371224,OKX and Hyperliquid context available
okx_hl_current,blocked_by_cost_or_capacity,2Z,HlPerp,OkxSwap,0.12372420,-0.00269644,-0.00247046,1378.34826250,0.00280943,OKX and Hyperliquid context available
okx_hl_current,blocked_by_cost_or_capacity,XRP,OkxSwap,HlPerp,0.11922373,-0.00104531,-0.00082755,381001.68589400,0.00115419,OKX and Hyperliquid context available
okx_hl_current,blocked_by_cost_or_capacity,STRK,OkxSwap,HlPerp,0.11558358,-0.00198466,-0.00177355,8383.18484232,0.00209022,OKX and Hyperliquid context available
