timestamp,asset,long_venue,short_venue,annualized_spread,rough_round_trip_cost,breakeven_hold_hours,net_8h_proxy,net_24h_proxy,capacity_proxy_notional,notes
2026-06-07T12:25:19.854314+00:00,JTO,OkxSwap,HlPerp,0.73850304,0.00138593,16.4397,-0.00071150,0.00063736,54612.35964480,OKX and Hyperliquid context available
2026-06-07T12:25:19.854314+00:00,BABY,HlPerp,OkxSwap,1.43674349,0.00511235,31.1706,-0.00380026,-0.00117607,18182.73452837,OKX and Hyperliquid context available
2026-06-07T12:25:31.752123+00:00,BTC,OkxSwap,HlPerp,0.12413457,0.00001776,1.2531,0.00009561,0.00032234,417330.86728000,OKX and Hyperliquid context available
2026-06-07T12:25:31.752123+00:00,JTO,OkxSwap,HlPerp,0.74554054,0.00097074,11.4061,-0.00028988,0.00107184,54654.58097780,OKX and Hyperliquid context available
2026-06-07T12:25:31.752123+00:00,ZEC,OkxSwap,HlPerp,0.36382409,0.00066543,16.0218,-0.00033317,0.00033135,93885.81610000,OKX and Hyperliquid context available
2026-06-07T12:25:31.752123+00:00,BABY,HlPerp,OkxSwap,1.44297769,0.00537012,32.6008,-0.00405234,-0.00141676,18182.73452837,OKX and Hyperliquid context available
2026-06-07T12:25:43.390288+00:00,BTC,OkxSwap,HlPerp,0.12413457,0.00010010,7.0637,0.00001327,0.00024000,166371.02563000,OKX and Hyperliquid context available
2026-06-07T12:25:43.390288+00:00,ZEC,OkxSwap,HlPerp,0.36049354,0.00048175,11.7065,-0.00015253,0.00050590,85525.80690000,OKX and Hyperliquid context available
2026-06-07T12:25:43.390288+00:00,JTO,OkxSwap,HlPerp,0.72928724,0.00157991,18.9774,-0.00091389,0.00041814,54666.69365530,OKX and Hyperliquid context available
2026-06-07T12:25:43.390288+00:00,BABY,HlPerp,OkxSwap,1.43199966,0.00537012,32.8508,-0.00406236,-0.00144684,18182.73452837,OKX and Hyperliquid context available
2026-06-07T12:25:55.595496+00:00,BTC,OkxSwap,HlPerp,0.12413457,0.00009686,6.8350,0.00001651,0.00024324,544454.12204000,OKX and Hyperliquid context available
2026-06-07T12:25:55.595496+00:00,ZEC,OkxSwap,HlPerp,0.36049354,0.00079186,19.2421,-0.00046264,0.00019580,117366.20740000,OKX and Hyperliquid context available
2026-06-07T12:25:55.595496+00:00,JTO,OkxSwap,HlPerp,0.72928724,0.00148551,17.8435,-0.00081949,0.00051254,54666.69365530,OKX and Hyperliquid context available
2026-06-07T12:25:55.595496+00:00,BABY,HlPerp,OkxSwap,1.43199966,0.00601747,36.8108,-0.00470971,-0.00209418,18182.73452837,wide Hyperliquid impact spread
2026-06-07T12:26:07.529631+00:00,ZEC,OkxSwap,HlPerp,0.35548633,0.00043162,10.6361,-0.00010697,0.00054232,121248.44150000,OKX and Hyperliquid context available
2026-06-07T12:26:07.529631+00:00,BTC,OkxSwap,HlPerp,0.12413457,0.00029851,21.0656,-0.00018515,0.00004158,416828.91528000,OKX and Hyperliquid context available
2026-06-07T12:26:07.529631+00:00,JTO,OkxSwap,HlPerp,0.69849321,0.00153911,19.3024,-0.00090122,0.00037457,54698.13627840,OKX and Hyperliquid context available
2026-06-07T12:26:07.529631+00:00,BABY,HlPerp,OkxSwap,1.39244826,0.00601670,37.8516,-0.00474506,-0.00220178,18182.73452837,wide Hyperliquid impact spread
