timestamp,asset,long_venue,short_venue,annualized_spread,rough_round_trip_cost,breakeven_hold_hours,net_8h_proxy,net_24h_proxy,capacity_proxy_notional,notes
2026-06-07T11:52:44.620710+00:00,UNI,OkxSwap,HlPerp,0.06894944,0.00117783,149.6423,-0.00111486,-0.00098892,10058.03946360,OKX and Hyperliquid context available
2026-06-07T11:52:44.620710+00:00,XLM,OkxSwap,HlPerp,0.10087742,0.00120876,104.9661,-0.00111663,-0.00093238,103084.19499770,OKX and Hyperliquid context available
2026-06-07T11:52:44.620710+00:00,VIRTUAL,OkxSwap,HlPerp,0.07189824,0.00118952,144.9303,-0.00112386,-0.00099254,12566.53505665,OKX and Hyperliquid context available
2026-06-07T11:52:44.620710+00:00,ARB,OkxSwap,HlPerp,0.16946587,0.00133250,68.8795,-0.00117774,-0.00086821,20344.33579084,OKX and Hyperliquid context available
2026-06-07T11:52:44.620710+00:00,TIA,OkxSwap,HlPerp,0.29099744,0.00153998,46.3587,-0.00127423,-0.00074273,6799.75492822,OKX and Hyperliquid context available
2026-06-07T11:52:44.620710+00:00,LDO,OkxSwap,HlPerp,0.20336393,0.00149186,64.2624,-0.00130614,-0.00093469,5924.30612131,OKX and Hyperliquid context available
2026-06-07T11:52:44.620710+00:00,IP,OkxSwap,HlPerp,0.34253774,0.00161920,41.4092,-0.00130638,-0.00068074,3253.11732924,OKX and Hyperliquid context available
2026-06-07T11:52:44.620710+00:00,JTO,HlPerp,OkxSwap,0.41942043,0.00173244,36.1838,-0.00134941,-0.00058335,47034.30025640,OKX and Hyperliquid context available
2026-06-07T11:52:44.620710+00:00,MON,OkxSwap,HlPerp,0.56066316,0.00187098,29.2328,-0.00135896,-0.00033492,24294.00590013,OKX and Hyperliquid context available
2026-06-07T11:52:44.620710+00:00,TRUMP,HlPerp,OkxSwap,0.00284864,0.00137026,4213.7649,-0.00136766,-0.00136246,11648.69513390,OKX and Hyperliquid context available
2026-06-07T11:52:44.620710+00:00,CC,OkxSwap,HlPerp,0.18090977,0.00153333,74.2467,-0.00136811,-0.00103768,35166.26362620,OKX and Hyperliquid context available
2026-06-07T11:52:44.620710+00:00,ICP,HlPerp,OkxSwap,0.14221680,0.00151430,93.2752,-0.00138443,-0.00112467,11457.24460880,OKX and Hyperliquid context available
2026-06-07T11:52:44.620710+00:00,SEI,HlPerp,OkxSwap,0.04353983,0.00146056,293.8584,-0.00142080,-0.00134128,9095.59044065,OKX and Hyperliquid context available
2026-06-07T11:52:44.620710+00:00,BABY,HlPerp,OkxSwap,1.96997399,0.00330824,14.7109,-0.00150918,0.00208895,18135.00345375,OKX and Hyperliquid context available
2026-06-07T11:52:44.620710+00:00,MEGA,OkxSwap,HlPerp,0.26758446,0.00180626,59.1320,-0.00156189,-0.00107315,9677.98709123,OKX and Hyperliquid context available
2026-06-07T11:52:44.620710+00:00,WIF,HlPerp,OkxSwap,0.29651239,0.00185147,54.6987,-0.00158068,-0.00103910,12223.48122060,OKX and Hyperliquid context available
2026-06-07T11:52:44.620710+00:00,MOODENG,HlPerp,OkxSwap,0.04212433,0.00166217,345.6577,-0.00162370,-0.00154676,1716.74014150,OKX and Hyperliquid context available
2026-06-07T11:52:44.620710+00:00,KAITO,HlPerp,OkxSwap,0.30401843,0.00191508,55.1811,-0.00163743,-0.00108215,1594.36135890,OKX and Hyperliquid context available
2026-06-07T11:52:44.620710+00:00,LIT,OkxSwap,HlPerp,0.10748744,0.00174137,141.9181,-0.00164321,-0.00144689,44501.24760000,OKX and Hyperliquid context available
2026-06-07T11:52:44.620710+00:00,ANIME,OkxSwap,HlPerp,0.00000000,0.00164382,0.0000,-0.00164382,-0.00164382,2342.70845086,OKX and Hyperliquid context available
2026-06-07T11:52:44.620710+00:00,STRK,HlPerp,OkxSwap,0.13917136,0.00179717,113.1210,-0.00167007,-0.00141588,8504.76750803,OKX and Hyperliquid context available
2026-06-07T11:52:44.620710+00:00,DASH,OkxSwap,HlPerp,0.16814178,0.00184066,95.8963,-0.00168711,-0.00138000,14050.38670430,OKX and Hyperliquid context available
2026-06-07T11:52:44.620710+00:00,AIXBT,HlPerp,OkxSwap,0.78730968,0.00247912,27.5839,-0.00176011,-0.00032210,2383.32594839,OKX and Hyperliquid context available
2026-06-07T11:52:44.620710+00:00,DOT,OkxSwap,HlPerp,0.23373245,0.00205160,76.8916,-0.00183815,-0.00141124,8737.27170259,OKX and Hyperliquid context available
2026-06-07T11:52:44.620710+00:00,YGG,OkxSwap,HlPerp,0.00000000,0.00188635,0.0000,-0.00188635,-0.00188635,1675.94596270,OKX and Hyperliquid context available
2026-06-07T11:52:44.620710+00:00,BERA,OkxSwap,HlPerp,0.17059129,0.00204752,105.1417,-0.00189173,-0.00158015,2757.17769208,OKX and Hyperliquid context available
2026-06-07T11:52:44.620710+00:00,2Z,HlPerp,OkxSwap,0.14131904,0.00204141,126.5416,-0.00191235,-0.00165423,1314.08632026,OKX and Hyperliquid context available
2026-06-07T11:52:44.620710+00:00,MERL,HlPerp,OkxSwap,0.54655655,0.00242373,38.8465,-0.00192459,-0.00092631,2386.67013151,OKX and Hyperliquid context available
2026-06-07T11:52:44.620710+00:00,JUP,HlPerp,OkxSwap,0.26323017,0.00223749,74.4613,-0.00199710,-0.00151632,10724.84677310,OKX and Hyperliquid context available
2026-06-07T11:52:44.620710+00:00,PUMP,HlPerp,OkxSwap,0.00187662,0.00200156,9343.1946,-0.00199984,-0.00199642,33005.79729939,OKX and Hyperliquid context available
2026-06-07T11:52:44.620710+00:00,TURBO,HlPerp,OkxSwap,0.44879004,0.00242207,47.2768,-0.00201222,-0.00119251,900.62807543,low Hyperliquid day volume
2026-06-07T11:52:44.620710+00:00,BIO,HlPerp,OkxSwap,0.08922729,0.00209381,205.5628,-0.00201233,-0.00184936,5764.12388438,OKX and Hyperliquid context available
2026-06-07T11:52:44.620710+00:00,ALGO,OkxSwap,HlPerp,0.33415058,0.00236541,62.0109,-0.00206025,-0.00144993,3720.29199509,OKX and Hyperliquid context available
