timestamp,asset,long_venue,short_venue,annualized_spread,hl_involved,hl_max_leverage,hl_open_interest,hl_day_notional_volume,hl_mark_oracle_abs_diff,hl_impact_spread,notes
2026-06-09T00:04:54.092480+00:00,MOODENG,HlPerp,BinPerp,0.28034278,True,3.0000,9200188.00000000,197291.42174900,0.00145776,0.00117288,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,ETHFI,BybitPerp,BinPerp,0.26987370,False,,,,,,Hyperliquid not involved; external venue feasibility still unknown
2026-06-09T00:04:54.092480+00:00,CRV,BybitPerp,HlPerp,0.25802580,True,10.0000,29142777.20000000,2109738.19490900,0.00055472,0.00070629,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,MET,HlPerp,BinPerp,0.24350084,True,3.0000,11024830.00000000,219801.35352600,0.00147348,0.00175033,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,JTO,HlPerp,BinPerp,0.22639432,True,5.0000,4630192.00000000,5633916.18787000,0.00138495,0.00175099,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,ICP,BinPerp,BybitPerp,0.22344570,False,,,,,,Hyperliquid not involved; external venue feasibility still unknown
2026-06-09T00:04:54.092480+00:00,DOT,BinPerp,HlPerp,0.22265730,True,10.0000,4409020.20000000,1762699.51022800,0.00081150,0.00096657,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,ENS,BinPerp,HlPerp,0.21823350,True,5.0000,297375.46000000,117532.26394600,0.00090765,0.00200659,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,POL,BybitPerp,HlPerp,0.21596378,True,5.0000,26592128.00000000,466705.28975500,0.00100090,0.00129720,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,JELLY,HlPerp,BinPerp,0.21370020,True,,,,,,Hyperliquid involved but market context not found
2026-06-09T00:04:54.092480+00:00,ETH,HlPerp,BinPerp,0.20753009,True,25.0000,682733.69480000,1170147568.07640147,0.00076973,0.00005925,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,STRK,BybitPerp,BinPerp,0.20345100,False,,,,,,Hyperliquid not involved; external venue feasibility still unknown
2026-06-09T00:04:54.092480+00:00,TNSR,BybitPerp,BinPerp,0.19948710,False,,,,,,Hyperliquid not involved; external venue feasibility still unknown
2026-06-09T00:04:54.092480+00:00,GOAT,BinPerp,HlPerp,0.19315800,True,3.0000,15903276.00000000,181222.71189500,0.00059049,0.00398818,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,NXPC,BinPerp,HlPerp,0.19048620,True,3.0000,2156620.00000000,369192.03793000,0.00182260,0.00277640,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,XLM,BinPerp,HlPerp,0.19020150,True,5.0000,55243442.00000000,4810701.93800000,0.00069119,0.00089407,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,TRX,BybitPerp,HlPerp,0.18656479,True,10.0000,47123236.00000000,1454540.47062000,0.00067371,0.00031559,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,LDO,BybitPerp,HlPerp,0.18498930,True,5.0000,17827036.40000000,563802.36733700,0.00060243,0.00094173,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,IMX,BybitPerp,HlPerp,0.17997420,True,5.0000,16172425.00000000,658337.16013100,0.00028881,0.00194890,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,FIL,HlPerp,BybitPerp,0.17860589,True,5.0000,3745997.80000000,709132.79263900,0.00107166,0.00127953,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,kPEPE,BinPerp,BybitPerp,0.17838645,False,,,,,,Hyperliquid not involved; external venue feasibility still unknown
2026-06-09T00:04:54.092480+00:00,INJ,BinPerp,BybitPerp,0.17766375,False,,,,,,Hyperliquid not involved; external venue feasibility still unknown
2026-06-09T00:04:54.092480+00:00,VIRTUAL,HlPerp,BybitPerp,0.17749162,True,5.0000,9579796.00000000,1473735.32491600,0.00116778,0.00068777,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,SAND,BinPerp,BybitPerp,0.17710530,False,,,,,,Hyperliquid not involved; external venue feasibility still unknown
2026-06-09T00:04:54.092480+00:00,BSV,BinPerp,HlPerp,0.17246250,True,3.0000,44560.56000000,73594.57935000,0.00066390,0.00277305,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,TURBO,HlPerp,BinPerp,0.16385755,True,3.0000,258950286.00000000,86988.57786300,0.00115473,0.00231214,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,DOGE,BinPerp,HlPerp,0.15894976,True,10.0000,282465734.00000000,9270412.31870800,0.00063750,0.00019714,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,GMT,BybitPerp,HlPerp,0.15842153,True,3.0000,22718732.00000000,84728.68468900,0.00227848,0.00406246,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,OP,BinPerp,HlPerp,0.15825728,True,5.0000,32248928.40000000,800125.29860800,0.00073183,0.00125576,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,MON,BinPerp,HlPerp,0.15553380,True,5.0000,1212953220.00000000,1996922.02286000,0.00048151,0.00110806,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,JUP,BinPerp,HlPerp,0.15407789,True,10.0000,22649274.00000000,1849111.96126000,0.00125945,0.00138692,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,OGN,BinPerp,BybitPerp,0.15238020,False,,,,,,Hyperliquid not involved; external venue feasibility still unknown
2026-06-09T00:04:54.092480+00:00,SOL,BybitPerp,BinPerp,0.12786315,False,,,,,,Hyperliquid not involved; external venue feasibility still unknown
2026-06-09T00:04:54.092480+00:00,SNX,BinPerp,HlPerp,0.12691050,True,3.0000,2955207.20000000,303056.13840900,0.00052813,0.00174740,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,BNB,HlPerp,BybitPerp,0.11641514,True,10.0000,60648.51600000,6119318.96359000,0.00061516,0.00019798,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,ALGO,BinPerp,BybitPerp,0.11166810,False,,,,,,Hyperliquid not involved; external venue feasibility still unknown
2026-06-09T00:04:54.092480+00:00,LTC,BinPerp,HlPerp,0.11151480,True,10.0000,237681.08000000,1581237.79088000,0.00055833,0.00054701,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,BLAST,HlPerp,BybitPerp,0.10950000,True,,,,,,Hyperliquid involved but market context not found
2026-06-09T00:04:54.092480+00:00,CATI,HlPerp,BinPerp,0.10950000,True,,,,,,Hyperliquid involved but market context not found
2026-06-09T00:04:54.092480+00:00,ILV,HlPerp,BinPerp,0.10950000,True,,,,,,Hyperliquid involved but market context not found
2026-06-09T00:04:54.092480+00:00,LISTA,HlPerp,BinPerp,0.10950000,True,,,,,,Hyperliquid involved but market context not found
2026-06-09T00:04:54.092480+00:00,MAV,HlPerp,BinPerp,0.10950000,True,,,,,,Hyperliquid involved but market context not found
2026-06-09T00:04:54.092480+00:00,MAVIA,HlPerp,BybitPerp,0.10950000,True,,,,,,Hyperliquid involved but market context not found
2026-06-09T00:04:54.092480+00:00,MEW,HlPerp,BinPerp,0.10950000,True,,,,,,Hyperliquid involved but market context not found
2026-06-09T00:04:54.092480+00:00,ORBS,HlPerp,BybitPerp,0.10950000,True,,,,,,Hyperliquid involved but market context not found
2026-06-09T00:04:54.092480+00:00,PIXEL,HlPerp,BinPerp,0.10950000,True,,,,,,Hyperliquid involved but market context not found
2026-06-09T00:04:54.092480+00:00,PROMPT,HlPerp,BinPerp,0.10950000,True,,,,,,Hyperliquid involved but market context not found
2026-06-09T00:04:54.092480+00:00,SCR,HlPerp,BinPerp,0.10950000,True,,,,,,Hyperliquid involved but market context not found
2026-06-09T00:04:54.092480+00:00,TST,HlPerp,BinPerp,0.10950000,True,,,,,,Hyperliquid involved but market context not found
2026-06-09T00:04:54.092480+00:00,ZEREBRO,HlPerp,BinPerp,0.10950000,True,,,,,,Hyperliquid involved but market context not found
2026-06-09T00:04:54.092480+00:00,PENGU,BinPerp,HlPerp,0.10864590,True,5.0000,541845906.00000000,1708388.89283500,0.00058694,0.00088093,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,LINK,BinPerp,HlPerp,0.10588650,True,10.0000,3962856.20000000,4547755.20914000,0.00031297,0.00031929,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,ETC,BinPerp,HlPerp,0.10276575,True,5.0000,185511.38000000,192883.48626800,0.00101416,0.00214353,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,BOME,BinPerp,HlPerp,0.10146270,True,3.0000,457376684.00000000,28094.87806000,0.00240385,0.00481928,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,ARB,BybitPerp,HlPerp,0.10091432,True,10.0000,46597374.00000004,2668669.67620100,0.00097466,0.00085376,Hyperliquid context available
2026-06-09T00:04:54.092480+00:00,DASH,BinPerp,HlPerp,0.09942600,True,5.0000,26828.42000000,1263644.43719000,0.00051560,0.00135447,Hyperliquid context available
