sample_index,timestamp,source,action,asset,long_venue,short_venue,annualized_edge,net_8h_proxy,net_24h_proxy,liquidity_proxy,friction_proxy,reason
1,2026-06-07T14:34:57.607050+00:00,predicted_cross_venue,current_funding_monitor,kNEIRO,HlPerp,BybitPerp,1.22673814,,,297002.23021000,0.00093153,Hyperliquid context available
1,2026-06-07T14:34:57.607050+00:00,hl_single_venue,current_funding_monitor,kNEIRO,HlPerp,cash_or_spot_proxy,1.12311172,,,290671.74888400,0.00139817,long_perp_receives_funding
1,2026-06-07T14:34:57.607050+00:00,predicted_cross_venue,current_funding_monitor,WLD,BinPerp,HlPerp,0.99508125,,,49606978.05679094,0.00104986,Hyperliquid context available
1,2026-06-07T14:34:57.607050+00:00,predicted_cross_venue,current_funding_monitor,AIXBT,HlPerp,BinPerp,0.97002984,,,269953.72822300,0.00331863,Hyperliquid context available
1,2026-06-07T14:34:57.607050+00:00,predicted_cross_venue,current_funding_monitor,ZEC,BybitPerp,HlPerp,0.95375726,,,342596348.67299867,0.00048625,Hyperliquid context available
1,2026-06-07T14:34:57.607050+00:00,hl_single_venue,current_funding_monitor,SNX,HlPerp,cash_or_spot_proxy,0.92350110,,,248733.62726500,0.00201688,long_perp_receives_funding
1,2026-06-07T14:34:57.607050+00:00,predicted_cross_venue,current_funding_monitor,SNX,HlPerp,BinPerp,0.92304952,,,250827.12278200,0.00209816,Hyperliquid context available
1,2026-06-07T14:34:57.607050+00:00,hl_single_venue,current_funding_monitor,AIXBT,HlPerp,cash_or_spot_proxy,0.85782212,,,269238.29715500,0.00282164,long_perp_receives_funding
1,2026-06-07T14:34:57.607050+00:00,okx_hl_current,paper_24h_monitor,WLD,OkxSwap,HlPerp,0.83739599,-0.00069256,0.00083693,496069.78056791,0.00145730,OKX and Hyperliquid context available
1,2026-06-07T14:34:57.607050+00:00,hl_single_venue,current_funding_monitor,BABY,HlPerp,cash_or_spot_proxy,0.80744424,,,1735950.30579400,0.00180018,long_perp_receives_funding
1,2026-06-07T14:34:57.607050+00:00,hl_single_venue,current_funding_monitor,MON,HlPerp,cash_or_spot_proxy,0.74800501,,,2406279.67064700,0.00186526,long_perp_receives_funding
1,2026-06-07T14:34:57.607050+00:00,hl_single_venue,current_funding_monitor,MORPHO,HlPerp,cash_or_spot_proxy,0.74734451,,,799996.77106000,0.00327286,long_perp_receives_funding
1,2026-06-07T14:34:57.607050+00:00,hl_single_venue,current_funding_monitor,BIO,HlPerp,cash_or_spot_proxy,0.71026255,,,627889.00536100,0.00173950,long_perp_receives_funding
1,2026-06-07T14:34:57.607050+00:00,predicted_cross_venue,current_funding_monitor,BSV,HlPerp,BybitPerp,0.67265324,,,204320.44029000,0.00416788,Hyperliquid context available
1,2026-06-07T14:34:57.607050+00:00,hl_single_venue,current_funding_monitor,ZEC,HlPerp,cash_or_spot_proxy,0.63895090,,,333772367.18009990,0.00149075,long_perp_receives_funding
1,2026-06-07T14:34:57.607050+00:00,predicted_cross_venue,current_funding_monitor,MORPHO,HlPerp,BinPerp,0.62435498,,,808453.29574000,0.00289425,Hyperliquid context available
1,2026-06-07T14:34:57.607050+00:00,predicted_cross_venue,current_funding_monitor,0G,HlPerp,BybitPerp,0.61847878,,,163603.07432000,0.00155257,Hyperliquid context available
1,2026-06-07T14:34:57.607050+00:00,predicted_cross_venue,current_funding_monitor,POPCAT,HlPerp,BybitPerp,0.61097321,,,462955.73874400,0.00165740,Hyperliquid context available
1,2026-06-07T14:34:57.607050+00:00,hl_single_venue,current_funding_monitor,POPCAT,HlPerp,cash_or_spot_proxy,0.60530636,,,460198.95318100,0.00180404,long_perp_receives_funding
1,2026-06-07T14:34:57.607050+00:00,predicted_cross_venue,current_funding_monitor,PROVE,HlPerp,BinPerp,0.60434364,,,136499.07189000,0.00217093,Hyperliquid context available
1,2026-06-07T14:34:57.607050+00:00,hl_single_venue,current_funding_monitor,STABLE,HlPerp,cash_or_spot_proxy,0.59524375,,,1177481.22968700,0.00291863,long_perp_receives_funding
2,2026-06-07T14:35:17.250748+00:00,predicted_cross_venue,current_funding_monitor,STABLE,BybitPerp,HlPerp,2.16590562,,,1177481.22968700,0.00262638,Hyperliquid context available
2,2026-06-07T14:35:17.250748+00:00,okx_hl_current,paper_24h_monitor,STABLE,OkxSwap,HlPerp,1.92279893,-0.00175679,0.00175517,11774.81229687,0.00351277,OKX and Hyperliquid context available
2,2026-06-07T14:35:17.250748+00:00,predicted_cross_venue,current_funding_monitor,SAGA,HlPerp,BybitPerp,1.36926421,,,186205.96277000,0.00217865,Hyperliquid context available
2,2026-06-07T14:35:17.250748+00:00,hl_single_venue,current_funding_monitor,SAGA,HlPerp,cash_or_spot_proxy,1.26655058,,,186205.96277000,0.00217865,long_perp_receives_funding
2,2026-06-07T14:35:17.250748+00:00,predicted_cross_venue,current_funding_monitor,kNEIRO,HlPerp,BybitPerp,1.23005730,,,290671.74888400,0.00124243,Hyperliquid context available
2,2026-06-07T14:35:17.250748+00:00,hl_single_venue,current_funding_monitor,kNEIRO,HlPerp,cash_or_spot_proxy,1.12416116,,,290671.74888400,0.00108763,long_perp_receives_funding
2,2026-06-07T14:35:17.250748+00:00,predicted_cross_venue,current_funding_monitor,WLD,BinPerp,HlPerp,0.99508125,,,48494948.63449600,0.00154361,Hyperliquid context available
2,2026-06-07T14:35:17.250748+00:00,predicted_cross_venue,current_funding_monitor,AIXBT,HlPerp,BinPerp,0.97012795,,,269238.29715500,0.00364116,Hyperliquid context available
2,2026-06-07T14:35:17.250748+00:00,predicted_cross_venue,current_funding_monitor,ZEC,BybitPerp,HlPerp,0.96446549,,,333909505.18530005,0.00082205,Hyperliquid context available
2,2026-06-07T14:35:17.250748+00:00,hl_single_venue,current_funding_monitor,SNX,HlPerp,cash_or_spot_proxy,0.92161682,,,248760.98067700,0.00218125,long_perp_receives_funding
2,2026-06-07T14:35:17.250748+00:00,predicted_cross_venue,current_funding_monitor,SNX,HlPerp,BinPerp,0.92151039,,,248733.62726500,0.00214036,Hyperliquid context available
2,2026-06-07T14:35:17.250748+00:00,hl_single_venue,current_funding_monitor,AIXBT,HlPerp,cash_or_spot_proxy,0.86211890,,,269238.29715500,0.00304739,long_perp_receives_funding
2,2026-06-07T14:35:17.250748+00:00,okx_hl_current,paper_24h_monitor,WLD,OkxSwap,HlPerp,0.83420387,-0.00063095,0.00089271,484952.74912504,0.00139278,OKX and Hyperliquid context available
2,2026-06-07T14:35:17.250748+00:00,hl_single_venue,current_funding_monitor,BABY,HlPerp,cash_or_spot_proxy,0.81103934,,,1735950.30579400,0.00186447,long_perp_receives_funding
2,2026-06-07T14:35:17.250748+00:00,hl_single_venue,current_funding_monitor,MON,HlPerp,cash_or_spot_proxy,0.74279106,,,2407127.83669100,0.00190730,long_perp_receives_funding
2,2026-06-07T14:35:17.250748+00:00,hl_single_venue,current_funding_monitor,MORPHO,HlPerp,cash_or_spot_proxy,0.74155064,,,800009.01466000,0.00272576,long_perp_receives_funding
2,2026-06-07T14:35:17.250748+00:00,hl_single_venue,current_funding_monitor,BIO,HlPerp,cash_or_spot_proxy,0.71092656,,,627889.00536100,0.00127768,long_perp_receives_funding
2,2026-06-07T14:35:17.250748+00:00,predicted_cross_venue,current_funding_monitor,BSV,HlPerp,BybitPerp,0.66134408,,,203264.95953000,0.00384472,Hyperliquid context available
2,2026-06-07T14:35:17.250748+00:00,hl_single_venue,current_funding_monitor,ZEC,HlPerp,cash_or_spot_proxy,0.62606406,,,333975500.42369998,0.00077299,long_perp_receives_funding
2,2026-06-07T14:35:17.250748+00:00,predicted_cross_venue,current_funding_monitor,MORPHO,HlPerp,BinPerp,0.61647712,,,799996.77106000,0.00277260,Hyperliquid context available
2,2026-06-07T14:35:17.250748+00:00,predicted_cross_venue,current_funding_monitor,0G,HlPerp,BybitPerp,0.61608554,,,163257.68432000,0.00159516,Hyperliquid context available
2,2026-06-07T14:35:17.250748+00:00,predicted_cross_venue,current_funding_monitor,POPCAT,HlPerp,BybitPerp,0.61455955,,,460213.11370600,0.00197595,Hyperliquid context available
2,2026-06-07T14:35:17.250748+00:00,hl_single_venue,current_funding_monitor,POPCAT,HlPerp,cash_or_spot_proxy,0.60468528,,,460229.49066100,0.00170861,long_perp_receives_funding
2,2026-06-07T14:35:17.250748+00:00,predicted_cross_venue,current_funding_monitor,PROVE,HlPerp,BinPerp,0.59951688,,,135726.64036000,0.00311974,Hyperliquid context available
2,2026-06-07T14:35:17.250748+00:00,hl_single_venue,current_funding_monitor,STABLE,HlPerp,cash_or_spot_proxy,0.59245720,,,1177481.22968700,0.00283152,long_perp_receives_funding
3,2026-06-07T14:35:37.180923+00:00,predicted_cross_venue,current_funding_monitor,STABLE,BybitPerp,HlPerp,2.16994398,,,1177499.19138700,0.00280211,Hyperliquid context available
3,2026-06-07T14:35:37.180923+00:00,okx_hl_current,paper_24h_monitor,STABLE,OkxSwap,HlPerp,1.92662618,-0.00189953,0.00161942,11774.99191387,0.00365901,OKX and Hyperliquid context available
3,2026-06-07T14:35:37.180923+00:00,predicted_cross_venue,current_funding_monitor,SAGA,HlPerp,BybitPerp,1.37336302,,,186205.96277000,0.00217865,Hyperliquid context available
3,2026-06-07T14:35:37.180923+00:00,hl_single_venue,current_funding_monitor,SAGA,HlPerp,cash_or_spot_proxy,1.26259282,,,186205.96277000,0.00217865,long_perp_receives_funding
3,2026-06-07T14:35:37.180923+00:00,predicted_cross_venue,current_funding_monitor,kNEIRO,HlPerp,BybitPerp,1.23067313,,,290671.74888400,0.00124301,Hyperliquid context available
3,2026-06-07T14:35:37.180923+00:00,hl_single_venue,current_funding_monitor,kNEIRO,HlPerp,cash_or_spot_proxy,1.12558817,,,290671.74888400,0.00093240,long_perp_receives_funding
3,2026-06-07T14:35:37.180923+00:00,predicted_cross_venue,current_funding_monitor,WLD,BinPerp,HlPerp,0.99508125,,,48502140.48966401,0.00130599,Hyperliquid context available
3,2026-06-07T14:35:37.180923+00:00,predicted_cross_venue,current_funding_monitor,ZEC,BybitPerp,HlPerp,0.97319220,,,334078521.96329987,0.00074283,Hyperliquid context available
3,2026-06-07T14:35:37.180923+00:00,predicted_cross_venue,current_funding_monitor,AIXBT,HlPerp,BinPerp,0.96869131,,,269238.29715500,0.00368182,Hyperliquid context available
3,2026-06-07T14:35:37.180923+00:00,predicted_cross_venue,current_funding_monitor,SNX,HlPerp,BinPerp,0.91877026,,,248760.98067700,0.00209920,Hyperliquid context available
3,2026-06-07T14:35:37.180923+00:00,hl_single_venue,current_funding_monitor,SNX,HlPerp,cash_or_spot_proxy,0.91673750,,,248760.98067700,0.00209920,long_perp_receives_funding
3,2026-06-07T14:35:37.180923+00:00,hl_single_venue,current_funding_monitor,AIXBT,HlPerp,cash_or_spot_proxy,0.86204444,,,269238.29715500,0.00299823,long_perp_receives_funding
3,2026-06-07T14:35:37.180923+00:00,okx_hl_current,paper_24h_monitor,WLD,OkxSwap,HlPerp,0.83420387,-0.00037264,0.00115102,485021.51969560,0.00113447,OKX and Hyperliquid context available
3,2026-06-07T14:35:37.180923+00:00,hl_single_venue,current_funding_monitor,BABY,HlPerp,cash_or_spot_proxy,0.81505756,,,1735950.30579400,0.00180006,long_perp_receives_funding
3,2026-06-07T14:35:37.180923+00:00,hl_single_venue,current_funding_monitor,MON,HlPerp,cash_or_spot_proxy,0.74082356,,,2407926.33819100,0.00150843,long_perp_receives_funding
3,2026-06-07T14:35:37.180923+00:00,hl_single_venue,current_funding_monitor,MORPHO,HlPerp,cash_or_spot_proxy,0.73647072,,,800194.36916000,0.00280640,long_perp_receives_funding
3,2026-06-07T14:35:37.180923+00:00,hl_single_venue,current_funding_monitor,BIO,HlPerp,cash_or_spot_proxy,0.70950832,,,627936.85172100,0.00149111,long_perp_receives_funding
3,2026-06-07T14:35:37.180923+00:00,predicted_cross_venue,current_funding_monitor,BSV,HlPerp,BybitPerp,0.65643060,,,203264.95953000,0.00378672,Hyperliquid context available
3,2026-06-07T14:35:37.180923+00:00,predicted_cross_venue,current_funding_monitor,0G,HlPerp,BybitPerp,0.61861981,,,163345.84976000,0.00168669,Hyperliquid context available
3,2026-06-07T14:35:37.180923+00:00,predicted_cross_venue,current_funding_monitor,POPCAT,HlPerp,BybitPerp,0.61275149,,,460229.49066100,0.00165975,Hyperliquid context available
3,2026-06-07T14:35:37.180923+00:00,hl_single_venue,current_funding_monitor,ZEC,HlPerp,cash_or_spot_proxy,0.61255176,,,334174938.96929973,0.00070758,long_perp_receives_funding
3,2026-06-07T14:35:37.180923+00:00,predicted_cross_venue,current_funding_monitor,MORPHO,HlPerp,BinPerp,0.61199200,,,800009.01466000,0.00269082,Hyperliquid context available
3,2026-06-07T14:35:37.180923+00:00,hl_single_venue,current_funding_monitor,POPCAT,HlPerp,cash_or_spot_proxy,0.60352370,,,460229.49066100,0.00165955,long_perp_receives_funding
3,2026-06-07T14:35:37.180923+00:00,predicted_cross_venue,current_funding_monitor,PROVE,HlPerp,BinPerp,0.59778678,,,135726.64036000,0.00203057,Hyperliquid context available
3,2026-06-07T14:35:37.180923+00:00,hl_single_venue,current_funding_monitor,SEI,HlPerp,cash_or_spot_proxy,0.59008499,,,914309.35090200,0.00136396,long_perp_receives_funding
4,2026-06-07T14:35:57.323432+00:00,predicted_cross_venue,current_funding_monitor,STABLE,BybitPerp,HlPerp,2.16411683,,,1177499.19138700,0.00294959,Hyperliquid context available
4,2026-06-07T14:35:57.323432+00:00,okx_hl_current,paper_24h_monitor,STABLE,OkxSwap,HlPerp,1.93079156,-0.00174731,0.00177925,11774.99191387,0.00351059,OKX and Hyperliquid context available
4,2026-06-07T14:35:57.323432+00:00,predicted_cross_venue,current_funding_monitor,SAGA,HlPerp,BybitPerp,1.37261316,,,186221.66268500,0.00217865,Hyperliquid context available
