ticket_id,action,asset,opportunity,decision,candidate_size_usd,directional_return_bps,spread_bps,near_depth_10bps_notional,visible_depth_usage,annualized_funding,estimated_funding_1h_bps,estimated_round_trip_cost_bps,estimated_net_after_cost_bps,risk_action,reason,next_step
ofi-paper-01-eth-short,promote_to_fill_and_risk_check,ETH,ofi_execution_survival:imbalance_1pct/bottom_20/paper_short:short_horizon_maker_probe_only,paper_short,100,96.39539639,0.58995310,12405452.08724500,0.00000806,-0.11292691,-0.12891200,8.58995310,87.67653129,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
ofi-paper-02-sui-short,promote_to_fill_and_risk_check,SUI,ofi_execution_survival:imbalance_1pct/bottom_20/paper_short:short_horizon_maker_probe_only,paper_short,100,84.39697838,1.83888721,72465.29272500,0.00137997,0.10950000,0.12500000,9.83888721,74.68309117,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
ofi-paper-03-bnb-short,promote_to_fill_and_risk_check,BNB,ofi_execution_survival:imbalance_1pct/bottom_20/paper_short:short_horizon_maker_probe_only,paper_short,100,50.68980790,1.15424887,95934.50999500,0.00104238,0.03246193,0.03705700,9.15424887,41.57261603,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
