priority,ticket_id,action,asset,opportunity,decision,directional_return_bps,outcome,reason,next_step
50.00000000,ofi-second-repeat-01-sui-short,wait_for_checkpoint,SUI,ofi_execution_survival_repeat:broad-fill-audit-sui-short-50bps-stop:15m:ofi-repeat-02-sui-short,paper_short,,pending,ticket checkpoint has not matured,wait for the first checkpoint and refresh marks
50.00000000,ofi-second-repeat-02-bnb-short,wait_for_checkpoint,BNB,ofi_execution_survival_repeat:broad-fill-audit-bnb-short-50bps-stop:15m:ofi-repeat-01-bnb-short,paper_short,,pending,ticket checkpoint has not matured,wait for the first checkpoint and refresh marks
