asset,status,action,execution_mode,feature_route,survival_score,maker_net_bps,current_pressure,spread_bps,near_depth_10bps_notional,visible_depth_usage_100usd,l2_net_15m_bps,l2_net_1h_bps,evidence,missing_work,next_probe
ETH,short_horizon_maker_probe_only,paper_short,maker_or_internalized,imbalance_1pct/bottom_20/paper_short,201.90187369,0.09571460,0.02189978,0.59341898,11568191.61269167,0.00000864,61.78392287,-27.79847713,route_hit=0.502401; route_gross=0.59571460; route_net=0.0957; monitor_direction_persistence=0.66666667; l2_gate=small_paper_probe,"1h reverses or decays; horizon, stop, and maker fill model are unresolved",label ETH OFI at 5m/15m only; do not hold to 1h without a separate rule
SUI,short_horizon_maker_probe_only,paper_short,maker_or_internalized,imbalance_1pct/bottom_20/paper_short,158.39004211,0.09571460,0.15605282,1.22725470,70814.73139917,0.00141214,36.91740590,-34.84339410,route_hit=0.502401; route_gross=0.59571460; route_net=0.0957; monitor_direction_persistence=1.00000000; l2_gate=small_paper_probe,"1h reverses or decays; horizon, stop, and maker fill model are unresolved",label SUI OFI at 5m/15m only; do not hold to 1h without a separate rule
BNB,short_horizon_maker_probe_only,paper_short,maker_or_internalized,imbalance_1pct/bottom_20/paper_short,146.55998469,0.09571460,0.07424210,1.92109266,68200.58559833,0.00146626,24.92360434,-61.80839566,route_hit=0.502401; route_gross=0.59571460; route_net=0.0957; monitor_direction_persistence=0.66666667; l2_gate=small_paper_probe,"1h reverses or decays; horizon, stop, and maker fill model are unresolved",label BNB OFI at 5m/15m only; do not hold to 1h without a separate rule
ZEC,current_l2_label_missing_or_negative,paper_short,maker_or_internalized,imbalance_1pct/bottom_20/paper_short,96.91294242,0.09571460,0.32961435,1.17489835,68103.13010000,0.00146836,-47.73887222,163.81542778,route_hit=0.502401; route_gross=0.59571460; route_net=0.0957; monitor_direction_persistence=1.00000000; l2_gate=blocked_by_cost,current L2 label does not support promotion,collect a fresh ZEC L2 label before using OFI as an alpha feature
HYPE,current_l2_label_missing_or_negative,paper_short,maker_or_internalized,imbalance_1pct/bottom_20/paper_short,96.46560955,0.09571460,0.67683160,0.31522208,182454.29211167,0.00054808,-253.43293195,37.42046805,route_hit=0.502401; route_gross=0.59571460; route_net=0.0957; monitor_direction_persistence=1.00000000; l2_gate=blocked_by_cost,current L2 label does not support promotion,collect a fresh HYPE L2 label before using OFI as an alpha feature
ENA,current_l2_label_missing_or_negative,paper_short,maker_or_internalized,imbalance_1pct/bottom_20/paper_short,66.54051183,0.09571460,0.29860769,2.05729772,29494.23870300,0.00339049,-69.61599500,39.30490500,route_hit=0.502401; route_gross=0.59571460; route_net=0.0957; monitor_direction_persistence=1.00000000; l2_gate=blocked_by_cost,current L2 label does not support promotion,collect a fresh ENA L2 label before using OFI as an alpha feature
XRP,current_l2_label_missing_or_negative,paper_short,maker_or_internalized,imbalance_1pct/bottom_20/paper_short,63.47388048,0.09571460,0.20802688,0.85105176,593877.04693333,0.00016839,-84.79815912,-41.30855912,route_hit=0.502401; route_gross=0.59571460; route_net=0.0957; monitor_direction_persistence=1.00000000; l2_gate=blocked_by_cost,current L2 label does not support promotion,collect a fresh XRP L2 label before using OFI as an alpha feature
LTC,current_l2_label_missing_or_negative,paper_short,maker_or_internalized,imbalance_1pct/bottom_20/paper_short,63.13994234,0.09571460,0.26403255,2.37979114,47453.55162167,0.00210732,-25.67571803,34.68928197,route_hit=0.502401; route_gross=0.59571460; route_net=0.0957; monitor_direction_persistence=1.00000000; l2_gate=blocked_by_cost,current L2 label does not support promotion,collect a fresh LTC L2 label before using OFI as an alpha feature
VVV,current_l2_label_missing_or_negative,paper_short,maker_or_internalized,imbalance_1pct/bottom_20/paper_short,55.53413429,0.09571460,0.37132729,2.48955755,2085.47927667,0.04795061,-177.79015374,37.15164626,route_hit=0.502401; route_gross=0.59571460; route_net=0.0957; monitor_direction_persistence=0.66666667; l2_gate=blocked_by_cost,current L2 label does not support promotion,collect a fresh VVV L2 label before using OFI as an alpha feature
ONDO,current_l2_label_missing_or_negative,paper_short,maker_or_internalized,imbalance_1pct/bottom_20/paper_short,48.36212459,0.09571460,0.22298173,3.53662142,13633.75754667,0.00733474,-72.53338837,-28.52648837,route_hit=0.502401; route_gross=0.59571460; route_net=0.0957; monitor_direction_persistence=1.00000000; l2_gate=blocked_by_cost,current L2 label does not support promotion,collect a fresh ONDO L2 label before using OFI as an alpha feature
JTO,execution_world_blocks_ofi,paper_short,maker_or_internalized,imbalance_1pct/bottom_20/paper_short,-36.91428040,0.09571460,0.89161485,7.00946058,1875.51822667,0.05331860,-37.58006913,94.68433087,route_hit=0.502401; route_gross=0.59571460; route_net=0.0957; monitor_direction_persistence=1.00000000; l2_gate=blocked_by_cost,"spread, depth, or size prevents this OFI state from being executable",reject JTO OFI for current size or wait for tighter spread and deeper book
WLD,execution_world_blocks_ofi,paper_short,maker_or_internalized,imbalance_1pct/bottom_20/paper_short,-68.04185539,0.09571460,0.46991480,7.44992442,17455.15773567,0.00572897,-1.55421891,-185.30871891,route_hit=0.502401; route_gross=0.59571460; route_net=0.0957; monitor_direction_persistence=1.00000000; l2_gate=blocked_by_cost,"spread, depth, or size prevents this OFI state from being executable",reject WLD OFI for current size or wait for tighter spread and deeper book
