ticket_id,action,asset,opportunity,decision,candidate_size_usd,directional_return_bps,spread_bps,near_depth_10bps_notional,visible_depth_usage,annualized_funding,estimated_funding_1h_bps,estimated_round_trip_cost_bps,estimated_net_after_cost_bps,risk_action,reason,next_step
ofi-repeat-02-sui-short,promote_to_fill_and_risk_check,SUI,ofi_execution_survival_repeat:broad-fill-audit-sui-short-50bps-stop:15m:ofi-paper-02-sui-short,paper_short,100,31.78689644,0.13178616,82640.39022300,0.00121006,0.10950000,0.12500000,8.13178616,23.78011028,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
ofi-repeat-01-bnb-short,promote_to_fill_and_risk_check,BNB,ofi_execution_survival_repeat:broad-fill-audit-bnb-short-50bps-stop:15m:ofi-paper-03-bnb-short,paper_short,100,20.77493817,1.65270134,82038.41595000,0.00121894,0.06409692,0.07317000,9.65270134,11.19540683,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
ofi-repeat-03-eth-short,promote_to_fill_and_risk_check,ETH,ofi_execution_survival_repeat:broad-fill-audit-eth-short-50bps-stop:15m:ofi-paper-01-eth-short,paper_short,100,15.33742331,0.59096416,12655836.39625500,0.00000790,-0.11937602,-0.13627400,8.59096416,6.61018515,cost_adjusted_paper_probe,"paper mark win survives rough spread, taker-fee, funding, and visible-depth checks",repeat the ticket and add stop/adverse-excursion notes before any promotion
