venue,signal_timestamp,token_symbol,action,direction,directional_return_15m,annualized_funding,funding_support,premium,liquidity_usd,open_interest_usd,friction_bps,okx_liquidation_action,okx_liquidation_score,okx_liquidation_imbalance,context_score,note
OKX,2026-06-08T00:05:42.042449+00:00,OP,chain_flow_reversal_watch,1,,-0.00611900,0.00611900,0.00000000,9756952.60960000,3730005.11520000,10.49868766,,,,-0.49388100,funding helps direction
HL,2026-06-08T00:05:42.042449+00:00,MON,chain_flow_reversal_watch,1,,-0.00359948,0.00359948,-0.00071788,4095809.79632400,27008719.48070400,13.02902327,,,,-0.49640052,funding helps direction
HL,2026-06-08T00:05:42.042449+00:00,NEAR,chain_flow_reversal_watch,1,,0.10950000,-0.10950000,0.00000000,60025770.18081997,71777727.17432010,9.17252147,,,,-0.56812607,weak current context
HL,2026-06-08T00:05:42.042449+00:00,ARB,chain_flow_reversal_watch,1,,0.10950000,-0.10950000,-0.00024184,2099607.21816000,3720241.28556000,13.31235629,,,,-0.60950000,weak current context
HL,2026-06-08T00:05:42.042449+00:00,APT,chain_flow_reversal_watch,1,,0.10950000,-0.10950000,-0.00029931,1746049.07753100,4156184.08889200,10.48375019,,,,-0.60950000,weak current context
HL,2026-06-08T00:05:42.042449+00:00,MOVE,chain_flow_reversal_watch,1,,-0.23322186,0.23322186,-0.00025402,77657.40377200,260117.63870400,34.77228395,,,,-0.76677814,funding helps direction
HL,2026-06-08T00:05:42.042449+00:00,POL,chain_flow_reversal_watch,1,,-0.15000098,0.15000098,-0.00068014,628224.51879900,2175203.86926000,11.09570042,,,,-0.84999902,funding helps direction
HL,2026-06-08T00:05:42.042449+00:00,STRK,chain_flow_reversal_watch,1,,-0.05565228,0.05565228,-0.00029727,763636.35266200,2642302.74965000,8.92325996,,,,-0.89051072,funding helps direction
HL,2026-06-08T00:05:42.042449+00:00,SEI,chain_flow_reversal_watch,1,,-0.03598871,0.03598871,-0.00058527,770892.87984400,2318651.48112000,10.30303030,,,,-0.96401129,funding helps direction
HL,2026-06-08T00:05:42.042449+00:00,MNT,chain_flow_reversal_watch,1,,0.10950000,-0.10950000,-0.00040400,187947.90508800,2984419.54087200,8.08600570,,,,-1.01380029,weak current context
HL,2026-06-08T00:05:42.042449+00:00,BERA,chain_flow_reversal_watch,1,,0.10950000,-0.10950000,0.00000000,252811.39179900,1356346.17796000,17.31744526,,,,-1.10950000,weak current context
HL,2026-06-08T00:05:42.042449+00:00,STX,chain_flow_reversal_watch,1,,0.10950000,-0.10950000,-0.00016069,183641.62851400,668230.34074800,18.22567676,,,,-1.10950000,weak current context
HL,2026-06-08T00:05:42.042449+00:00,OP,chain_flow_reversal_watch,1,,0.10950000,-0.10950000,0.00000000,798638.54984700,3053886.45870000,20.72109407,,,,-1.10950000,weak current context
