asset,samples,mean_spread_bps,mean_abs_imbalance_10_bps,mean_next_mid_return_after_positive_imbalance,mean_next_mid_return_after_negative_imbalance
BTC,8,0.16167659,0.56201889,0.000000000000,-0.000053889168
ETH,8,0.62665968,0.11328262,-0.000050133167,0.000156695603
HYPE,8,0.73904222,0.26222198,-0.000042209724,0.000019723905
SOL,8,0.15621340,0.44664464,-0.000169212325,0.000437496582
