feature,observations,correlation_to_next_return,low_bucket_mean_next_return,low_bucket_hit_rate,high_bucket_mean_next_return,high_bucket_hit_rate
mean_premium_close,1313,0.03739382,-0.00027887,0.47720365,0.00425150,0.51671733
max_abs_premium_close,1313,-0.06160590,0.00066378,0.53495441,-0.00707075,0.39209726
mean_funding_rate,1313,0.00679345,-0.00067056,0.43161094,0.00576692,0.55623100
sum_funding_rate,1313,0.00679345,-0.00067056,0.43161094,0.00576692,0.55623100
oi_value_change,1313,0.18805816,-0.01078456,0.37993921,0.00570641,0.54711246
mean_count_top_long_short_ratio,1313,-0.08137458,0.00088095,0.48328267,-0.00698620,0.39817629
mean_sum_top_long_short_ratio,1313,0.00872881,-0.00128425,0.49240122,-0.00335571,0.45288754
mean_count_long_short_ratio,1313,-0.05970908,-0.00047579,0.48024316,-0.00552244,0.41945289
mean_sum_taker_long_short_vol_ratio,1313,0.08087944,-0.01053962,0.40729483,0.00195517,0.47416413
