timestamp,sequence,asset,mid_price,spread_bps,imbalance_10_bps,bid_depth_10_bps,ask_depth_10_bps
2026-06-08T00:07:43.179531+00:00,0,BTC,63212.500000000000,0.15819656,0.61413596,109.21051000,26.10710000
2026-06-08T00:07:43.179531+00:00,0,ETH,1685.950000000000,0.59313740,-0.04217614,6627.72800000,7211.40940000
2026-06-08T00:07:43.179531+00:00,0,SOL,66.207500000000,0.15104029,-0.27249569,6568.40000000,11488.95000000
2026-06-08T00:07:43.179531+00:00,0,HYPE,59.664500000000,0.16760385,0.01834219,2722.38000000,2624.31000000
2026-06-08T00:07:45.275291+00:00,1,BTC,63212.500000000000,0.15819656,0.56781805,107.20478000,29.55188000
2026-06-08T00:07:45.275291+00:00,1,ETH,1685.950000000000,0.59313740,-0.02259753,6805.86210000,7120.56500000
2026-06-08T00:07:45.275291+00:00,1,SOL,66.198500000000,0.15106082,-0.00267925,9077.05000000,9125.82000000
2026-06-08T00:07:45.275291+00:00,1,HYPE,59.673500000000,0.16757857,-0.20275461,1854.62000000,2797.95000000
2026-06-08T00:07:47.042512+00:00,2,BTC,63221.500000000000,0.15817404,0.66816088,142.72264000,28.39112000
2026-06-08T00:07:47.042512+00:00,2,ETH,1686.050000000000,0.59310222,0.19665596,7434.97510000,4991.27830000
2026-06-08T00:07:47.042512+00:00,2,SOL,66.213500000000,0.15102660,0.00376965,9997.36000000,9922.27000000
2026-06-08T00:07:47.042512+00:00,2,HYPE,59.690500000000,0.16753085,0.57185625,7085.48000000,1929.95000000
2026-06-08T00:07:49.319010+00:00,3,BTC,63228.500000000000,0.15815653,0.93385227,185.19807000,6.33473000
2026-06-08T00:07:49.319010+00:00,3,ETH,1686.750000000000,0.59285608,-0.06134978,6839.32580000,7733.35660000
2026-06-08T00:07:49.319010+00:00,3,SOL,66.222500000000,1.35905470,0.01330311,9977.94000000,9715.95000000
2026-06-08T00:07:49.319010+00:00,3,HYPE,59.690500000000,0.16753085,0.06615773,3051.53000000,2672.82000000
2026-06-08T00:07:51.300448+00:00,4,BTC,63233.500000000000,0.15814402,0.93926457,215.40802000,6.74632000
2026-06-08T00:07:51.300448+00:00,4,ETH,1686.950000000000,0.59278580,0.04123168,8053.09970000,7415.31120000
2026-06-08T00:07:51.300448+00:00,4,SOL,66.234500000000,0.15097872,0.32325317,12438.11000000,6361.18000000
2026-06-08T00:07:51.300448+00:00,4,HYPE,59.699500000000,0.16750559,0.14540422,2840.78000000,2119.53000000
2026-06-08T00:07:53.436121+00:00,5,BTC,63235.500000000000,0.15813902,0.86943335,153.07798000,10.69141000
2026-06-08T00:07:53.436121+00:00,5,ETH,1686.750000000000,0.59285608,0.01314148,6972.40780000,6791.52930000
2026-06-08T00:07:53.436121+00:00,5,SOL,66.234500000000,0.15097872,0.11652369,10171.14000000,8048.16000000
2026-06-08T00:07:53.436121+00:00,5,HYPE,59.697000000000,1.00507563,-0.10478520,2042.54000000,2520.70000000
2026-06-08T00:07:55.591663+00:00,6,BTC,63237.500000000000,0.15813402,0.75789175,127.14744000,17.51157000
2026-06-08T00:07:55.591663+00:00,6,ETH,1686.950000000000,0.59278580,-0.09786230,6520.46170000,7935.11800000
2026-06-08T00:07:55.591663+00:00,6,SOL,66.223500000000,0.15100380,-0.31095427,7566.89000000,14396.50000000
2026-06-08T00:07:55.591663+00:00,6,HYPE,59.694500000000,0.16751962,-0.42459636,1155.75000000,2861.43000000
2026-06-08T00:07:57.500793+00:00,7,BTC,63239.500000000000,0.15812902,0.90702658,152.01399000,7.41115000
2026-06-08T00:07:57.500793+00:00,7,ETH,1687.050000000000,0.59275066,-0.05149062,7257.59570000,8045.56500000
2026-06-08T00:07:57.500793+00:00,7,SOL,66.243500000000,0.15095821,0.11970103,14297.58000000,11240.63000000
2026-06-08T00:07:57.500793+00:00,7,HYPE,59.699000000000,0.33501399,-0.17694432,2347.54000000,3356.91000000
