symbol,feature,status,historical_bucket,recent_bucket,historical_score,recent_score,combined_score,historical_mean_edge,recent_mean_edge,historical_hit_edge,recent_hit_edge,next_step
ARBUSDT,mean_sum_top_long_short_ratio,persistent_symbol_feature,low,low,268.20771083,428.44884702,472.36444935,-0.025111324249,-0.040808750490,-0.34782608,-0.39705882,"rerun ARBUSDT mean_sum_top_long_short_ratio with recent intraday labels, then add execution and funding PnL"
ARBUSDT,oi_value_change,recent_symbol_feature_priority,high_mean_only,high,15.26221237,546.03594874,425.26514101,0.000856363277,0.052152512685,-0.04347826,0.56985294,extend recent ARBUSDT oi_value_change window and check whether the effect survives costs
NEARUSDT,mean_funding_rate,persistent_symbol_feature,high_mean_only,high_mean_only,340.64123123,305.40671778,417.73879749,0.033051513636,0.029752765274,-0.01057083,-0.05882353,"rerun NEARUSDT mean_funding_rate with recent intraday labels, then add execution and funding PnL"
NEARUSDT,sum_funding_rate,persistent_symbol_feature,high_mean_only,high_mean_only,340.64123123,305.40671778,417.73879749,0.033051513636,0.029752765274,-0.01057083,-0.05882353,"rerun NEARUSDT sum_funding_rate with recent intraday labels, then add execution and funding PnL"
BCHUSDT,mean_sum_top_long_short_ratio,persistent_symbol_feature,high,high,283.19300899,305.42527675,397.64398303,0.027452808359,0.029322463440,0.00000000,0.05882353,"rerun BCHUSDT mean_sum_top_long_short_ratio with recent intraday labels, then add execution and funding PnL"
NEARUSDT,mean_sum_top_long_short_ratio,persistent_symbol_feature,high_mean_only,high_mean_only,297.51358782,294.17664037,395.34457198,0.028507168955,0.028742923656,-0.19960474,-0.05882353,"rerun NEARUSDT mean_sum_top_long_short_ratio with recent intraday labels, then add execution and funding PnL"
ARBUSDT,mean_premium_close,recent_symbol_feature_priority,low,high,28.55775329,507.47838125,384.85616146,-0.002209934153,0.048374965124,-0.04347826,0.51838235,extend recent ARBUSDT mean_premium_close window and check whether the effect survives costs
OPUSDT,oi_value_change,recent_symbol_feature_priority,high,high,95.77606099,426.66021949,375.85076401,0.008722595095,0.040861786095,0.13043478,0.33088235,extend recent OPUSDT oi_value_change window and check whether the effect survives costs
NEARUSDT,mean_premium_close,persistent_symbol_feature,high_mean_only,high,208.90078556,288.27212640,360.49215711,0.019793147329,0.028023101249,-0.11067194,0.05882353,"rerun NEARUSDT mean_premium_close with recent intraday labels, then add execution and funding PnL"
ARBUSDT,mean_funding_rate,recent_symbol_feature_priority,high,high,13.74783215,446.22092125,359.85534007,0.000757392993,0.042324903011,0.03393425,0.52960526,extend recent ARBUSDT mean_funding_rate window and check whether the effect survives costs
ARBUSDT,sum_funding_rate,recent_symbol_feature_priority,high,high,13.74783215,446.22092124,359.85534006,0.000757392993,0.042324903011,0.03393425,0.52960526,extend recent ARBUSDT sum_funding_rate window and check whether the effect survives costs
BCHUSDT,mean_count_top_long_short_ratio,persistent_symbol_feature,low,low,264.93739166,253.33689061,357.39706598,-0.025471040187,-0.024365129243,-0.13043478,0.00000000,"rerun BCHUSDT mean_count_top_long_short_ratio with recent intraday labels, then add execution and funding PnL"
UNIUSDT,oi_value_change,persistent_symbol_feature,high,high,328.94932110,188.80299778,337.85421094,0.032430423451,0.017670639691,0.00000000,0.23529411,"rerun UNIUSDT oi_value_change with recent intraday labels, then add execution and funding PnL"
ADAUSDT,mean_count_top_long_short_ratio,recent_symbol_feature_priority,low_mean_only,low,90.00908252,359.78981777,330.36656043,-0.008210631480,-0.033660575440,0.04347826,-0.47058823,extend recent ADAUSDT mean_count_top_long_short_ratio window and check whether the effect survives costs
DOGEUSDT,mean_premium_close,persistent_symbol_feature,high,high,311.24566004,183.60699663,328.28052882,0.029683684573,0.016892162080,0.26086956,0.35294117,"rerun DOGEUSDT mean_premium_close with recent intraday labels, then add execution and funding PnL"
ADAUSDT,mean_count_long_short_ratio,recent_symbol_feature_priority,low,low,114.63812128,342.35020254,327.65097410,-0.010652623762,-0.032123280805,-0.04347826,-0.41176470,extend recent ADAUSDT mean_count_long_short_ratio window and check whether the effect survives costs
ETHUSDT,mean_sum_top_long_short_ratio,persistent_symbol_feature,low,low,172.26925911,233.47706682,312.05433412,-0.015673445532,-0.021634809785,-0.26086956,-0.23529411,"rerun ETHUSDT mean_sum_top_long_short_ratio with recent intraday labels, then add execution and funding PnL"
BCHUSDT,mean_count_long_short_ratio,persistent_symbol_feature,low,low_mean_only,279.27500445,172.54879675,309.90296944,-0.026429660366,-0.016152724115,-0.30434782,0.05882353,"rerun BCHUSDT mean_count_long_short_ratio with recent intraday labels, then add execution and funding PnL"
BCHUSDT,mean_premium_close,persistent_symbol_feature,high,high,289.26628129,163.22987955,307.34262016,0.027637641778,0.015570527298,0.21739130,0.00000000,"rerun BCHUSDT mean_premium_close with recent intraday labels, then add execution and funding PnL"
FILUSDT,mean_funding_rate,recent_symbol_feature_priority,high_mean_only,high,45.26953195,346.35803349,305.97705795,0.003863621236,0.032919358781,-0.06521739,0.38390093,extend recent FILUSDT mean_funding_rate window and check whether the effect survives costs
FILUSDT,sum_funding_rate,recent_symbol_feature_priority,high_mean_only,high,45.26953195,346.35803349,305.97705795,0.003863621236,0.032919358781,-0.06521739,0.38390093,extend recent FILUSDT sum_funding_rate window and check whether the effect survives costs
ARBUSDT,max_abs_premium_close,recent_symbol_feature_priority,high_mean_only,low,11.59396985,394.06601133,305.20079681,0.000015331744,-0.037381159987,-0.08695652,-0.45588235,extend recent ARBUSDT max_abs_premium_close window and check whether the effect survives costs
SOLUSDT,mean_sum_taker_long_short_vol_ratio,persistent_symbol_feature,high,high,190.29680682,211.27343138,303.93161278,0.017872527143,0.019646023491,0.21739130,0.29411764,"rerun SOLUSDT mean_sum_taker_long_short_vol_ratio with recent intraday labels, then add execution and funding PnL"
ADAUSDT,max_abs_premium_close,bucket_regime_shift,high,low,143.65656421,331.91684762,291.02574843,0.013181423990,-0.031179499063,0.13043478,-0.35294117,split ADAUSDT max_abs_premium_close by market regime before using the feature direction
BNBUSDT,sum_funding_rate,persistent_symbol_feature,high,high,197.94767141,180.54186167,286.63389508,0.018813811746,0.016743700350,0.08695652,0.23529411,"rerun BNBUSDT sum_funding_rate with recent intraday labels, then add execution and funding PnL"
BNBUSDT,mean_funding_rate,persistent_symbol_feature,high,high,197.94767141,180.54186163,286.63389505,0.018813811746,0.016743700350,0.08695652,0.23529411,"rerun BNBUSDT mean_funding_rate with recent intraday labels, then add execution and funding PnL"
AVAXUSDT,mean_sum_taker_long_short_vol_ratio,recent_symbol_feature_priority,low,high,97.45446159,317.55734786,285.52133767,-0.008914987039,0.029619304957,-0.13043478,0.47058823,extend recent AVAXUSDT mean_sum_taker_long_short_vol_ratio window and check whether the effect survives costs
FILUSDT,mean_count_top_long_short_ratio,persistent_symbol_feature,low,low,176.90739364,180.99292470,279.56298883,-0.016753049332,-0.017077835347,-0.13043478,-0.17647058,"rerun FILUSDT mean_count_top_long_short_ratio with recent intraday labels, then add execution and funding PnL"
DOTUSDT,oi_value_change,recent_symbol_feature_priority,high,high,60.07480911,292.39388356,276.08220750,0.005309144739,0.027984376605,0.08695652,0.17647058,extend recent DOTUSDT oi_value_change window and check whether the effect survives costs
INJUSDT,mean_premium_close,persistent_symbol_feature,low,low,136.99405980,181.31456597,265.80238881,-0.012761331789,-0.017504353445,-0.17391304,-0.11764706,"rerun INJUSDT mean_premium_close with recent intraday labels, then add execution and funding PnL"
ETHUSDT,mean_count_top_long_short_ratio,persistent_symbol_feature,low,low,199.54673973,142.74139562,262.62326606,-0.018364572966,-0.012770684875,-0.34782608,-0.23529412,"rerun ETHUSDT mean_count_top_long_short_ratio with recent intraday labels, then add execution and funding PnL"
DOGEUSDT,mean_count_long_short_ratio,persistent_symbol_feature,low,low,171.96187702,154.95822151,260.90950094,-0.016569653371,-0.014506287234,0.00000000,-0.11764705,"rerun DOGEUSDT mean_count_long_short_ratio with recent intraday labels, then add execution and funding PnL"
ETHUSDT,mean_count_long_short_ratio,persistent_symbol_feature,low,low,191.46899598,137.88624969,256.64021089,-0.017667267991,-0.012429602287,-0.30434782,-0.23529411,"rerun ETHUSDT mean_count_long_short_ratio with recent intraday labels, then add execution and funding PnL"
LINKUSDT,mean_count_top_long_short_ratio,persistent_symbol_feature,low,low,165.34311137,149.54963637,255.07735262,-0.015470897890,-0.014020387405,-0.17391304,-0.05882353,"rerun LINKUSDT mean_count_top_long_short_ratio with recent intraday labels, then add execution and funding PnL"
FILUSDT,max_abs_premium_close,bucket_regime_shift,high,low,173.76121560,251.11017075,249.03803645,0.016310752070,-0.023423673966,0.13043478,-0.29411764,split FILUSDT max_abs_premium_close by market regime before using the feature direction
LINKUSDT,mean_premium_close,persistent_symbol_feature,low,low,126.32421898,160.10223444,248.27992903,-0.011465477718,-0.014900474378,-0.17391304,-0.29411764,"rerun LINKUSDT mean_premium_close with recent intraday labels, then add execution and funding PnL"
LINKUSDT,mean_sum_taker_long_short_vol_ratio,persistent_symbol_feature,high,high,129.60924695,152.62083727,244.56678066,0.012074097716,0.014701219599,0.08695652,0.00000000,"rerun LINKUSDT mean_sum_taker_long_short_vol_ratio with recent intraday labels, then add execution and funding PnL"
FILUSDT,mean_sum_taker_long_short_vol_ratio,recent_symbol_feature_priority,high,high,13.00805970,263.12011931,240.58089845,0.000722626780,0.024672088563,0.04347826,0.41176470,extend recent FILUSDT mean_sum_taker_long_short_vol_ratio window and check whether the effect survives costs
DOGEUSDT,oi_value_change,recent_symbol_feature_priority,high,high,109.22331411,211.30317496,240.57522366,0.010194534183,0.019819428946,0.04347826,0.23529411,extend recent DOGEUSDT oi_value_change window and check whether the effect survives costs
OPUSDT,mean_premium_close,bucket_regime_shift,low,high,182.39204007,224.17803880,234.55293924,-0.017328859278,0.021424504129,-0.13043478,0.09558824,split OPUSDT mean_premium_close by market regime before using the feature direction
ETCUSDT,oi_value_change,recent_symbol_feature_priority,low,high,7.11246773,284.84599320,232.63925929,-0.000097683870,0.026752149255,-0.04347826,0.35294117,extend recent ETCUSDT oi_value_change window and check whether the effect survives costs
BNBUSDT,max_abs_premium_close,recent_symbol_feature_priority,low,low,23.29059227,239.19020737,228.62534208,-0.001552563601,-0.022662641017,-0.08695652,-0.23529411,extend recent BNBUSDT max_abs_premium_close window and check whether the effect survives costs
NEARUSDT,oi_value_change,bucket_regime_shift,low_mean_only,high_mean_only,169.27212413,207.38836819,219.04768277,-0.016436893922,0.019598307288,0.01976284,-0.05882353,split NEARUSDT oi_value_change by market regime before using the feature direction
APTUSDT,oi_value_change,bucket_regime_shift,low,high,224.71650191,158.81800995,206.88248214,-0.021515406760,0.015033140061,-0.08695652,0.11764705,split APTUSDT oi_value_change by market regime before using the feature direction
SOLUSDT,max_abs_premium_close,bucket_regime_shift,high,low,189.55967439,172.62431062,203.55168794,0.017818244139,-0.015972979553,0.13043478,-0.29411764,split SOLUSDT max_abs_premium_close by market regime before using the feature direction
BCHUSDT,oi_value_change,recent_symbol_feature_priority,high_mean_only,high,43.38132849,188.49110968,202.70268626,0.003710296273,0.018069144448,-0.04347826,0.05882353,extend recent BCHUSDT oi_value_change window and check whether the effect survives costs
ADAUSDT,sum_funding_rate,recent_symbol_feature_priority,high,high,46.50987823,184.55558562,201.23958803,0.003901540846,0.016995126303,0.05302227,0.35294117,extend recent ADAUSDT sum_funding_rate window and check whether the effect survives costs
ADAUSDT,mean_funding_rate,recent_symbol_feature_priority,high,high,46.50987823,184.55558561,201.23958803,0.003901540846,0.016995126303,0.05302227,0.35294117,extend recent ADAUSDT mean_funding_rate window and check whether the effect survives costs
DOGEUSDT,max_abs_premium_close,bucket_regime_shift,high,low,209.98660979,153.71040119,198.40707420,0.019938929401,-0.013838179124,0.17391304,-0.35294117,split DOGEUSDT max_abs_premium_close by market regime before using the feature direction
DOTUSDT,mean_sum_taker_long_short_vol_ratio,bucket_regime_shift,low_mean_only,high,132.58848617,193.19757242,196.98439223,-0.012551416181,0.018151208633,0.08695652,0.23529412,split DOTUSDT mean_sum_taker_long_short_vol_ratio by market regime before using the feature direction
LTCUSDT,mean_count_top_long_short_ratio,recent_symbol_feature_priority,low,low,32.64545509,182.42232750,195.00042216,-0.001923180660,-0.016792567099,-0.30434782,-0.17647058,extend recent LTCUSDT mean_count_top_long_short_ratio window and check whether the effect survives costs
INJUSDT,mean_sum_taker_long_short_vol_ratio,recent_symbol_feature_priority,low,high,61.71261078,196.36477114,194.23651501,-0.005230085486,0.018772465777,-0.17391304,0.11764706,extend recent INJUSDT mean_sum_taker_long_short_vol_ratio window and check whether the effect survives costs
FILUSDT,mean_premium_close,recent_symbol_feature_priority,low,high,13.45436526,219.95426060,192.67929723,-0.000204985716,0.021029568334,-0.21739130,0.00000000,extend recent FILUSDT mean_premium_close window and check whether the effect survives costs
APTUSDT,mean_premium_close,recent_symbol_feature_watch,high,high,95.56752956,177.16853987,188.60818626,0.008807750664,0.016726520976,0.04347826,0.23529411,extend recent APTUSDT mean_premium_close window and check whether the effect survives costs
BCHUSDT,max_abs_premium_close,recent_symbol_feature_priority,high_mean_only,low,28.62167777,202.91904556,186.91496683,0.002262945755,-0.019712715272,-0.04347826,-0.05882353,extend recent BCHUSDT max_abs_premium_close window and check whether the effect survives costs
AVAXUSDT,oi_value_change,bucket_regime_shift,low,high,123.10219158,169.40813524,178.20105496,-0.011141151130,0.015712677028,-0.17391304,0.11764706,split AVAXUSDT oi_value_change by market regime before using the feature direction
DOGEUSDT,mean_funding_rate,historical_symbol_feature_only,high,high,300.56114754,109.81967923,176.57919314,0.028760200292,0.009524046483,0.21314952,0.23529412,deprioritize DOGEUSDT mean_funding_rate until it reappears in recent data
DOGEUSDT,sum_funding_rate,historical_symbol_feature_only,high,high,300.56114754,109.81967921,176.57919313,0.028760200292,0.009524046483,0.21314952,0.23529412,deprioritize DOGEUSDT sum_funding_rate until it reappears in recent data
ETHUSDT,mean_premium_close,recent_symbol_feature_watch,low,low,110.65507816,144.71003418,172.79079957,-0.010209562341,-0.013433255663,-0.13043478,-0.11764706,extend recent ETHUSDT mean_premium_close window and check whether the effect survives costs
INJUSDT,mean_sum_top_long_short_ratio,bucket_regime_shift,low,high,144.10534596,147.98661780,171.62817266,-0.013418072893,0.013587279792,-0.17391304,0.29411764,split INJUSDT mean_sum_top_long_short_ratio by market regime before using the feature direction
LTCUSDT,mean_count_long_short_ratio,recent_symbol_feature_watch,low,low,50.31178225,174.39763445,170.96758618,-0.003784951733,-0.016031624120,-0.26086956,-0.17647058,extend recent LTCUSDT mean_count_long_short_ratio window and check whether the effect survives costs
APTUSDT,max_abs_premium_close,bucket_regime_shift,high,low,171.65561335,124.82569178,166.21616433,0.015995376861,-0.011522742151,0.21739130,-0.11764705,split APTUSDT max_abs_premium_close by market regime before using the feature direction
AVAXUSDT,mean_premium_close,recent_symbol_feature_watch,low,high,101.74102202,167.72813410,164.63264487,-0.009243884659,0.015638838307,-0.17391304,0.11764705,extend recent AVAXUSDT mean_premium_close window and check whether the effect survives costs
ETCUSDT,mean_funding_rate,recent_symbol_feature_watch,low,high,84.96797701,175.90857113,164.07936319,-0.007708899412,0.016532690583,-0.13369565,0.26610644,extend recent ETCUSDT mean_funding_rate window and check whether the effect survives costs
ETCUSDT,sum_funding_rate,recent_symbol_feature_watch,low,high,84.96797701,175.90857112,164.07936318,-0.007708899412,0.016532690583,-0.13369565,0.26610644,extend recent ETCUSDT sum_funding_rate window and check whether the effect survives costs
LTCUSDT,mean_funding_rate,recent_symbol_feature_watch,high_mean_only,high,101.10498463,135.12002583,163.21476141,0.009423816946,0.012075989850,-0.08291203,0.23529411,extend recent LTCUSDT mean_funding_rate window and check whether the effect survives costs
LTCUSDT,sum_funding_rate,recent_symbol_feature_watch,high_mean_only,high,101.10498463,135.12002582,163.21476140,0.009423816946,0.012075989850,-0.08291203,0.23529411,extend recent LTCUSDT sum_funding_rate window and check whether the effect survives costs
