symbol,feature,status,historical_bucket,recent_bucket,historical_score,recent_score,combined_score,historical_mean_edge,recent_mean_edge,historical_hit_edge,recent_hit_edge,next_step
NEARUSDT,mean_count_top_long_short_ratio,historical_symbol_feature_only,high_mean_only,high,222.54032734,55.40261006,113.90081111,0.021470338248,0.004691214446,-0.02371542,0.17647058,deprioritize NEARUSDT mean_count_top_long_short_ratio until it reappears in recent data
OPUSDT,mean_sum_taker_long_short_vol_ratio,historical_symbol_feature_only,high,high_mean_only,185.64723342,73.03886748,112.45179556,0.017501612809,0.006777636554,0.17391304,-0.02573529,deprioritize OPUSDT mean_sum_taker_long_short_vol_ratio until it reappears in recent data
APTUSDT,mean_count_long_short_ratio,historical_symbol_feature_only,high,high,222.43010025,48.17528947,109.16447324,0.021075149348,0.004474423458,0.17391304,0.00000000,deprioritize APTUSDT mean_count_long_short_ratio until it reappears in recent data
AVAXUSDT,max_abs_premium_close,recent_symbol_feature_watch,high,low,18.38329380,121.94758795,105.70008500,0.000983090683,-0.011221163512,0.04347826,-0.23529411,extend recent AVAXUSDT max_abs_premium_close window and check whether the effect survives costs
FILUSDT,mean_sum_top_long_short_ratio,historical_symbol_feature_only,low,high_mean_only,286.43265919,26.86410640,97.71309988,-0.027324189746,0.002038825879,-0.26086956,-0.05882352,deprioritize FILUSDT mean_sum_top_long_short_ratio until it reappears in recent data
BNBUSDT,mean_premium_close,historical_symbol_feature_only,high,high,234.49443247,14.26123100,91.34285151,0.022167339905,0.000655567875,0.21739130,0.11764705,deprioritize BNBUSDT mean_premium_close until it reappears in recent data
LTCUSDT,mean_sum_taker_long_short_vol_ratio,historical_symbol_feature_only,low,low,196.64612245,12.20979480,76.76250948,-0.019077345931,-0.000383483672,0.00000000,-0.17647059,deprioritize LTCUSDT mean_sum_taker_long_short_vol_ratio until it reappears in recent data
OPUSDT,mean_sum_top_long_short_ratio,weak_or_unconfirmed,low,low,139.50333441,89.15070230,66.77412354,-0.013200751770,-0.008171807136,-0.04347826,-0.15808824,keep OPUSDT mean_sum_top_long_short_ratio as context only
BNBUSDT,mean_sum_top_long_short_ratio,weak_or_unconfirmed,high,high_mean_only,151.16049677,79.05235326,64.29020349,0.014420649127,0.007004926967,0.04347826,-0.11764706,keep BNBUSDT mean_sum_top_long_short_ratio as context only
APTUSDT,mean_funding_rate,weak_or_unconfirmed,high,high,114.76096200,94.78862564,61.77894337,0.010650052709,0.008712633318,0.08478261,0.11764705,keep APTUSDT mean_funding_rate as context only
APTUSDT,sum_funding_rate,weak_or_unconfirmed,high,high,114.76096200,94.78862564,61.77894337,0.010650052709,0.008712633318,0.08478261,0.11764705,keep APTUSDT sum_funding_rate as context only
LTCUSDT,mean_premium_close,weak_or_unconfirmed,high_mean_only,high,55.68865014,115.87244831,54.80811895,0.004539872304,0.009899114505,-0.21739130,0.41176470,keep LTCUSDT mean_premium_close as context only
OPUSDT,mean_count_top_long_short_ratio,weak_or_unconfirmed,low_mean_only,low,49.39067368,118.42949424,54.26590704,-0.004203689088,-0.010750258884,0.08695652,-0.21691176,keep OPUSDT mean_count_top_long_short_ratio as context only
APTUSDT,mean_sum_taker_long_short_vol_ratio,weak_or_unconfirmed,high_mean_only,high,76.55422698,100.82995046,52.33344724,0.006960938084,0.009305586874,-0.04347826,0.11764705,keep APTUSDT mean_sum_taker_long_short_vol_ratio as context only
BTCUSDT,mean_sum_taker_long_short_vol_ratio,weak_or_unconfirmed,high,high,172.62461911,48.33410126,51.83578251,0.015878781593,0.003924160117,0.26086956,0.11764705,keep BTCUSDT mean_sum_taker_long_short_vol_ratio as context only
ETHUSDT,max_abs_premium_close,weak_or_unconfirmed,high,low,157.38346742,86.43400476,51.26631669,0.014745176358,-0.007862093353,0.08695652,-0.05882353,keep ETHUSDT max_abs_premium_close as context only
BTCUSDT,mean_count_top_long_short_ratio,weak_or_unconfirmed,low,low,80.12783065,94.97162794,49.77629889,-0.007207984295,-0.008234155912,-0.04347826,-0.17647058,keep BTCUSDT mean_count_top_long_short_ratio as context only
DOTUSDT,mean_funding_rate,weak_or_unconfirmed,high,high,167.11369091,42.94094115,46.40140357,0.015685651663,0.003460095325,0.09805735,0.00000000,keep DOTUSDT mean_funding_rate as context only
DOTUSDT,sum_funding_rate,weak_or_unconfirmed,high,high,167.11369091,42.94094114,46.40140356,0.015685651663,0.003460095325,0.09805735,0.00000000,keep DOTUSDT sum_funding_rate as context only
BCHUSDT,mean_funding_rate,weak_or_unconfirmed,high,high,126.70042800,64.53910162,46.29556585,0.011913359851,0.006024586834,0.02826087,0.00000000,keep BCHUSDT mean_funding_rate as context only
BCHUSDT,sum_funding_rate,weak_or_unconfirmed,high,high,126.70042800,64.53910162,46.29556585,0.011913359851,0.006024586834,0.02826087,0.00000000,keep BCHUSDT sum_funding_rate as context only
BNBUSDT,mean_count_top_long_short_ratio,weak_or_unconfirmed,low,high,112.53968695,101.32528271,45.25032419,-0.010361451515,0.008921574730,-0.08695652,0.23529411,keep BNBUSDT mean_count_top_long_short_ratio as context only
DOTUSDT,mean_premium_close,weak_or_unconfirmed,high,high,78.06916057,87.26026352,44.04337749,0.007141970843,0.008135786306,0.00000000,0.05882352,keep DOTUSDT mean_premium_close as context only
NEARUSDT,mean_sum_taker_long_short_vol_ratio,weak_or_unconfirmed,low_mean_only,low,84.50491856,77.29645018,39.81941411,-0.007705354291,-0.007185984864,0.10869565,-0.05882353,keep NEARUSDT mean_sum_taker_long_short_vol_ratio as context only
LINKUSDT,mean_count_long_short_ratio,weak_or_unconfirmed,low,low,85.25843810,68.83610278,34.58392014,-0.007707564968,-0.006230797885,-0.08695652,0.00000000,keep LINKUSDT mean_count_long_short_ratio as context only
LINKUSDT,mean_funding_rate,weak_or_unconfirmed,low,high,156.94696476,60.32159026,34.14047134,-0.014661320629,0.005342619807,-0.18705763,0.11764705,keep LINKUSDT mean_funding_rate as context only
LINKUSDT,sum_funding_rate,weak_or_unconfirmed,low,high,156.94696476,60.32159026,34.14047134,-0.014661320629,0.005342619807,-0.18705763,0.11764705,keep LINKUSDT sum_funding_rate as context only
UNIUSDT,max_abs_premium_close,weak_or_unconfirmed,high,low,123.86519597,77.84984430,33.95521738,0.011870287648,-0.006908382976,0.00000000,-0.17647059,keep UNIUSDT max_abs_premium_close as context only
XRPUSDT,mean_sum_taker_long_short_vol_ratio,weak_or_unconfirmed,high,high_mean_only,125.01661526,46.20096156,33.78644035,0.011905435348,0.003882886875,0.04347826,-0.05882353,keep XRPUSDT mean_sum_taker_long_short_vol_ratio as context only
XRPUSDT,mean_count_top_long_short_ratio,weak_or_unconfirmed,high,low,64.48349402,108.87601019,33.33862953,0.005694006736,-0.009049287428,0.08695652,-0.41176470,keep XRPUSDT mean_count_top_long_short_ratio as context only
ADAUSDT,mean_sum_taker_long_short_vol_ratio,weak_or_unconfirmed,high,high_mean_only,97.99168127,59.96637808,33.27523420,0.008868046641,0.005000558587,0.08695652,-0.17647058,keep ADAUSDT mean_sum_taker_long_short_vol_ratio as context only
AVAXUSDT,mean_funding_rate,weak_or_unconfirmed,high_mean_only,high,57.07837351,80.51774499,32.31396497,0.005052709861,0.006778441164,-0.02173913,0.17647058,keep AVAXUSDT mean_funding_rate as context only
AVAXUSDT,sum_funding_rate,weak_or_unconfirmed,high_mean_only,high,57.07837351,80.51774496,32.31396495,0.005052709861,0.006778441164,-0.02173913,0.17647058,keep AVAXUSDT sum_funding_rate as context only
BNBUSDT,mean_count_long_short_ratio,weak_or_unconfirmed,low,high,89.88587756,91.30164791,30.80612829,-0.008268893102,0.007951177514,-0.04347826,0.23529411,keep BNBUSDT mean_count_long_short_ratio as context only
BTCUSDT,mean_count_long_short_ratio,weak_or_unconfirmed,low,low,83.40361105,63.75944474,30.63490295,-0.007656836560,-0.005253150171,0.00000000,-0.11764706,keep BTCUSDT mean_count_long_short_ratio as context only
LINKUSDT,max_abs_premium_close,weak_or_unconfirmed,low,low_mean_only,88.12967827,60.74279667,30.32820523,-0.007790813017,-0.005343939626,-0.21739130,0.11764705,keep LINKUSDT max_abs_premium_close as context only
BCHUSDT,mean_sum_taker_long_short_vol_ratio,weak_or_unconfirmed,high,high_mean_only,144.10896595,28.00254350,28.63979136,0.013446584769,0.001718903432,0.13043478,-0.29411764,keep BCHUSDT mean_sum_taker_long_short_vol_ratio as context only
FILUSDT,oi_value_change,weak_or_unconfirmed,low,low,89.05180925,56.68465338,28.01315793,-0.008038315281,-0.005216230482,-0.13043478,0.00000000,keep FILUSDT oi_value_change as context only
NEARUSDT,max_abs_premium_close,weak_or_unconfirmed,high_mean_only,low,115.62263331,71.50870040,26.94857692,0.010377709078,-0.006304514516,-0.11264822,0.00000000,keep NEARUSDT max_abs_premium_close as context only
BTCUSDT,sum_funding_rate,weak_or_unconfirmed,high,low,52.41198806,103.29394444,25.48525971,0.004658441270,-0.009059355586,0.01778656,-0.29411764,keep BTCUSDT sum_funding_rate as context only
BTCUSDT,mean_funding_rate,weak_or_unconfirmed,high,low,52.41198806,103.29394442,25.48525969,0.004658441270,-0.009059355586,0.01778656,-0.29411764,keep BTCUSDT mean_funding_rate as context only
DOTUSDT,mean_count_long_short_ratio,weak_or_unconfirmed,high,low,61.67571233,97.35320197,24.86608060,0.005675680642,-0.008563000893,0.00000000,-0.29411764,keep DOTUSDT mean_count_long_short_ratio as context only
SOLUSDT,sum_funding_rate,weak_or_unconfirmed,high,high,142.13210505,19.51156792,22.42875592,0.013225973575,0.000988207103,0.12065217,0.17647058,keep SOLUSDT sum_funding_rate as context only
