symbol,feature,status,preferred_bucket,observations,low_bucket_mean_next_return,low_bucket_hit_rate,high_bucket_mean_next_return,high_bucket_hit_rate,correlation_to_next_return,edge_score,next_step
LINKUSDT,mean_count_long_short_ratio,weak_symbol_feature_context,low,66,0.004877560079,0.47058824,-0.001353237806,0.47058824,-0.16140620,68.83610278,"rerun LINKUSDT mean_count_long_short_ratio on recent windows, then test funding PnL, fees, spread, and regime split"
ETCUSDT,mean_sum_top_long_short_ratio,weak_symbol_feature_context,high,66,-0.005667181741,0.47058824,0.000189594975,0.58823529,0.13736013,67.55614623,"rerun ETCUSDT mean_sum_top_long_short_ratio on recent windows, then test funding PnL, fees, spread, and regime split"
BCHUSDT,mean_funding_rate,weak_symbol_feature_context,high,66,-0.007670201546,0.47058824,-0.001645614712,0.47058824,0.04966166,64.53910162,"rerun BCHUSDT mean_funding_rate on recent windows, then test funding PnL, fees, spread, and regime split"
BCHUSDT,sum_funding_rate,weak_symbol_feature_context,high,66,-0.007670201546,0.47058824,-0.001645614712,0.47058824,0.04966166,64.53910162,"rerun BCHUSDT sum_funding_rate on recent windows, then test funding PnL, fees, spread, and regime split"
BTCUSDT,mean_count_long_short_ratio,weak_symbol_feature_context,low,66,-0.004872654639,0.47058824,-0.010125804810,0.35294118,-0.24933833,63.75944474,"rerun BTCUSDT mean_count_long_short_ratio on recent windows, then test funding PnL, fees, spread, and regime split"
LINKUSDT,max_abs_premium_close,weak_symbol_feature_context,low_mean_only,66,-0.001626839444,0.41176471,-0.006970779070,0.52941176,-0.05311120,60.74279667,"rerun LINKUSDT max_abs_premium_close on recent windows, then test funding PnL, fees, spread, and regime split"
LINKUSDT,sum_funding_rate,weak_symbol_feature_context,high,66,-0.003217029006,0.47058824,0.002125590801,0.58823529,0.03271079,60.32159026,"rerun LINKUSDT sum_funding_rate on recent windows, then test funding PnL, fees, spread, and regime split"
LINKUSDT,mean_funding_rate,weak_symbol_feature_context,high,66,-0.003217029006,0.47058824,0.002125590801,0.58823529,0.03271079,60.32159026,"rerun LINKUSDT mean_funding_rate on recent windows, then test funding PnL, fees, spread, and regime split"
ADAUSDT,mean_sum_taker_long_short_vol_ratio,weak_symbol_feature_context,high_mean_only,65,-0.013077607765,0.52941176,-0.008077049178,0.35294118,0.11495138,59.96637808,"rerun ADAUSDT mean_sum_taker_long_short_vol_ratio on recent windows, then test funding PnL, fees, spread, and regime split"
UNIUSDT,mean_sum_top_long_short_ratio,weak_symbol_feature_context,high,65,0.004321011756,0.47058824,0.009239241419,0.58823529,0.16196399,58.61275289,"rerun UNIUSDT mean_sum_top_long_short_ratio on recent windows, then test funding PnL, fees, spread, and regime split"
AVAXUSDT,mean_count_top_long_short_ratio,weak_symbol_feature_context,low,66,0.000853111409,0.52941176,-0.004244036332,0.41176471,-0.06090796,58.43081309,"rerun AVAXUSDT mean_count_top_long_short_ratio on recent windows, then test funding PnL, fees, spread, and regime split"
OPUSDT,max_abs_premium_close,weak_symbol_feature_context,high,64,-0.001852449382,0.41176471,0.003276467706,0.50000000,-0.02732058,57.24146490,"rerun OPUSDT max_abs_premium_close on recent windows, then test funding PnL, fees, spread, and regime split"
FILUSDT,oi_value_change,weak_symbol_feature_context,low,66,-0.006464369777,0.41176471,-0.011680600259,0.41176471,-0.06111743,56.68465338,"rerun FILUSDT oi_value_change on recent windows, then test funding PnL, fees, spread, and regime split"
BTCUSDT,max_abs_premium_close,weak_symbol_feature_context,low,66,-0.004948919796,0.41176471,-0.009323375384,0.23529412,-0.22572057,55.97073207,"rerun BTCUSDT max_abs_premium_close on recent windows, then test funding PnL, fees, spread, and regime split"
NEARUSDT,mean_count_top_long_short_ratio,weak_symbol_feature_context,high,66,0.014039662777,0.35294118,0.018730877223,0.52941176,0.03893504,55.40261006,"rerun NEARUSDT mean_count_top_long_short_ratio on recent windows, then test funding PnL, fees, spread, and regime split"
LTCUSDT,oi_value_change,weak_symbol_feature_context,high_mean_only,66,-0.005853048832,0.52941176,-0.001466853736,0.41176471,0.12389905,52.58110847,"rerun LTCUSDT oi_value_change on recent windows, then test funding PnL, fees, spread, and regime split"
BTCUSDT,mean_sum_taker_long_short_vol_ratio,weak_symbol_feature_context,high,66,-0.002755810641,0.41176471,0.001168349476,0.52941176,0.14256618,48.33410126,"rerun BTCUSDT mean_sum_taker_long_short_vol_ratio on recent windows, then test funding PnL, fees, spread, and regime split"
APTUSDT,mean_count_long_short_ratio,weak_symbol_feature_context,high,66,-0.008035821560,0.41176471,-0.003561398102,0.41176471,-0.00655274,48.17528947,"rerun APTUSDT mean_count_long_short_ratio on recent windows, then test funding PnL, fees, spread, and regime split"
INJUSDT,mean_count_long_short_ratio,weak_symbol_feature_context,low,66,0.010866741905,0.64705882,0.006842497652,0.47058824,-0.00861622,48.12653162,"rerun INJUSDT mean_count_long_short_ratio on recent windows, then test funding PnL, fees, spread, and regime split"
BTCUSDT,oi_value_change,weak_symbol_feature_context,high,66,-0.000311233308,0.52941176,0.003315568600,0.70588235,0.14331537,46.84609117,"rerun BTCUSDT oi_value_change on recent windows, then test funding PnL, fees, spread, and regime split"
XRPUSDT,mean_sum_taker_long_short_vol_ratio,weak_symbol_feature_context,high_mean_only,66,-0.006187032749,0.47058824,-0.002304145874,0.41176471,0.13007523,46.20096156,"rerun XRPUSDT mean_sum_taker_long_short_vol_ratio on recent windows, then test funding PnL, fees, spread, and regime split"
DOTUSDT,mean_funding_rate,weak_symbol_feature_context,high,66,0.001950686085,0.52941176,0.005410781410,0.52941176,-0.25199939,42.94094115,"rerun DOTUSDT mean_funding_rate on recent windows, then test funding PnL, fees, spread, and regime split"
DOTUSDT,sum_funding_rate,weak_symbol_feature_context,high,66,0.001950686085,0.52941176,0.005410781410,0.52941176,-0.25199939,42.94094114,"rerun DOTUSDT sum_funding_rate on recent windows, then test funding PnL, fees, spread, and regime split"
ADAUSDT,mean_sum_top_long_short_ratio,weak_symbol_feature_context,high_mean_only,65,-0.006497808143,0.47058824,-0.003075181961,0.29411765,-0.03814307,42.65088791,"rerun ADAUSDT mean_sum_top_long_short_ratio on recent windows, then test funding PnL, fees, spread, and regime split"
INJUSDT,max_abs_premium_close,weak_symbol_feature_context,low,66,0.014296044297,0.64705882,0.011063009400,0.47058824,-0.10730851,42.18828395,"rerun INJUSDT max_abs_premium_close on recent windows, then test funding PnL, fees, spread, and regime split"
ARBUSDT,mean_count_long_short_ratio,weak_symbol_feature_context,high,64,0.003374142912,0.47058824,0.006516566638,0.56250000,0.13965750,39.71518136,"rerun ARBUSDT mean_count_long_short_ratio on recent windows, then test funding PnL, fees, spread, and regime split"
ETCUSDT,mean_sum_taker_long_short_vol_ratio,weak_symbol_feature_context,high,66,-0.004520250018,0.47058824,-0.001160023093,0.47058824,0.03034254,37.50911998,"rerun ETCUSDT mean_sum_taker_long_short_vol_ratio on recent windows, then test funding PnL, fees, spread, and regime split"
ARBUSDT,mean_count_top_long_short_ratio,weak_symbol_feature_context,high,64,0.004100982594,0.47058824,0.007122558101,0.56250000,0.08601631,37.43387537,"rerun ARBUSDT mean_count_top_long_short_ratio on recent windows, then test funding PnL, fees, spread, and regime split"
ETHUSDT,oi_value_change,weak_symbol_feature_context,low_mean_only,66,-0.007427941274,0.23529412,-0.010115786604,0.41176471,0.11296834,36.84958483,"rerun ETHUSDT oi_value_change on recent windows, then test funding PnL, fees, spread, and regime split"
ARBUSDT,mean_sum_taker_long_short_vol_ratio,weak_symbol_feature_context,low_mean_only,64,0.002541013331,0.35294118,-0.000285234938,0.43750000,0.01545983,33.88564990,"rerun ARBUSDT mean_sum_taker_long_short_vol_ratio on recent windows, then test funding PnL, fees, spread, and regime split"
DOTUSDT,mean_sum_top_long_short_ratio,weak_symbol_feature_context,low,66,0.001358566803,0.47058824,-0.001317871830,0.41176471,0.03396709,32.21431639,"rerun DOTUSDT mean_sum_top_long_short_ratio on recent windows, then test funding PnL, fees, spread, and regime split"
