symbol,feature,status,preferred_bucket,observations,low_bucket_mean_next_1h_return,low_bucket_hit_rate,high_bucket_mean_next_1h_return,high_bucket_hit_rate,correlation_to_next_1h_return,edge_score,next_step
ADAUSDT,sum_taker_long_short_vol_ratio,weak_intraday_feature_context,low,4794,-0.000738038804,0.46455379,-0.001234023817,0.43786489,0.00588603,65.51688908,"repeat ADAUSDT sum_taker_long_short_vol_ratio 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
OPUSDT,premium_close,weak_intraday_feature_context,low,4728,-0.000446088273,0.49196957,-0.000941217349,0.47969543,-0.02726732,65.42647814,"repeat OPUSDT premium_close 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
SOLUSDT,sum_taker_long_short_vol_ratio,weak_intraday_feature_context,low,4906,-0.000458034509,0.48981255,-0.000924421925,0.45476773,-0.00770863,62.84425895,"repeat SOLUSDT sum_taker_long_short_vol_ratio 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
UNIUSDT,oi_value_change,weak_intraday_feature_context,low,4844,-0.000378128985,0.49752475,-0.000824256740,0.47316268,-0.03950507,61.13373918,"repeat UNIUSDT oi_value_change 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
ARBUSDT,oi_value_change,weak_intraday_feature_context,low,4676,-0.000367021544,0.47692308,-0.000730588393,0.46535500,-0.02959750,52.29567702,"repeat ARBUSDT oi_value_change 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
ADAUSDT,sum_top_long_short_ratio,weak_intraday_feature_context,high_mean_only,4794,-0.001717517786,0.45788157,-0.001364832407,0.44203503,0.02629512,51.26983639,"repeat ADAUSDT sum_top_long_short_ratio 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
DOGEUSDT,oi_value_change,weak_intraday_feature_context,low,4918,-0.000352038136,0.49268293,-0.000684060753,0.46504065,-0.04609898,49.95350957,"repeat DOGEUSDT oi_value_change 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
BCHUSDT,sum_taker_long_short_vol_ratio,weak_intraday_feature_context,low_mean_only,4938,-0.001224188691,0.46639676,-0.001563937761,0.47611336,-0.00672921,49.40098916,"repeat BCHUSDT sum_taker_long_short_vol_ratio 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
SOLUSDT,oi_value_change,weak_intraday_feature_context,low,4906,-0.000592688568,0.48410758,-0.000895783212,0.43520782,-0.02049265,47.18630989,"repeat SOLUSDT oi_value_change 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
OPUSDT,oi_value_change,weak_intraday_feature_context,high,4728,-0.000485485175,0.47590871,-0.000239914195,0.48307953,0.02381672,40.24855711,"repeat OPUSDT oi_value_change 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
BCHUSDT,count_long_short_ratio,weak_intraday_feature_context,low_mean_only,4938,-0.000737358453,0.48097166,-0.000860851515,0.51174089,0.00707763,28.41393588,"repeat BCHUSDT count_long_short_ratio 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
UNIUSDT,sum_top_long_short_ratio,weak_intraday_feature_context,high,4844,-0.000513105047,0.46947195,-0.000390826538,0.49050372,0.01141316,28.08706713,"repeat UNIUSDT sum_top_long_short_ratio 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
UNIUSDT,count_top_long_short_ratio,weak_intraday_feature_context,high,4844,-0.001467669714,0.42574257,-0.001355624166,0.46490504,0.03097580,27.99894471,"repeat UNIUSDT count_top_long_short_ratio 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
BCHUSDT,oi_value_change,weak_intraday_feature_context,high_mean_only,4938,-0.001195750324,0.46801619,-0.001090448730,0.46072874,0.01605195,26.06982192,"repeat BCHUSDT oi_value_change 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
BCHUSDT,count_top_long_short_ratio,weak_intraday_feature_context,low_mean_only,4938,-0.000953064509,0.45829960,-0.001040779148,0.49068826,-0.02558839,25.25489162,"repeat BCHUSDT count_top_long_short_ratio 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
BCHUSDT,sum_top_long_short_ratio,weak_intraday_feature_context,high_mean_only,4938,-0.000570719732,0.49959514,-0.000479248920,0.48906883,0.03268444,25.11655955,"repeat BCHUSDT sum_top_long_short_ratio 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
DOGEUSDT,sum_taker_long_short_vol_ratio,weak_intraday_feature_context,low,4918,-0.000466244164,0.46585366,-0.000561731519,0.45121951,-0.00474770,25.08271380,"repeat DOGEUSDT sum_taker_long_short_vol_ratio 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
DOGEUSDT,count_long_short_ratio,weak_intraday_feature_context,high,4918,-0.000729000132,0.45934959,-0.000668783997,0.45934959,-0.01051005,21.23181460,"repeat DOGEUSDT count_long_short_ratio 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
UNIUSDT,count_long_short_ratio,weak_intraday_feature_context,high,4844,-0.001186261691,0.43234323,-0.001185799216,0.47646573,0.03058169,16.98155616,"repeat UNIUSDT count_long_short_ratio 5m-to-1h label on a fresh window, then add fees, spread, and fill assumptions"
