date,symbol,metrics_rows,premium_rows,funding_rate_rows,close,oi_value_change,next_return,mean_open_interest_value,mean_funding_rate,sum_funding_rate,mean_count_top_long_short_ratio,mean_sum_top_long_short_ratio,mean_count_long_short_ratio,mean_sum_taker_long_short_vol_ratio,mean_premium_close,max_abs_premium_close
2026-04-01,ADAUSDT,288,1440,3,0.24840000,0.00000000,-0.037037037037,79839062.38914134,-0.000042783333,-0.000128350000,2.24246378,1.07729952,1.96851619,1.13776472,-0.000407707410,0.001897300000
2026-04-01,APTUSDT,288,1440,3,0.89000000,0.00000000,-0.035168539326,30497044.93689264,-0.000331383333,-0.000994150000,1.03456643,1.69246987,0.91134372,1.22447595,-0.000825603417,0.002658260000
2026-04-01,ARBUSDT,288,1440,3,0.09440000,0.00000000,-0.039194915254,20239498.43763287,0.000037486667,0.000112460000,1.49582252,1.10893211,1.23625232,1.32468526,-0.000333522514,0.002715500000
2026-04-01,AVAXUSDT,288,1440,3,9.12300000,0.00000000,-0.041324125836,74645713.27306290,0.000065326667,0.000195980000,1.76473862,1.50297777,1.47536310,1.20553633,-0.000377959694,0.003108900000
2026-04-01,BCHUSDT,288,1440,3,454.99000000,0.00000000,-0.024374162069,180803043.67161208,0.000100000000,0.000300000000,0.93514539,2.70346943,0.87484263,1.18934619,-0.000384331986,0.001119900000
2026-04-01,BNBUSDT,288,1440,3,611.18000000,0.00000000,-0.044798586341,323536325.22758174,0.000028120000,0.000084360000,2.55878587,1.01285098,2.56004479,1.14563222,0.000519159715,0.003364440000
2026-04-01,BTCUSDT,288,1440,3,68086.50000000,0.00000000,-0.017889008834,6173638186.14564323,-0.000011110000,-0.000033330000,1.55732722,0.86473547,1.48026962,1.12989442,-0.000495590972,0.001719250000
2026-04-01,DOGEUSDT,288,1440,3,0.09214000,0.00000000,-0.019426958975,176778716.75389975,0.000065923333,0.000197770000,2.95848222,1.66918701,2.49431587,1.13552243,-0.000390619549,0.001229490000
2026-04-01,DOTUSDT,288,1440,3,1.25400000,0.00000000,-0.014354066986,43311490.00168042,-0.000160286667,-0.000480860000,1.84823815,1.27736870,1.59272860,1.50383329,-0.000745886063,0.002450630000
2026-04-01,ETCUSDT,288,1440,3,8.18700000,0.00000000,-0.039452791010,16445396.41938272,0.000056036667,0.000168110000,1.48085359,2.18886538,1.14294881,1.24254030,-0.000455542347,0.001680640000
2026-04-01,ETHUSDT,288,1440,3,2138.80000000,0.00000000,-0.038731999252,4891506716.88927364,0.000029843333,0.000089530000,1.25661608,1.08362364,1.22906678,1.05709799,-0.000490897444,0.001293470000
2026-04-01,FILUSDT,288,1440,3,0.83700000,0.00000000,-0.025089605735,36782794.65172207,0.000054773333,0.000164320000,1.17907425,2.32863416,1.03018187,1.54167524,-0.000400927493,0.002127430000
2026-04-01,INJUSDT,288,1440,3,2.86900000,0.00000000,-0.044963401882,10528946.66388022,-0.000044336667,-0.000133010000,1.33434845,1.63046984,1.15056181,1.44531891,-0.000560982417,0.002039850000
2026-04-01,LINKUSDT,288,1440,3,8.93900000,0.00000000,-0.034903233024,82448526.38719262,0.000100000000,0.000300000000,2.15063493,1.61320786,1.64845417,1.14471743,-0.000372047819,0.001783710000
2026-04-01,LTCUSDT,288,1440,3,53.78000000,0.00000000,-0.028635180364,62474705.99362538,0.000057430000,0.000172290000,2.36688712,3.79043122,1.80620163,1.38282023,-0.000506474951,0.001261020000
2026-04-01,NEARUSDT,288,1440,3,1.19000000,0.00000000,-0.023529411765,66174646.39754459,0.000019196667,0.000057590000,1.23211665,1.40692922,0.98273428,1.67712000,-0.000503324653,0.001844180000
2026-04-01,OPUSDT,288,1440,3,0.11010000,0.00000000,-0.035422343324,14954116.54438980,-0.000141390000,-0.000424170000,1.30601540,1.54606659,1.15828349,1.45906478,-0.000496184833,0.002809640000
2026-04-01,SOLUSDT,288,1440,3,81.14000000,0.00000000,-0.027483362090,788479160.73322177,-0.000003036667,-0.000009110000,3.18828270,1.08339461,2.91445769,1.06217319,-0.000526870333,0.001595620000
2026-04-01,UNIUSDT,288,1440,3,3.56500000,0.00000000,-0.110518934081,76120415.40665902,0.000059340000,0.000178020000,1.71426269,3.04962777,1.31599379,1.19151098,-0.000430537979,0.001412290000
2026-04-01,XRPUSDT,288,1440,3,1.34710000,0.00000000,-0.020711157301,348610169.21771693,0.000066083333,0.000198250000,2.85876841,1.22451161,2.53311497,1.12654765,-0.000429635472,0.001279740000
2026-04-02,ADAUSDT,288,1440,3,0.23920000,-0.08399330,0.029264214047,73133116.11537802,-0.000075880000,-0.000227640000,2.41476104,1.08341975,2.13681967,1.00736922,-0.000573536069,0.001837310000
2026-04-02,APTUSDT,288,1440,3,0.85870000,-0.02488585,-0.012693606615,29738099.97378654,-0.000149546667,-0.000448640000,1.00903031,1.57254008,0.87975827,1.21339699,-0.000661688021,0.001904130000
2026-04-02,ARBUSDT,288,1440,3,0.09070000,-0.01589129,0.017640573319,19917866.68808354,0.000031020000,0.000093060000,1.57704448,1.09907781,1.30869922,1.36368471,-0.000423496736,0.002142690000
2026-04-02,AVAXUSDT,288,1440,3,8.74600000,-0.10707145,0.018751429225,66653288.54373620,-0.000108430000,-0.000325290000,1.85668690,1.60615649,1.56956642,1.20538766,-0.000594435924,0.001654150000
