priority,ticket_id,action,asset,opportunity,decision,directional_return_bps,outcome,reason,next_step
240.04559624,lane-near-near-mean-sum-top-long-short-ratio-binance-derivatives-symbol-feature,promote_to_fill_and_risk_check,NEAR,near_mean_sum_top_long_short_ratio_binance_derivatives_symbol_feature,paper_short,140.04559624,paper_mark_win,paper mark moved in the ticket direction,"check fill assumption, funding, stop, adverse excursion, then repeat the label"
175.77609386,lane-arb-arb-count-long-short-ratio-short-opposite-intraday-paper-label,promote_to_fill_and_risk_check,ARB,arb_count_long_short_ratio_short_opposite_intraday_paper_label,paper_short,75.77609386,paper_mark_win,paper mark moved in the ticket direction,"check fill assumption, funding, stop, adverse excursion, then repeat the label"
175.77609386,lane-arb-arb-count-top-long-short-ratio-short-opposite-intraday-paper-label,promote_to_fill_and_risk_check,ARB,arb_count_top_long_short_ratio_short_opposite_intraday_paper_label,paper_short,75.77609386,paper_mark_win,paper mark moved in the ticket direction,"check fill assumption, funding, stop, adverse excursion, then repeat the label"
175.77609386,lane-arb-arb-count-long-short-ratio-repeat-intraday-derivatives-feature,promote_to_fill_and_risk_check,ARB,arb_count_long_short_ratio_repeat_intraday_derivatives_feature,paper_short,75.77609386,paper_mark_win,paper mark moved in the ticket direction,"check fill assumption, funding, stop, adverse excursion, then repeat the label"
175.77609386,lane-arb-arb-count-top-long-short-ratio-repeat-intraday-derivatives-feature,promote_to_fill_and_risk_check,ARB,arb_count_top_long_short_ratio_repeat_intraday_derivatives_feature,paper_short,75.77609386,paper_mark_win,paper mark moved in the ticket direction,"check fill assumption, funding, stop, adverse excursion, then repeat the label"
175.77609386,lane-arb-arb-sum-top-long-short-ratio-repeat-intraday-derivatives-feature,promote_to_fill_and_risk_check,ARB,arb_sum_top_long_short_ratio_repeat_intraday_derivatives_feature,paper_short,75.77609386,paper_mark_win,paper mark moved in the ticket direction,"check fill assumption, funding, stop, adverse excursion, then repeat the label"
175.77609386,lane-arb-arb-count-long-short-ratio-long-preferred-short-opposite-intraday-paper-label,promote_to_fill_and_risk_check,ARB,arb_count_long_short_ratio_long_preferred_short_opposite_intraday_paper_label,paper_short,75.77609386,paper_mark_win,paper mark moved in the ticket direction,"check fill assumption, funding, stop, adverse excursion, then repeat the label"
157.94984173,lane-hype-hype-protocol-fee-growth,promote_to_fill_and_risk_check,HYPE,hype_protocol_fee_growth,paper_short,57.94984173,paper_mark_win,paper mark moved in the ticket direction,"check fill assumption, funding, stop, adverse excursion, then repeat the label"
157.94984173,lane-hype-hype-unlock-actionability,promote_to_fill_and_risk_check,HYPE,hype_unlock_actionability,paper_short,57.94984173,paper_mark_win,paper mark moved in the ticket direction,"check fill assumption, funding, stop, adverse excursion, then repeat the label"
144.28482294,lane-sol-sol-usdt-coinup.io-(futures)-positioning,promote_to_fill_and_risk_check,SOL,sol-usdt_coinup.io_(futures)_positioning,paper_short,44.28482294,paper_mark_win,paper mark moved in the ticket direction,"check fill assumption, funding, stop, adverse excursion, then repeat the label"
50.00000000,lane-hype-hype-microstructure-flow-probe,wait_for_checkpoint,HYPE,hype_microstructure_flow_probe,paper_long,,pending,ticket checkpoint has not matured,wait for the first checkpoint and refresh marks
50.00000000,lane-hype-hype-protocol-fee-actionability,wait_for_checkpoint,HYPE,hype_protocol_fee_actionability,paper_short,,pending,ticket checkpoint has not matured,wait for the first checkpoint and refresh marks
50.00000000,lane-hype-hyperliquid-l1-stablecoin-migration,wait_for_checkpoint,HYPE,hyperliquid_l1_stablecoin_migration,paper_observe,,pending,ticket checkpoint has not matured,wait for the first checkpoint and refresh marks
50.00000000,lane-hype-hype-attention-price-context,wait_for_checkpoint,HYPE,hype_attention_price_context,paper_long,,pending,ticket checkpoint has not matured,wait for the first checkpoint and refresh marks
50.00000000,lane-arb-arb-count-long-short-ratio-intraday-derivatives-feature,wait_for_checkpoint,ARB,arb_count_long_short_ratio_intraday_derivatives_feature,paper_short,,pending,ticket checkpoint has not matured,wait for the first checkpoint and refresh marks
50.00000000,lane-arb-arb-count-top-long-short-ratio-intraday-derivatives-feature,wait_for_checkpoint,ARB,arb_count_top_long_short_ratio_intraday_derivatives_feature,paper_short,,pending,ticket checkpoint has not matured,wait for the first checkpoint and refresh marks
50.00000000,lane-eth-eth-microstructure-flow-probe,wait_for_checkpoint,ETH,eth_microstructure_flow_probe,paper_long,,pending,ticket checkpoint has not matured,wait for the first checkpoint and refresh marks
50.00000000,lane-eth-ethereum-stablecoin-migration,wait_for_checkpoint,ETH,ethereum_stablecoin_migration,paper_observe,,pending,ticket checkpoint has not matured,wait for the first checkpoint and refresh marks
50.00000000,lane-eth-eth-l2-imbalance-probe,wait_for_checkpoint,ETH,eth_l2_imbalance_probe,paper_observe,,pending,ticket checkpoint has not matured,wait for the first checkpoint and refresh marks
50.00000000,lane-sol-sol-attention-price-context,wait_for_checkpoint,SOL,sol_attention_price_context,paper_long,,pending,ticket checkpoint has not matured,wait for the first checkpoint and refresh marks
50.00000000,lane-sol-sol-protocol-fee-actionability,wait_for_checkpoint,SOL,sol_protocol_fee_actionability,paper_short,,pending,ticket checkpoint has not matured,wait for the first checkpoint and refresh marks
50.00000000,lane-sol-solana-stablecoin-migration,wait_for_checkpoint,SOL,solana_stablecoin_migration,paper_long,,pending,ticket checkpoint has not matured,wait for the first checkpoint and refresh marks
50.00000000,lane-near-near-microstructure-flow-probe,wait_for_checkpoint,NEAR,near_microstructure_flow_probe,paper_long,,pending,ticket checkpoint has not matured,wait for the first checkpoint and refresh marks
50.00000000,lane-near-near-sum-top-long-short-ratio-intraday-derivatives-feature,wait_for_checkpoint,NEAR,near_sum_top_long_short_ratio_intraday_derivatives_feature,paper_short,,pending,ticket checkpoint has not matured,wait for the first checkpoint and refresh marks
50.00000000,lane-near-near-count-long-short-ratio-intraday-derivatives-feature,wait_for_checkpoint,NEAR,near_count_long_short_ratio_intraday_derivatives_feature,paper_short,,pending,ticket checkpoint has not matured,wait for the first checkpoint and refresh marks
50.00000000,lane-near-near-count-top-long-short-ratio-intraday-derivatives-feature,wait_for_checkpoint,NEAR,near_count_top_long_short_ratio_intraday_derivatives_feature,paper_short,,pending,ticket checkpoint has not matured,wait for the first checkpoint and refresh marks
-19.28482294,lane-sol-sol-volume-price-dislocation,deprioritize_or_repeat_once,SOL,sol_volume_price_dislocation,paper_long,-44.28482294,paper_mark_loss,paper mark moved against the ticket direction,repeat only if the original hypothesis has independent support; otherwise deprioritize
-19.28482294,lane-sol-solana-bountywork-sol-dex-pool,deprioritize_or_repeat_once,SOL,solana_bountywork_sol_dex_pool,paper_observe,-44.28482294,paper_mark_loss,paper mark moved against the ticket direction,repeat only if the original hypothesis has independent support; otherwise deprioritize
-19.28482294,lane-sol-solana-boutywork-sol-dex-pool,deprioritize_or_repeat_once,SOL,solana_boutywork_sol_dex_pool,paper_observe,-44.28482294,paper_mark_loss,paper mark moved against the ticket direction,repeat only if the original hypothesis has independent support; otherwise deprioritize
-19.28482294,lane-sol-solana-$tupid-sol-dex-pool,deprioritize_or_repeat_once,SOL,solana_$tupid_sol_dex_pool,paper_observe,-44.28482294,paper_mark_loss,paper mark moved against the ticket direction,repeat only if the original hypothesis has independent support; otherwise deprioritize
