ticket_id,opened_at,checked_at,horizon,checkpoint_status,outcome,asset,venue,decision,side,entry_mark,stop_bps,first_candle_at,last_candle_at,candle_count,max_favorable_bps,max_adverse_bps,close_return_bps,stop_status,evidence,next_step
broad-fill-audit-zec-long-50bps-stop,2026-06-08T20:47:41+00:00,2026-06-08T22:14:10+00:00,15m,ready,paper_fill_audit_stop_loss,ZEC,,paper_long,long,467.730000000000,50.00,2026-06-08T20:48:00+00:00,2026-06-08T21:01:59+00:00,14,33.35257520,-53.66343831,-25.86962564,stop_triggered,candles=14; first=2026-06-08T20:48:00+00:00; last=2026-06-08T21:01:59+00:00; entry=467.730000000000,do not promote ZEC long; fresh fill audit hit the stop
broad-fill-audit-zec-long-50bps-stop,2026-06-08T20:47:41+00:00,2026-06-08T22:14:10+00:00,1h,ready,paper_fill_audit_stop_loss,ZEC,,paper_long,long,467.730000000000,50.00,2026-06-08T20:48:00+00:00,2026-06-08T21:46:59+00:00,59,154.36255960,-86.80221495,64.78096338,stop_triggered,candles=59; first=2026-06-08T20:48:00+00:00; last=2026-06-08T21:46:59+00:00; entry=467.730000000000,do not promote ZEC long; fresh fill audit hit the stop
broad-fill-audit-pol-short-50bps-stop,2026-06-08T20:35:19+00:00,2026-06-08T22:14:10+00:00,15m,ready,paper_fill_audit_stop_loss,POL,,paper_short,short,0.078555000000,50.00,2026-06-08T20:36:00+00:00,2026-06-08T20:49:59+00:00,14,0.00000000,-75.54988440,-72.03791469,stop_triggered,candles=14; first=2026-06-08T20:36:00+00:00; last=2026-06-08T20:49:59+00:00; entry=0.078555000000,do not promote POL short; fresh fill audit hit the stop
broad-fill-audit-pol-short-50bps-stop,2026-06-08T20:35:19+00:00,2026-06-08T22:14:10+00:00,1h,ready,paper_fill_audit_stop_loss,POL,,paper_short,short,0.078555000000,50.00,2026-06-08T20:36:00+00:00,2026-06-08T21:34:59+00:00,59,0.00000000,-104.55375701,-98.44206917,stop_triggered,candles=59; first=2026-06-08T20:36:00+00:00; last=2026-06-08T21:34:59+00:00; entry=0.078555000000,do not promote POL short; fresh fill audit hit the stop
broad-fill-audit-wld-short-50bps-stop,2026-06-08T21:13:17+00:00,2026-06-08T22:14:10+00:00,15m,ready,paper_fill_audit_stop_loss,WLD,,paper_short,short,0.540930000000,50.00,2026-06-08T21:14:00+00:00,2026-06-08T21:27:59+00:00,14,711.48514851,-374.05463119,437.02245890,stop_triggered,candles=14; first=2026-06-08T21:14:00+00:00; last=2026-06-08T21:27:59+00:00; entry=0.540930000000,do not promote WLD short; fresh fill audit hit the stop
broad-fill-audit-wld-short-50bps-stop,2026-06-08T21:13:17+00:00,2026-06-08T22:14:10+00:00,1h,ready,paper_fill_audit_stop_loss,WLD,,paper_short,short,0.540930000000,50.00,2026-06-08T21:14:00+00:00,2026-06-08T22:12:59+00:00,59,711.48514851,-374.05463119,626.89088837,stop_triggered,candles=59; first=2026-06-08T21:14:00+00:00; last=2026-06-08T22:12:59+00:00; entry=0.540930000000,do not promote WLD short; fresh fill audit hit the stop
broad-fill-audit-eth-long-50bps-stop,2026-06-08T21:16:41+00:00,2026-06-08T22:14:10+00:00,15m,ready,paper_fill_audit_loss,ETH,,paper_long,long,1711.700000000000,50.00,2026-06-08T21:17:00+00:00,2026-06-08T21:30:59+00:00,14,1.16842905,-46.73716189,-23.36858094,stop_survived,candles=14; first=2026-06-08T21:17:00+00:00; last=2026-06-08T21:30:59+00:00; entry=1711.700000000000,do not promote ETH long; fresh fill audit failed at 15m
broad-fill-audit-eth-long-50bps-stop,2026-06-08T21:16:41+00:00,2026-06-08T22:14:10+00:00,1h,pending,pending,ETH,,paper_long,long,1711.700000000000,50.00,2026-06-08T21:17:00+00:00,2026-06-08T22:13:59+00:00,57,8.76321785,-116.84290471,-116.25869019,stop_triggered,candles=57; first=2026-06-08T21:17:00+00:00; last=2026-06-08T22:13:59+00:00; entry=1711.700000000000,wait for 1h fill-audit checkpoint for ETH long
broad-fill-audit-inj-long-50bps-stop,2026-06-08T21:13:17+00:00,2026-06-08T22:14:10+00:00,15m,ready,paper_fill_audit_win,INJ,,paper_long,long,5.776800000000,50.00,2026-06-08T21:14:00+00:00,2026-06-08T21:27:59+00:00,14,111.30729816,-35.65988090,98.49743803,stop_survived,candles=14; first=2026-06-08T21:14:00+00:00; last=2026-06-08T21:27:59+00:00; entry=5.776800000000,compare INJ long fill audit against prior broad paper path before promotion
broad-fill-audit-inj-long-50bps-stop,2026-06-08T21:13:17+00:00,2026-06-08T22:14:10+00:00,1h,ready,paper_fill_audit_stop_loss,INJ,,paper_long,long,5.776800000000,50.00,2026-06-08T21:14:00+00:00,2026-06-08T22:12:59+00:00,59,115.63495361,-98.84365046,-21.81138346,stop_triggered,candles=59; first=2026-06-08T21:14:00+00:00; last=2026-06-08T22:12:59+00:00; entry=5.776800000000,do not promote INJ long; fresh fill audit hit the stop
