ticket_id,opened_at,checked_at,elapsed_minutes,checkpoint_status,opportunity,decision,asset,venue,entry_mark,current_mark,current_source,raw_return_bps,directional_return_bps,outcome,missing_evidence,next_step
broad-repeat-chip-long-broad-paper-chip-paper-long,2026-06-08T21:52:08+00:00,2026-06-08T21:52:23+00:00,0.26,pending,broad_fill_audit_repeat:broad-fill-audit-chip-long-50bps-stop:1h,paper_long,CHIP,,0.034275000000,0.034275000000,hl_execution_context,,,pending,checkpoint has not matured,wait for the first checkpoint and refresh marks
broad-repeat-hype-long-broad-paper-hype-paper-long,2026-06-08T21:52:08+00:00,2026-06-08T21:52:23+00:00,0.26,pending,broad_fill_audit_repeat:broad-fill-audit-hype-long-50bps-stop:1h,paper_long,HYPE,,64.059000000000,64.059000000000,hl_execution_context,,,pending,checkpoint has not matured,wait for the first checkpoint and refresh marks
broad-repeat-inj-long-broad-paper-inj-paper-long,2026-06-08T21:52:08+00:00,2026-06-08T21:52:23+00:00,0.26,pending,broad_fill_audit_repeat:broad-fill-audit-inj-long-50bps-stop:15m,paper_long,INJ,,5.796000000000,5.796000000000,hl_execution_context,,,pending,checkpoint has not matured,wait for the first checkpoint and refresh marks
