priority,ticket_id,action,asset,opportunity,decision,directional_return_bps,outcome,reason,next_step
330.45572434,broad-paper-pol-paper-short,promote_to_fill_and_risk_check,POL,cost_survival_cross_section:pol_paper_short,paper_short,230.45572434,paper_mark_win,paper mark moved in the ticket direction,"check fill assumption, funding, stop, adverse excursion, then repeat the label"
316.02437549,broad-paper-zro-paper-short,promote_to_fill_and_risk_check,ZRO,token_unlock:ZRO,paper_short,216.02437549,paper_mark_win,paper mark moved in the ticket direction,"check fill assumption, funding, stop, adverse excursion, then repeat the label"
315.12186599,broad-paper-zec-paper-long,promote_to_fill_and_risk_check,ZEC,promotion_frontier:cost_candidate:symbol_lane_paper:lane-zec-public-hypertracker-example-zec-wallet-flow-actionability,paper_long,215.12186599,paper_mark_win,paper mark moved in the ticket direction,"check fill assumption, funding, stop, adverse excursion, then repeat the label"
165.80514531,broad-paper-chip-paper-long,promote_to_fill_and_risk_check,CHIP,promotion_frontier:cost_candidate:promoted_repeat:repeat-paper-21-chip-microstructure-flow,paper_long,65.80514531,paper_mark_win,paper mark moved in the ticket direction,"check fill assumption, funding, stop, adverse excursion, then repeat the label"
148.96626768,broad-paper-eigen-paper-short,promote_to_fill_and_risk_check,EIGEN,token_unlock:EIGEN,paper_short,48.96626768,paper_mark_win,paper mark moved in the ticket direction,"check fill assumption, funding, stop, adverse excursion, then repeat the label"
140.46989166,broad-paper-hype-paper-long,promote_to_fill_and_risk_check,HYPE,lane_repeat:hype_volume_price_dislocation,paper_long,40.46989166,paper_mark_win,paper mark moved in the ticket direction,"check fill assumption, funding, stop, adverse excursion, then repeat the label"
125.27167046,broad-paper-beat-paper-long,promote_to_fill_and_risk_check,BEAT,liquidation_intensity:BEAT:long_liquidation_cascade_watch,paper_long,25.27167046,paper_mark_win,paper mark moved in the ticket direction,"check fill assumption, funding, stop, adverse excursion, then repeat the label"
119.84564498,broad-paper-btc-paper-short,promote_to_fill_and_risk_check,BTC,seed_wallet_flow:public_hypertracker_example_hyna_btc_wallet_flow_actionability,paper_short,19.84564498,paper_mark_win,paper mark moved in the ticket direction,"check fill assumption, funding, stop, adverse excursion, then repeat the label"
50.00000000,broad-paper-sui-paper-long,wait_for_checkpoint,SUI,cost_survival_cross_section:sui_paper_long,paper_long,,pending,ticket checkpoint has not matured,wait for the first checkpoint and refresh marks
50.00000000,broad-paper-pump-paper-long,wait_for_checkpoint,PUMP,cost_survival_cross_section:pump_paper_long,paper_long,,pending,ticket checkpoint has not matured,wait for the first checkpoint and refresh marks
50.00000000,broad-paper-inj-paper-long,wait_for_checkpoint,INJ,cost_survival_cross_section:inj_paper_long,paper_long,,pending,ticket checkpoint has not matured,wait for the first checkpoint and refresh marks
50.00000000,broad-paper-eth-paper-short,wait_for_checkpoint,ETH,seed_wallet_flow:public_hypertracker_example_hyna_eth_wallet_flow_actionability,paper_short,,pending,ticket checkpoint has not matured,wait for the first checkpoint and refresh marks
